index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
9mo.2mo.log_ratio.mch_genebody,1,0.26598724682355773,2,0.06348267794613491,3,0.0615813415886642
gene_length.meta,2,0.23484440714481003,3,0.048630024008739996,7,0.042924952746776164
18mo.2mo.log_ratio.mch_genebody,3,0.1679454567934957,4,0.04508159210713204,20,0.009959697932640434
9mo.2mo.log_ratio.mean.atac,4,0.13872029400674257,9,0.017324520681110123,1,0.2712271497573125
9mo.2mo.log_ratio.mcg_genebody,5,0.11989637871857897,5,0.030553666147928704,10,0.029154302914946112
a_length.log.max.loops,6,0.05691050488438039,54,0.0,4,0.05783706869168943
18mo.2mo.activity.log_ratio.max.20kb-1Mb.enhancer_peak,7,0.04508261946944613,78,0.0,6,0.048816838924844876
9mo.2mo.log_ratio.DMR,8,0.04025747653154216,65,0.0,97,0.0
log2_distance.std.atac,9,0.03867897061066959,11,0.015288395895036855,39,0.002974239395923148
18mo.9mo.Q.std.loops,10,0.03608069566013077,85,0.0,30,0.004580553627163283
18mo.9mo.log_ratio.std.atac,11,0.031955214416074094,45,0.0,50,0.0017495022782540823
18mo.2mo.log_ratio.mcg_genebody,12,0.02886066218898894,24,0.0021259290763730263,9,0.03099084812869699
count.atac,13,0.02819816049826522,1,0.0669754554683759,14,0.01922176778810206
Qanova.min.loops,14,0.02337192338129891,12,0.014066794439587253,77,0.0
18mo.9mo.log_ratio.mch_genebody,15,0.022985244222573878,23,0.0021324485451876822,16,0.01638249391347181
a_length.log.std.loops,16,0.02048396879825928,55,0.0,88,0.0
log2_distance.mean.atac,17,0.019481061289982456,6,0.02952911635109635,26,0.004751278437306328
18mo.9mo.Q.median.loops,18,0.01822184470533067,8,0.019234832650940593,48,0.0019213957517188786
18mo.9mo.Q.min.loops,19,0.01696663745473588,28,0.0007615800288658416,35,0.0036534350651227752
a_length.log.skew.loops,20,0.015717431045556268,31,0.0004354139882574661,89,0.0
9mo.2mo.T.max.loops,21,0.015149593276045816,42,0.0,36,0.003594678830440443
18mo.2mo.contact.log_ratio.max.20kb-1Mb.enhancer_peak,22,0.015046354549709534,73,0.0,27,0.004675415627494521
Qanova.median.loops,23,0.015030905760564572,61,0.0,73,0.0
18mo.2mo.T.skew.loops,24,0.014168213772762473,59,0.0,84,0.0
18mo.9mo.T.median.loops,25,0.013804952765429252,40,0.0,83,0.0
9mo.2mo.log_ratio.std.atac,26,0.01289971395185119,46,0.0,46,0.002302966208722771
18mo.2mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,27,0.012762475084916871,26,0.0010376997992979765,33,0.003984001064172691
18mo.2mo.log_ratio.std.atac,28,0.011279309461752086,17,0.005726283196146756,37,0.00350430368995918
18mo.2mo.log_ratio.mean.atac,29,0.010617949480972633,16,0.007922588441248143,22,0.00809687226065301
