index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
9mo.2mo.log_ratio.mch_genebody,1,0.21955361659045727,11,0.010005397905494921,5,0.03568423679117445
9mo.2mo.log_ratio.min.atac,2,0.19093605533078528,118,0.0,2,0.10120508355027642
18mo.2mo.log_ratio.mch_genebody,3,0.14083935568916706,4,0.02127170499870727,7,0.02408988013870351
18mo.2mo.log_ratio.min.atac,4,0.1338168573672509,120,0.0,123,0.0
18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,5,0.08391771214074031,135,0.0,8,0.021695824998999653
9mo.2mo.log_ratio.mcg_genebody,6,0.05310600605779058,8,0.01798066980714769,59,0.0
9mo.2mo.log_ratio.mean.atac,7,0.04937331568613416,6,0.01851160428787778,1,0.22803668313545092
18mo.2mo.log_ratio.mcg_genebody,8,0.048976157619411674,57,0.0,4,0.036714553643577875
9mo.2mo.log_ratio.DMR,9,0.04870949343780893,37,0.0,42,0.0
9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,10,0.045183319060440624,172,0.0,171,0.0
count.atac,11,0.027206367413549364,1,0.09978086275135166,118,0.0
18mo.2mo.T.median.loops,12,0.024093885279802614,83,0.0,89,0.0
18mo.2mo.log_ratio.mean.atac,13,0.0217687082644781,66,0.0,71,0.0
18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,14,0.019789698317095192,149,0.0,19,0.005211797141197431
log2_distance.mean.atac,15,0.019603141703972312,67,0.0,72,0.0
18mo.9mo.log_ratio.mean.atac,16,0.01823846158850175,12,0.0099436281259749,70,0.0
18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,17,0.014811707099219215,30,0.0,153,0.0
9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18,0.013560958493747157,169,0.0,179,0.0
18mo.2mo.T.mean.loops,19,0.012993150446394671,82,0.0,88,0.0
18mo.9mo.Q.std.loops,20,0.012991084510923115,2,0.04549556518935315,12,0.015604302214936193
gene_length.meta,21,0.007261740892297722,114,0.0,13,0.013233265942544231
18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,22,0.005410129803441939,154,0.0,152,0.0
size.log2.DMR,23,0.005330658029865103,35,0.0,40,0.0
18mo.2mo.Q.mean.loops,24,0.004144203693808171,27,0.0,10,0.020786862779671123
18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,25,0.003882632965151706,146,0.0,146,0.0
18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,26,0.003707152714428021,137,0.0,168,0.0
18mo.9mo.log_ratio.mch_genebody,27,0.0036236557037925554,13,0.008215694014380775,61,0.0
log2_distance.min.atac,28,0.003575128149146492,121,0.0,15,0.009014426415763326
18mo.2mo.log_ratio.DMR,29,0.0033910657533091693,39,0.0,44,0.0
18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,30,0.0033772762574812766,129,0.0,131,0.0
18mo.2mo.log_ratio.std.atac,31,0.0028992418976217997,70,0.0,74,0.0
9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,32,0.00244390163140492,64,0.0,68,0.0
9mo.2mo.log_ratio.std.atac,33,0.0023450853659507014,68,0.0,14,0.012258536831361628
18mo.9mo.log_ratio.mcg_genebody,34,0.0021655125511077997,15,0.00465808367374244,60,0.0
18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,35,0.0019037221071561148,126,0.0,128,0.0
18mo.2mo.T.max.loops,36,0.00180460493777627,85,0.0,91,0.0
18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,37,0.0013190203943927693,167,0.0,3,0.04637133844336783
9mo.2mo.log_ratio.max.atac,38,0.0,155,0.0,16,0.00900985732078728
18mo.9mo.log_ratio.max.atac,39,0.0,115,0.0,119,0.0
18mo.2mo.log_ratio.max.atac,40,0.0,116,0.0,120,0.0
log2_distance.max.atac,41,0.0,117,0.0,121,0.0
18mo.9mo.log_ratio.min.atac,42,0.0,119,0.0,122,0.0
9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_DMR,43,0.0,65,0.0,69,0.0
min_distance.log.min.loops,44,0.0,55,0.0,21,0.004909279112952406
count.loops,45,0.0,56,0.0,58,0.0
18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_DMR,46,0.0,122,0.0,124,0.0
