index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
18mo.2mo.log_ratio.mch_genebody,1,0.17138449111584017,46,0.0,50,0.0
9mo.2mo.log_ratio.mch_genebody,2,0.15547540711990407,3,0.008486371454468369,2,0.07157838326178476
9mo.2mo.log_ratio.mean.atac,3,0.12517819231344332,51,0.0,1,0.17051231302439962
9mo.2mo.log_ratio.min.atac,4,0.08199331329333408,50,0.0,3,0.039316601750285625
18mo.2mo.log_ratio.min.atac,5,0.06491309668761544,49,0.0,4,0.036760523858586865
9mo.2mo.log_ratio.mcg_genebody,6,0.028115629748686307,47,0.0,47,0.0
log2_distance.min.atac,7,0.02448296262620546,54,0.0,54,0.0
9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,8,0.023767976890491812,13,0.0,9,0.010172272291106616
18mo.9mo.log_ratio.mch_genebody,9,0.01768232935896489,44,0.0,51,0.0
18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,10,0.010973607678109489,22,0.0,17,0.0
9mo.2mo.log_ratio.DMR,11,0.010710797677210254,16,0.0,16,0.0
count.atac,12,0.009579245380342992,1,0.08400980932974828,6,0.025069133664657867
Tanova.min.loops,13,0.008300327455446368,37,0.0,37,0.0
9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,14,0.007549093638045527,14,0.0,14,0.0
9mo.2mo.log_ratio.max.atac,15,0.007535760564379113,2,0.020901170986350904,52,0.0
18mo.9mo.log_ratio.mean.atac,16,0.007183863828439006,48,0.0,48,0.0
size.log2.DMR,17,0.002036419584237975,17,0.0,30,0.0
18mo.9mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,18,0.0,4,0.0,20,0.0
18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,19,0.0,7,0.0,23,0.0
18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,20,0.0,23,0.0,11,0.0
18mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_peak,21,0.0,21,0.0,21,0.0
18mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,22,0.0,6,0.0,22,0.0
gene_length.meta,23,0.0,5,0.0,5,0.02750421906001006
18mo.9mo.Q.std.loops,24,0.0,24,0.0,24,0.0
18mo.2mo.T.median.loops,25,0.0,25,0.0,25,0.0
18mo.2mo.T.mean.loops,26,0.0,26,0.0,26,0.0
18mo.2mo.Q.std.loops,27,0.0,20,0.0,27,0.0
18mo.2mo.Q.mean.loops,28,0.0,19,0.0,28,0.0
18mo.2mo.Q.max.loops,29,0.0,18,0.0,29,0.0
18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,30,0.0,12,0.0,13,0.0
count.enhancer_peak,31,0.0,15,0.0,15,0.0
18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,32,0.0,9,0.0,18,0.0
18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,33,0.0,8,0.0,19,0.0
18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,34,0.0,10,0.0,7,0.021770037762407084
18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,35,0.0,11,0.0,12,0.0
9mo.2mo.Q.min.loops,36,0.0,31,0.0,39,0.0
18mo.9mo.T.median.loops,37,0.0,27,0.0,31,0.0
9mo.2mo.Q.median.loops,38,0.0,30,0.0,34,0.0
9mo.2mo.Q.mean.loops,39,0.0,29,0.0,35,0.0
18mo.2mo.log_ratio.mcg_genebody,40,0.0,40,0.0,40,0.0
min_distance.log.std.loops,41,0.0,41,0.0,41,0.0
min_distance.log.min.loops,42,0.0,42,0.0,42,0.0
min_distance.log.median.loops,43,0.0,36,0.0,43,0.0
min_distance.log.mean.loops,44,0.0,35,0.0,44,0.0
loop_size.log.std.loops,45,0.0,34,0.0,45,0.0
loop_size.log.min.loops,46,0.0,33,0.0,33,0.0
loop_size.log.mean.loops,47,0.0,32,0.0,10,0.006339169780009591
loop_size.log.max.loops,48,0.0,39,0.0,32,0.0
Tanova.std.loops,49,0.0,38,0.0,38,0.0
Tanova.max.loops,50,0.0,28,0.0,36,0.0
18mo.9mo.log_ratio.mcg_genebody,51,0.0,43,0.0,46,0.0
18mo.2mo.log_ratio.mean.atac,52,0.0,45,0.0,49,0.0
9mo.2mo.log_ratio.std.atac,53,0.0,52,0.0,8,0.013025686697913859
log2_distance.mean.atac,54,0.0,53,0.0,53,0.0
log2_distance.std.atac,55,0.0,55,0.0,55,0.0
