index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
18mo.2mo.log_ratio.mch_genebody,1,0.22708087016982062,7,0.08489741252936131,25,0.05834844559054279
9mo.2mo.log_ratio.mch_genebody,2,0.1652602131628576,2,0.15241151906877826,33,0.03022198224557823
18mo.9mo.activity.log_ratio.count.1Mb-5Mb.enhancer_peak,3,0.1347753292030703,27,0.011924918441357771,48,0.0
a_length.log.mean.loops,4,0.11840937000418307,48,0.0,12,0.09166820072207828
count.DMR,5,0.11325688889435667,32,0.006752320797402181,20,0.06625006095370407
9mo.2mo.log_ratio.mean.atac,6,0.09589080473423986,24,0.018046437840481395,17,0.07688189250036173
count.DAR,7,0.09024854492022741,4,0.12243788978665827,35,0.024127439016415002
gene_length.meta,8,0.07833744001997896,6,0.10868567985474047,1,0.5075434919136571
log2_distance.std.atac,9,0.07753740986285405,26,0.014544641404760871,5,0.13547769730685633
18mo.2mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,10,0.07288995582954386,23,0.019106367821927893,11,0.09561546551379065
18mo.2mo.activity.log_ratio.count.0-10kb.enhancer_DMR,11,0.06928390142221293,45,0.0019152632146751073,38,0.018150566720896925
18mo.9mo.contact.log_ratio.max.20kb-1Mb.enhancer_peak,12,0.06348514489051886,38,0.0036923045026080754,40,0.011157478499863102
18mo.2mo.log_ratio.DAR,13,0.05641505278129789,47,0.000590951714826689,36,0.021700816700423644
9mo.2mo.activity.log_ratio.count.10kb-20kb.enhancer_DMR,14,0.055450144099334575,43,0.0029958525257741723,19,0.0719393672882635
18mo.9mo.T.mean.loops,15,0.05341669094773124,29,0.009872597318016691,22,0.06426859246822608
a_length.log.min.loops,16,0.04964309674485853,42,0.003001933069674832,18,0.0747155977392022
18mo.2mo.log_ratio.std.atac,17,0.04808200607795383,20,0.025038550836039123,42,0.009572985627424431
18mo.9mo.activity.log_ratio.std.20kb-1Mb.enhancer_peak,18,0.04404362477640287,15,0.03325624540892264,32,0.030503720527982614
18mo.9mo.T.min.loops,19,0.04319163026025431,33,0.005273289173383352,26,0.05202328156908687
count.atac,20,0.041241639049234884,1,0.23295244752974875,46,0.0
18mo.2mo.contact.log_ratio.std.20kb-1Mb.enhancer_peak,21,0.0397937657986362,14,0.03582511547971166,29,0.03827094841441799
a_length.log.max.loops,22,0.03917983198536999,25,0.01698833392500599,37,0.01931036959127547
9mo.2mo.T.std.loops,23,0.03753159844201276,5,0.11686590480064511,44,0.005652916131611221
9mo.2mo.log_ratio.mcg_genebody,24,0.03689716665152517,18,0.027863327244077418,27,0.05139932881571487
18mo.9mo.Q.median.loops,25,0.03432827135202275,35,0.00494291173513408,13,0.0867974717054609
18mo.2mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,26,0.03343430718618253,46,0.0012600310974278587,10,0.09737907826129098
18mo.9mo.log_ratio.mean.atac,27,0.03333491486834902,28,0.009997169277847825,8,0.10336770790374766
Qanova.max.loops,28,0.03131345687347473,19,0.02780430434584673,23,0.06393184638577443
18mo.9mo.Q.std.loops,29,0.031127389010232022,41,0.00309388395153874,7,0.11185799582834534
9mo.2mo.log_ratio.std.atac,30,0.023467164929844075,10,0.062186902291146366,28,0.0424234375249864
9mo.2mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,31,0.01958055334434129,21,0.019395390703287576,2,0.16442897212718474
18mo.9mo.Q.min.loops,32,0.017198659701013943,39,0.0034007848852138905,15,0.07720995558902059
18mo.9mo.log_ratio.std.atac,33,0.014180874417345272,9,0.06397186433957833,30,0.036826856186872536
18mo.2mo.Q.max.loops,34,0.011654039761066451,40,0.003381775027829959,6,0.11612798251015145
18mo.2mo.activity.log_ratio.count.1Mb-5Mb.enhancer_peak,35,0.01015572404014591,3,0.13142368846638974,47,0.0
18mo.9mo.log_ratio.DAR,36,0.007651133681184522,16,0.033215991291654645,45,0.004481450323768085
18mo.2mo.activity.log_ratio.count.0-10kb.enhancer_peak,37,0.006126137578494294,22,0.019358377918958523,39,0.015005016838239987
9mo.2mo.contact.log_ratio.std.20kb-1Mb.enhancer_peak,38,0.005689429985081727,11,0.045982759576574266,31,0.03170611391053822
9mo.2mo.activity.log_ratio.min.0-10kb.enhancer_peak,39,0.005510065671054921,34,0.004964771135634398,9,0.10047946796798357
18mo.2mo.activity.log_ratio.max.0-10kb.enhancer_peak,40,0.005449987277288492,44,0.002333231771150699,3,0.1475810916468735
Tanova.median.loops,41,0.004513120324844682,30,0.00880329404680919,14,0.07801338439312146
9mo.2mo.activity.log_ratio.max.0-10kb.enhancer_peak,42,0.002491534330219981,36,0.004932548652941045,4,0.14298362624657668
18mo.9mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,43,0.00164671847243058,37,0.003863844967412073,16,0.0770143314365151
log2_distance.mean.atac,44,0.0014922677121833724,8,0.07435722245103858,21,0.06545659901393279
18mo.9mo.contact.log_ratio.mean.20kb-1Mb.enhancer_peak,45,0.001330038818086156,31,0.008195024106000036,24,0.06015722047409304
18mo.2mo.contact.log_ratio.min.20kb-1Mb.enhancer_peak,46,3.019573225416989e-05,12,0.04291984809935062,41,0.00971111110511618
18mo.9mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,47,0.0,17,0.02828488665038663,43,0.007732652665312205
18mo.9mo.T.std.loops,48,0.0,13,0.0363449238435254,34,0.02473875349954955
