index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
gene_length.meta,1,0.10929489582561759,1,0.10690423477578409,1,0.2707720617230786
18mo.2mo.log_ratio.mean.atac,2,0.09474383047569067,63,0.0,2,0.1935768110341617
9mo.2mo.log_ratio.mean.atac,3,0.0884418963923369,65,0.0,6,0.0705304014343024
18mo.9mo.log_ratio.mcg_genebody,4,0.07998561267203413,3,0.04265945308788341,35,0.018840753783704308
18mo.2mo.log_ratio.std.atac,5,0.05609985125897885,10,0.016158595543998348,15,0.04090590390224928
count.atac,6,0.04710383150182003,2,0.04286548214703288,10,0.05868521496108011
log2_distance.std.atac,7,0.033680710505884955,11,0.015318725338974352,4,0.11447884443534659
18mo.9mo.log_ratio.mean.atac,8,0.030816837507031167,64,0.0,9,0.05976577459500112
18mo.2mo.log_ratio.DAR,9,0.029915433818779737,27,0.007051401419577523,14,0.04448975412062613
18mo.2mo.T.min.loops,10,0.02916672471997255,73,0.0,5,0.0972440320952951
9mo.2mo.log_ratio.std.atac,11,0.02649531387347377,24,0.008026842838673436,7,0.06606181278358986
18mo.2mo.log_ratio.mcg_genebody,12,0.015949235377972222,6,0.0256097323603853,13,0.044728973346314045
count.DAR,13,0.014544758183353578,8,0.02086270403471332,119,0.0
9mo.2mo.Q.skew.loops,14,0.013766852627589327,31,0.004052293502648111,29,0.021173713131951474
9mo.2mo.activity.log_ratio.median.20kb-1Mb.enhancer_peak,15,0.012537606061506373,97,0.0,58,0.008682133444875426
9mo.2mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,16,0.010695325360033908,120,0.0,57,0.009483634769098274
9mo.2mo.log_ratio.mcg_genebody,17,0.008948709350604997,21,0.010095681714618632,12,0.04607058347329276
9mo.2mo.contact.log_ratio.mean.20kb-1Mb.enhancer_peak,18,0.0074874107130080865,46,0.00039628650329219826,74,0.0051245553539016105
18mo.9mo.T.median.loops,19,0.007189823239477332,62,0.0,103,0.000704911442982197
18mo.9mo.log_ratio.DAR,20,0.00714643960741024,7,0.02501412611196699,104,0.0002306511112698642
9mo.2mo.activity.log_ratio.max.20kb-1Mb.enhancer_peak,21,0.007107409698699566,98,0.0,31,0.020550798907845037
18mo.2mo.T.std.loops,22,0.0069699911616027226,75,0.0,116,0.0
9mo.2mo.log_ratio.DAR,23,0.006891876676606386,29,0.005287352948418802,70,0.006071527485998425
18mo.9mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,24,0.0067798954575418275,36,0.0021913398289549377,63,0.007380447664099018
