index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
18mo.9mo.log_ratio.mcg_genebody,1,0.08743085529256553,7,0.02092393937998406,28,0.016683809816178043
gene_length.meta,2,0.06681573258545635,3,0.05904969544796606,2,0.15634164147371604
9mo.2mo.log_ratio.mean.atac,3,0.0657482915445216,14,0.008273989009030112,12,0.04376206505102578
9mo.2mo.log_ratio.std.atac,4,0.05180495797987598,19,0.005034891044428844,16,0.03933251794937116
18mo.2mo.log_ratio.max.atac,5,0.048001448503659463,13,0.009169393729366457,17,0.03894907240360266
18mo.9mo.log_ratio.mean.atac,6,0.043831855136427525,51,0.0,6,0.10958170682255317
count.atac,7,0.03647723714058229,2,0.06287095280219494,29,0.01610587988816437
18mo.2mo.log_ratio.mean.atac,8,0.030592371612222707,17,0.0063552941262428895,1,0.1652761444244142
18mo.2mo.log_ratio.DAR,9,0.028207235613769515,11,0.010997219283577662,26,0.023589930181804598
9mo.2mo.log_ratio.mcg_genebody,10,0.025948363061167528,6,0.02213000174273963,3,0.11863692440145897
9mo.2mo.log_ratio.max.atac,11,0.024315754591663845,52,0.0,25,0.02379638527605407
rel_pos.DAR,12,0.022208469250955248,4,0.03475095676394494,15,0.040136518052136715
18mo.9mo.T.mean.loops,13,0.022108656263267176,48,0.0,31,0.012086393895303388
min_distance.log.mean.loops,14,0.018285423909532184,49,0.0,53,0.0
log2_distance.std.atac,15,0.01610117964705626,20,0.004954000980277201,5,0.11073942032529988
log2_distance.mean.atac,16,0.014293924810308018,18,0.0053400791704073525,54,0.0
18mo.2mo.T.min.loops,17,0.0116287827158674,8,0.019956572818765596,7,0.061407342673568614
18mo.2mo.log_ratio.mcg_genebody,18,0.009671647053466308,16,0.008047745049215507,20,0.03166701619784163
Qanova.min.loops,19,0.009013152076450036,42,0.0,36,0.006503552359109197
min_distance.log.max.loops,20,0.00800402744458657,39,0.0,21,0.03131531324473042
18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_DMR,21,0.007266041747778619,23,0.0019628178940133013,8,0.05221481533639758
18mo.2mo.T.mean.loops,22,0.0061847834757715525,15,0.008186890901057864,14,0.04060164964553703
Qanova.std.loops,23,0.005620292818866112,10,0.011592286906358646,39,0.003831023325428014
9mo.2mo.log_ratio.DAR,24,0.0048723772123474805,37,0.0,45,0.0
9mo.2mo.T.max.loops,25,0.004725380603746199,45,0.0,27,0.0172890714061436
18mo.2mo.T.max.loops,26,0.004432357614299996,9,0.01314924357374353,9,0.0497652289436375
Tanova.median.loops,27,0.0028874111926153285,40,0.0,34,0.008441650586097822
18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,28,0.002667214706880836,1,0.06559163111146545,41,0.00161873018123277
18mo.9mo.Q.mean.loops,29,0.002204614996222734,21,0.004243332275727499,38,0.004066411766234689
18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,30,0.0021001040663209997,32,0.0,10,0.04440680557361209
18mo.9mo.T.min.loops,31,0.001447663936370096,38,0.0,52,0.0
18mo.9mo.log_ratio.DAR,32,0.0,30,0.0,42,0.0015855088404851069
18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,33,0.0,36,0.0,40,0.0037301637674049134
9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,34,0.0,34,0.0,43,0.001231646498885114
18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,35,0.0,33,0.0,19,0.03321861231447575
18mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,36,0.0,22,0.0029696663479946176,33,0.008446353898633335
18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,37,0.0,31,0.0,24,0.024964269504439366
count.DAR,38,0.0,5,0.027361950754356025,46,0.0
18mo.2mo.Q.min.loops,39,0.0,27,0.0,4,0.11643820265861757
rel_pos.DMR,40,0.0,24,0.0018889863461995257,48,0.0
distance.log2.DMR,41,0.0,28,0.0,47,0.0
count.DMR,42,0.0,26,0.0,50,0.0
18mo.9mo.log_ratio.DMR,43,0.0,35,0.0,37,0.005358375024970608
9mo.2mo.log_ratio.DMR,44,0.0,29,0.0,49,0.0
18mo.2mo.log_ratio.DMR,45,0.0,25,0.0008220203036214757,44,0.0
Qanova.max.loops,46,0.0,46,0.0,13,0.04130796214065127
Tanova.std.loops,47,0.0,12,0.010554346940120097,18,0.03405167674631463
Tanova.mean.loops,48,0.0,41,0.0,51,0.0
Qanova.median.loops,49,0.0,44,0.0,35,0.008101797766659438
Qanova.mean.loops,50,0.0,43,0.0,30,0.016038902742873142
18mo.9mo.Q.std.loops,51,0.0,47,0.0,11,0.04439835852852817
18mo.9mo.log_ratio.max.atac,52,0.0,50,0.0,23,0.02558525384829692
log2_distance.max.atac,53,0.0,53,0.0,32,0.009634253042567646
log2_distance.min.atac,54,0.0,54,0.0,22,0.026446781307031608
