index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
count.DAR,1,0.1275234039875389,4,0.03576125589614091,77,0.0
18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,2,0.10476457687920757,166,0.0,59,0.0036383487341841467
9mo.2mo.log_ratio.mch_genebody,3,0.0975916028314148,3,0.0396606724571137,41,0.00750206519160963
18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_peak,4,0.08422083191580315,188,0.0,188,0.0
18mo.2mo.log_ratio.mch_genebody,5,0.06818870330387618,67,0.0,48,0.00634198612025058
9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,6,0.04908734166363405,159,0.0,3,0.089125798095368
18mo.9mo.Q.std.loops,7,0.03793180294012109,37,0.0,20,0.017725703234925255
loop_size.log.mean.loops,8,0.03412498415105272,6,0.027723572102842917,82,0.0
loop_size.log.min.loops,9,0.0326046538528754,105,0.0,32,0.010382423001636738
18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,10,0.030311493339281063,169,0.0,12,0.027980084613204843
gene_length.meta,11,0.030223899096678993,5,0.029215759556836914,1,0.5280903543603781
9mo.2mo.log_ratio.DMR,12,0.027136201704327404,57,0.0,74,0.0
18mo.2mo.log_ratio.DAR,13,0.026119589503413126,54,0.0,44,0.006768567636084721
18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,14,0.024430651647701154,151,0.0,155,0.0
18mo.2mo.log_ratio.std.atac,15,0.023579872136573622,81,0.0,96,0.0
9mo.2mo.log_ratio.mcg_genebody,16,0.02241742839330988,2,0.05187585894298716,51,0.005546381567876971
9mo.2mo.log_ratio.mean.atac,17,0.02175332615678887,68,0.0,4,0.07263474069350825
18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_peak,18,0.02143657274371601,202,0.0,63,0.0028014574916017635
18mo.9mo.log_ratio.std.atac,19,0.021145629914403254,80,0.0,24,0.016439999536537526
loop_size.log.max.loops,20,0.01978220079841869,10,0.01588347349547998,43,0.007360739231997199
