index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
9mo.2mo.log_ratio.mch_genebody,1,0.1993781931165223,1,0.27669377949658003,93,0.0
18mo.2mo.log_ratio.mch_genebody,2,0.1662055932460488,91,0.0,14,0.046945718471096
18mo.2mo.Q.std.loops,3,0.12927726447847665,43,0.0,2,0.21831437408341567
9mo.2mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,4,0.10452525385675436,58,0.0,33,0.01258981754483838
a_length.log.mean.loops,5,0.10286036443483403,38,0.002450176759673912,55,0.0008307554255301491
a_length.log.min.loops,6,0.08943295863310251,26,0.005025000087554134,31,0.013870170114356413
9mo.2mo.log_ratio.mean.atac,7,0.08448110614066945,101,0.0,18,0.042902539137001094
18mo.2mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,8,0.08318293203557536,94,0.0,5,0.12435119380573681
9mo.2mo.Q.max.loops,9,0.0757230746563144,51,0.0,119,0.0
18mo.9mo.activity.log_ratio.count.1Mb-5Mb.enhancer_peak,10,0.058105666975888697,123,0.0,10,0.0669148623079146
18mo.2mo.activity.log_ratio.median.20kb-1Mb.enhancer_peak,11,0.04935454985767523,93,0.0,109,0.0
18mo.2mo.log_ratio.mean.atac,12,0.04592201068278494,19,0.008078302642599573,4,0.13319979599229104
18mo.9mo.Q.std.loops,13,0.039460681396494175,8,0.029182973285279776,35,0.010839231929250195
18mo.2mo.Q.min.loops,14,0.034456136490244406,53,0.0,19,0.03832289084333086
18mo.9mo.Q.min.loops,15,0.03365415529909958,46,0.0,70,0.0
18mo.9mo.log_ratio.mch_genebody,16,0.028839141954645476,9,0.029166142510084127,27,0.021743578865543862
18mo.2mo.T.min.loops,17,0.027380921097242484,63,0.0,58,0.0
9mo.2mo.activity.log_ratio.count.20kb-1Mb.enhancer_DMR,18,0.02612932028476321,54,0.0,80,0.0
18mo.9mo.contact.log_ratio.mean.20kb-1Mb.enhancer_peak,19,0.02468218973980563,128,0.0,13,0.053590379186616945
18mo.2mo.contact.log_ratio.std.20kb-1Mb.enhancer_peak,20,0.023866816594016415,7,0.030688199780777477,54,0.001511020292171919
9mo.2mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,21,0.02307971485388143,14,0.010921464330160596,15,0.04690077120495539
18mo.9mo.log_ratio.DMR,22,0.02172716469661366,25,0.005350453225596834,28,0.020140360622463733
a_length.log.max.loops,23,0.020871190911312433,15,0.010850724174457949,39,0.007701764480466678
9mo.2mo.T.median.loops,24,0.01865861356308126,77,0.0,65,0.0
count.DMR,25,0.016195318238570396,33,0.004121567154280236,123,0.0
18mo.9mo.T.mean.loops,26,0.015452186473693794,73,0.0,62,0.0
18mo.9mo.T.min.loops,27,0.011754349201009692,68,0.0,47,0.00480207837723552
18mo.9mo.activity.log_ratio.skew.20kb-1Mb.enhancer_peak,28,0.011124946024155305,84,0.0,12,0.054087757681672566
18mo.9mo.contact.log_ratio.std.20kb-1Mb.enhancer_peak,29,0.010726680473996102,127,0.0,75,0.0
9mo.2mo.log_ratio.mcg_genebody,30,0.010276992915854806,55,0.0,85,0.0
9mo.2mo.log_ratio.DMR,31,0.010189665315548293,118,0.0,51,0.002876201582572836
9mo.2mo.Q.min.loops,32,0.009843281480995378,50,0.0,118,0.0
a_length.log.median.loops,33,0.009451524227991469,62,0.0,36,0.010301481637218755
9mo.2mo.contact.log_ratio.std.20kb-1Mb.enhancer_peak,34,0.00915111780578636,32,0.004284202126284285,32,0.01355960744191525
18mo.2mo.Q.mean.loops,35,0.008775941989306904,45,0.0,69,0.0
9mo.2mo.activity.log_ratio.max.20kb-1Mb.enhancer_peak,36,0.007952393926741021,13,0.016282586507266147,110,0.0
a_length.log.std.loops,37,0.007270602859205594,35,0.0037790513168659908,112,0.0
9mo.2mo.activity.log_ratio.median.20kb-1Mb.enhancer_peak,38,0.006125016929276059,57,0.0,77,0.0
18mo.9mo.log_ratio.mean.atac,39,0.005566900112351188,100,0.0,21,0.03385073894415834
18mo.2mo.T.median.loops,40,0.0054279097492271715,66,0.0,88,0.0
Qanova.max.loops,41,0.004789203829265112,114,0.0,129,0.0
18mo.2mo.log_ratio.mcg_genebody,42,0.00391827474342426,5,0.033484487107118426,43,0.0068702485350973915
9mo.2mo.Q.std.loops,43,0.0026692475107153407,52,0.0,121,0.0
18mo.2mo.T.std.loops,44,0.002589596497136165,78,0.0,16,0.04487883556246357
9mo.2mo.contact.log_ratio.max.20kb-1Mb.enhancer_peak,45,0.0021190479006251125,79,0.0,115,0.0
18mo.2mo.log_ratio.DMR,46,0.0018026629523741704,21,0.005523093971488026,94,0.0
9mo.2mo.contact.log_ratio.mean.20kb-1Mb.enhancer_peak,47,0.0013109179330799215,82,0.0,23,0.02663318972378985
18mo.2mo.log_ratio.DAR,48,0.0005135392646282203,12,0.017063161456634588,99,0.0
gene_length.meta,49,0.00034972708134738394,2,0.17815666627836463,1,0.23877220176098607
18mo.9mo.Q.max.loops,50,0.0,27,0.004931317741987423,46,0.005303163725005056
18mo.9mo.Q.skew.loops,51,0.0,47,0.0,71,0.0
18mo.2mo.Q.median.loops,52,0.0,44,0.0,68,0.0
18mo.9mo.Q.median.loops,53,0.0,48,0.0,90,0.0
18mo.9mo.Q.mean.loops,54,0.0,49,0.0,48,0.0036257343542152034
18mo.2mo.Q.skew.loops,55,0.0,37,0.002533706527427922,37,0.010005477706280052
18mo.2mo.Q.max.loops,56,0.0,41,0.0,67,0.0
18mo.9mo.log_ratio.mcg_genebody,57,0.0,16,0.009922642189260845,84,0.0
count.loops,58,0.0,56,0.0,86,0.0
count.atac,59,0.0,3,0.10427325859217745,73,0.0
9mo.2mo.activity.log_ratio.skew.20kb-1Mb.enhancer_peak,60,0.0,34,0.0038129326755982997,111,0.0
9mo.2mo.activity.log_ratio.std.20kb-1Mb.enhancer_peak,61,0.0,6,0.03231657057255654,6,0.10589116860170121
18mo.9mo.contact.log_ratio.count.20kb-1Mb.enhancer_DMR,62,0.0,59,0.0,78,0.0
18mo.2mo.contact.log_ratio.count.20kb-1Mb.enhancer_DMR,63,0.0,60,0.0,79,0.0
a_length.log.skew.loops,64,0.0,61,0.0,30,0.015543049831432744
18mo.2mo.T.max.loops,65,0.0,28,0.004923524467100102,40,0.007585574540964427
9mo.2mo.Q.skew.loops,66,0.0,65,0.0,120,0.0
18mo.2mo.T.mean.loops,67,0.0,67,0.0,57,0.0
18mo.9mo.T.max.loops,68,0.0,69,0.0,59,0.0
18mo.9mo.T.skew.loops,69,0.0,70,0.0,60,0.0
18mo.9mo.T.std.loops,70,0.0,71,0.0,61,0.0
18mo.9mo.T.median.loops,71,0.0,72,0.0,42,0.006874868084478045
9mo.2mo.T.min.loops,72,0.0,74,0.0,25,0.02424804079364446
9mo.2mo.T.max.loops,73,0.0,75,0.0,50,0.0029120717151508695
9mo.2mo.T.skew.loops,74,0.0,22,0.005475549901651635,63,0.0
9mo.2mo.T.std.loops,75,0.0,76,0.0,72,0.0
9mo.2mo.T.mean.loops,76,0.0,42,0.0,66,0.0
18mo.2mo.T.skew.loops,77,0.0,64,0.0,87,0.0
18mo.2mo.contact.log_ratio.skew.20kb-1Mb.enhancer_peak,78,0.0,23,0.005445807694462342,41,0.006972381926803784
18mo.2mo.contact.log_ratio.median.20kb-1Mb.enhancer_peak,79,0.0,131,0.0,38,0.009728091094438297
18mo.2mo.contact.log_ratio.mean.20kb-1Mb.enhancer_peak,80,0.0,11,0.026801757057305888,17,0.043301213517726964
9mo.2mo.contact.log_ratio.count.20kb-1Mb.enhancer_peak,81,0.0,132,0.0,98,0.0
9mo.2mo.contact.log_ratio.min.20kb-1Mb.enhancer_peak,82,0.0,119,0.0,114,0.0
9mo.2mo.contact.log_ratio.skew.20kb-1Mb.enhancer_peak,83,0.0,80,0.0,103,0.0
9mo.2mo.contact.log_ratio.median.20kb-1Mb.enhancer_peak,84,0.0,81,0.0,7,0.08680439771720487
18mo.9mo.activity.log_ratio.count.20kb-1Mb.enhancer_peak,85,0.0,18,0.008736594754359572,116,0.0
18mo.9mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,86,0.0,20,0.006841613452871644,8,0.07566028017998039
18mo.9mo.activity.log_ratio.max.20kb-1Mb.enhancer_peak,87,0.0,83,0.0,89,0.0
18mo.9mo.activity.log_ratio.std.20kb-1Mb.enhancer_peak,88,0.0,85,0.0,82,0.0
18mo.9mo.activity.log_ratio.median.20kb-1Mb.enhancer_peak,89,0.0,86,0.0,91,0.0
18mo.9mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,90,0.0,87,0.0,92,0.0
Qanova.skew.loops,91,0.0,39,0.002371514335818746,130,0.0
18mo.2mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,92,0.0,89,0.0,9,0.07256949459945945
18mo.2mo.activity.log_ratio.max.20kb-1Mb.enhancer_peak,93,0.0,90,0.0,64,0.0
18mo.2mo.activity.log_ratio.skew.20kb-1Mb.enhancer_peak,94,0.0,105,0.0,52,0.0020630459400101373
18mo.2mo.activity.log_ratio.std.20kb-1Mb.enhancer_peak,95,0.0,92,0.0,108,0.0
9mo.2mo.activity.log_ratio.count.20kb-1Mb.enhancer_peak,96,0.0,95,0.0,34,0.012538567965272257
log2_distance.std.atac,97,0.0,96,0.0,26,0.022943013739899407
18mo.2mo.log_ratio.std.atac,98,0.0,97,0.0,81,0.0
18mo.9mo.log_ratio.std.atac,99,0.0,98,0.0,49,0.0029929280822758395
9mo.2mo.log_ratio.std.atac,100,0.0,99,0.0,11,0.0601215340326855
log2_distance.mean.atac,101,0.0,4,0.05789323450592992,22,0.033034565164659434
9mo.2mo.contact.log_ratio.count.20kb-1Mb.enhancer_DMR,102,0.0,102,0.0,83,0.0
18mo.9mo.activity.log_ratio.count.20kb-1Mb.enhancer_DMR,103,0.0,103,0.0,76,0.0
18mo.2mo.activity.log_ratio.count.20kb-1Mb.enhancer_DMR,104,0.0,104,0.0,3,0.13605969212793315
18mo.2mo.activity.log_ratio.count.20kb-1Mb.enhancer_peak,105,0.0,88,0.0,29,0.019765567948390975
9mo.2mo.Q.median.loops,106,0.0,106,0.0,53,0.001995526013829861
9mo.2mo.Q.mean.loops,107,0.0,107,0.0,122,0.0
Tanova.min.loops,108,0.0,24,0.00538734450398549,133,0.0
Tanova.max.loops,109,0.0,108,0.0,124,0.0
Tanova.skew.loops,110,0.0,109,0.0,125,0.0
Tanova.std.loops,111,0.0,110,0.0,126,0.0
Tanova.median.loops,112,0.0,111,0.0,24,0.025382672847099233
Tanova.mean.loops,113,0.0,112,0.0,127,0.0
Qanova.min.loops,114,0.0,113,0.0,128,0.0
Qanova.std.loops,115,0.0,115,0.0,20,0.03639649654879047
Qanova.median.loops,116,0.0,116,0.0,131,0.0
Qanova.mean.loops,117,0.0,117,0.0,132,0.0
count.DAR,118,0.0,133,0.0,56,0.0006133857447772821
18mo.2mo.contact.log_ratio.max.20kb-1Mb.enhancer_peak,119,0.0,130,0.0,97,0.0
9mo.2mo.log_ratio.DAR,120,0.0,17,0.009322306563301207,101,0.0
18mo.9mo.contact.log_ratio.count.1Mb-5Mb.enhancer_peak,121,0.0,120,0.0,102,0.0
18mo.2mo.contact.log_ratio.count.1Mb-5Mb.enhancer_peak,122,0.0,121,0.0,113,0.0
9mo.2mo.contact.log_ratio.count.1Mb-5Mb.enhancer_peak,123,0.0,122,0.0,104,0.0
18mo.2mo.activity.log_ratio.count.1Mb-5Mb.enhancer_peak,124,0.0,10,0.026996302949680553,105,0.0
9mo.2mo.activity.log_ratio.count.1Mb-5Mb.enhancer_peak,125,0.0,124,0.0,106,0.0
18mo.9mo.contact.log_ratio.count.20kb-1Mb.enhancer_peak,126,0.0,125,0.0,107,0.0
18mo.9mo.contact.log_ratio.min.20kb-1Mb.enhancer_peak,127,0.0,126,0.0,117,0.0
18mo.9mo.contact.log_ratio.max.20kb-1Mb.enhancer_peak,128,0.0,40,0.0015395606632716892,45,0.006267967166994053
18mo.9mo.contact.log_ratio.skew.20kb-1Mb.enhancer_peak,129,0.0,31,0.004670801033253778,74,0.0
18mo.9mo.contact.log_ratio.median.20kb-1Mb.enhancer_peak,130,0.0,30,0.004902902751044445,44,0.006462917565394026
