index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
9mo.2mo.log_ratio.mch_genebody,1,0.16365356140973053,1,0.1367040943449797,22,0.005428462635099898
9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,2,0.11389049313832854,21,0.0005206134432992019,6,0.06137756668910926
18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,3,0.08481074575736396,8,0.013855077017080898,2,0.15547630441240856
18mo.9mo.Q.std.loops,4,0.05792347922400058,4,0.051869039833829,24,0.004097955563295438
9mo.2mo.log_ratio.mean.atac,5,0.0439833174619429,19,0.0020703631371354796,9,0.021085835213497883
9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,6,0.042016540604566346,12,0.006035530382616024,13,0.015219544820884215
loop_size.log.min.loops,7,0.03979884500606551,38,0.0,5,0.07800677356868402
gene_length.meta,8,0.027082931660743013,2,0.1321624036435021,3,0.12544710826574806
18mo.2mo.Q.std.loops,9,0.025333403692373153,29,0.0,19,0.007469054174214997
log2_distance.max.atac,10,0.019709273901285972,3,0.1205378232778342,17,0.00878040497633762
Qanova.std.loops,11,0.018351210764354104,37,0.0,36,0.0
18mo.9mo.log_ratio.mcg_genebody,12,0.013674175298565103,14,0.004457848693273809,8,0.027269890706914268
9mo.2mo.log_ratio.min.atac,13,0.012494153927586005,18,0.002404612253402273,4,0.0949437369898489
9mo.2mo.log_ratio.max.atac,14,0.01168309772015805,11,0.008350885289957017,1,0.17413121726132688
Tanova.mean.loops,15,0.009835888917468968,15,0.0030021895270225217,33,0.0
9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,16,0.0049715510545191325,22,0.0,14,0.013934705851512868
9mo.2mo.Q.max.loops,17,0.004949896772887411,28,0.0,16,0.010322516149169457
18mo.9mo.Q.max.loops,18,0.004841779177462654,17,0.0025656218102593303,10,0.01971302014880585
9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,19,0.003250951290545849,5,0.02063922800179156,7,0.03402245651745862
18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,20,0.0031638844083923356,23,0.0,25,0.0031324964420169927
18mo.2mo.Q.median.loops,21,0.0018895568948855876,7,0.014936452032525164,26,0.0015014024190278402
9mo.2mo.Q.min.loops,22,0.0014849565843903238,32,0.0,15,0.0105716225413552
18mo.2mo.Q.mean.loops,23,0.0014017580571068229,9,0.010592826399869155,23,0.0049515940337315776
Qanova.max.loops,24,0.0005196586004028301,24,0.0,18,0.007533988094959845
18mo.2mo.log_ratio.min.atac,25,0.0005001053713309537,6,0.018440693268332926,20,0.005993123298763005
9mo.2mo.Q.mean.loops,26,0.0002721047469883398,26,0.0,12,0.018409885585155276
18mo.9mo.Q.mean.loops,27,0.0,10,0.008507623256095194,29,0.000870770305282411
9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,28,0.0,31,0.0,11,0.018887030301356047
18mo.9mo.Q.min.loops,29,0.0,27,0.0,30,0.00033437461873729975
18mo.9mo.Q.median.loops,30,0.0,30,0.0,27,0.001206691712609664
9mo.2mo.Q.std.loops,31,0.0,20,0.0020335914548486552,31,0.0
9mo.2mo.Q.median.loops,32,0.0,25,0.0,28,0.001013244492802647
Tanova.std.loops,33,0.0,33,0.0,32,0.0
Tanova.min.loops,34,0.0,13,0.005303766461578615,21,0.005753919997578785
Qanova.median.loops,35,0.0,35,0.0,37,0.0
Qanova.min.loops,36,0.0,16,0.002982122009471733,35,0.0
Tanova.median.loops,37,0.0,36,0.0,34,0.0
Tanova.max.loops,38,0.0,34,0.0,38,0.0
