index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
9mo.2mo.log_ratio.mch_genebody,1,0.20206665202628918,1,0.24167281086560935,78,0.0
9mo.2mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,2,0.14480640803601602,61,0.0,31,0.01197648361911465
18mo.2mo.log_ratio.mch_genebody,3,0.1431664440549783,12,0.014018275296816582,26,0.02053682325156944
18mo.2mo.Q.std.loops,4,0.1184842935877885,67,0.0,2,0.2080644202465384
a_length.log.mean.loops,5,0.11523089471718659,22,0.004478607099523071,69,0.0
9mo.2mo.log_ratio.mean.atac,6,0.1086839070135117,34,0.0,22,0.034060569036518384
18mo.2mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,7,0.09784055879727213,30,0.001438914931729376,5,0.09523161753140211
9mo.2mo.Q.max.loops,8,0.08238456107085307,35,0.0,57,0.0
a_length.log.min.loops,9,0.08026585328618001,24,0.00378072974432912,12,0.04958620046016971
18mo.9mo.Q.std.loops,10,0.0442139543923376,5,0.041561924826440895,34,0.010842117829638955
18mo.2mo.Q.min.loops,11,0.040168308725963976,62,0.0,9,0.0643500285813067
18mo.2mo.log_ratio.mean.atac,12,0.039500624889709665,18,0.007898872423620069,6,0.09455866431931806
18mo.2mo.activity.log_ratio.mean.20kb-1Mb.enhancer_DMR,13,0.03241682865282644,49,0.0,79,0.0
18mo.9mo.log_ratio.DMR,14,0.024275237084991887,72,0.0,35,0.009755883380634364
9mo.2mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,15,0.022736569785116397,78,0.0,14,0.04572344648542539
18mo.2mo.T.min.loops,16,0.016733752543412403,65,0.0,46,8.206772217625918e-05
18mo.2mo.activity.log_ratio.count.20kb-1Mb.enhancer_DMR,17,0.014428367500746194,48,0.0,3,0.13940945332811444
18mo.9mo.log_ratio.mch_genebody,18,0.013335552408354419,10,0.01817483808987664,18,0.04023700753818166
Tanova.median.loops,19,0.012127915780039862,42,0.0,27,0.018807623956804166
a_length.log.max.loops,20,0.008650535129148073,31,0.0013105040633853678,36,0.00785128122782327
18mo.2mo.activity.log_ratio.median.20kb-1Mb.enhancer_peak,21,0.008539160242474015,51,0.0,75,0.0
Tanova.min.loops,22,0.008228317995211546,43,0.0,24,0.025988173116690636
18mo.9mo.log_ratio.mcg_genebody,23,0.00812416896588357,15,0.012758032052208159,50,0.0
