index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
18mo.2mo.log_ratio.mch_genebody,1,0.29549432196662123,15,0.007562555611138191,18,0.02622899462846113
9mo.2mo.log_ratio.mch_genebody,2,0.11768240913429134,7,0.023576452300367028,25,0.01737538673923665
18mo.9mo.log_ratio.DAR,3,0.08692238576304118,35,0.0,63,0.0
log2_distance.std.atac,4,0.050059981257316005,21,0.0038595068098917027,2,0.09938574130159677
9mo.2mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,5,0.048685775298357485,167,0.0,173,0.0
18mo.2mo.log_ratio.mean.atac,6,0.03769876888951595,142,0.0,148,0.0
18mo.2mo.activity.log_ratio.median.20kb-1Mb.enhancer_peak,7,0.03199519320150502,174,0.0,177,0.0
18mo.2mo.log_ratio.DAR,8,0.0316856149478771,38,0.0,31,0.011032239589301893
gene_length.meta,9,0.0307850604342899,6,0.03127224945002927,1,0.4744120507229184
9mo.2mo.Q.std.loops,10,0.03007533201190267,88,0.0,29,0.013917512808074474
a_length.log.max.loops,11,0.027918019784820974,73,0.0,56,0.0
18mo.2mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,12,0.027892425755039443,173,0.0,4,0.08044793100758833
9mo.2mo.log_ratio.mean.atac,13,0.026537632431583233,139,0.0,9,0.04706580433311584
9mo.2mo.activity.log_ratio.count.0-10kb.enhancer_DMR,14,0.02612385759259179,9,0.01602703581331757,146,0.0
count.atac,15,0.026035986357715372,1,0.14655058750203034,40,0.008454207891271485
18mo.9mo.log_ratio.mch_genebody,16,0.02132192910445813,86,0.0,34,0.010775709430055068
18mo.9mo.activity.log_ratio.count.0-10kb.enhancer_DMR,17,0.017702156330484227,82,0.0,71,0.0
18mo.2mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,18,0.017516579214029143,178,0.0,7,0.05143836503231413
9mo.2mo.log_ratio.DMR,19,0.016533532836749895,2,0.06874507299397545,83,0.0
9mo.2mo.activity.log_ratio.median.20kb-1Mb.enhancer_peak,20,0.016425430161797004,168,0.0,22,0.02400472904378553
18mo.2mo.activity.log_ratio.count.0-10kb.enhancer_DMR,21,0.01638657411634044,141,0.0,147,0.0
18mo.2mo.activity.log_ratio.std.20kb-1Mb.enhancer_peak,22,0.012507928275973294,175,0.0,178,0.0
9mo.2mo.log_ratio.DAR,23,0.012389638306943876,62,0.0,62,0.0
18mo.2mo.contact.log_ratio.mean.0-10kb.enhancer_peak,24,0.011758412077023056,210,0.0,211,0.0
18mo.9mo.Q.std.loops,25,0.010927452030368063,93,0.0,3,0.0926304214443587
a_length.log.min.loops,26,0.010449917992055297,74,0.0,20,0.02549179816396059
18mo.9mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,27,0.009453826894868041,185,0.0,184,0.0
18mo.2mo.activity.log_ratio.max.20kb-1Mb.enhancer_peak,28,0.008603765575877862,177,0.0,6,0.07058673514359096
18mo.9mo.Q.mean.loops,29,0.00799091462246969,91,0.0,87,0.0
18mo.2mo.T.std.loops,30,0.007310390442160959,65,0.0,15,0.03212626388808307
count.DMR,31,0.006919806755657849,11,0.014908082202137109,105,0.0
18mo.9mo.activity.log_ratio.count.1Mb-5Mb.enhancer_peak,32,0.00644284002528793,58,0.0,66,0.0
18mo.9mo.contact.log_ratio.median.20kb-1Mb.enhancer_DMR,33,0.0062438605425115265,134,0.0,192,0.0
18mo.2mo.activity.log_ratio.median.10kb-20kb.enhancer_DMR,34,0.005524373551790241,77,0.0,75,0.0
18mo.9mo.T.mean.loops,35,0.005500479637594986,107,0.0,50,0.0029987554323115894
18mo.2mo.Q.std.loops,36,0.005208899654531907,98,0.0,94,0.0
18mo.9mo.Q.skew.loops,37,0.004155233689760812,94,0.0,41,0.007092876709802393
18mo.9mo.activity.log_ratio.min.20kb-1Mb.enhancer_DMR,38,0.0028831864327715216,122,0.0,143,0.0
18mo.2mo.contact.log_ratio.mean.20kb-1Mb.enhancer_DMR,39,0.0027668351585207166,20,0.0038608558471301293,138,0.0
18mo.9mo.contact.log_ratio.max.20kb-1Mb.enhancer_peak,40,0.002699719455375817,53,0.0,26,0.015549678228002854
9mo.2mo.contact.log_ratio.max.20kb-1Mb.enhancer_peak,41,0.002570882237390123,40,0.0,32,0.010993818547703081
18mo.2mo.activity.log_ratio.max.10kb-20kb.enhancer_DMR,42,0.0023811018114210684,78,0.0,82,0.0
9mo.2mo.Q.min.loops,43,0.002269632650338993,4,0.05608812081955978,51,0.0029528322039330743
9mo.2mo.log_ratio.mcg_genebody,44,0.0019788842022900413,84,0.0,21,0.025343626169420465
9mo.2mo.log_ratio.std.atac,45,0.0019487250813817409,143,0.0,27,0.01456808057690473
9mo.2mo.contact.log_ratio.count.1Mb-5Mb.enhancer_peak,46,0.0,59,0.0,58,0.0
18mo.2mo.contact.log_ratio.count.1Mb-5Mb.enhancer_peak,47,0.0,60,0.0,59,0.0
18mo.9mo.contact.log_ratio.count.1Mb-5Mb.enhancer_peak,48,0.0,61,0.0,61,0.0
18mo.2mo.activity.log_ratio.min.10kb-20kb.enhancer_DMR,49,0.0,79,0.0,81,0.0
18mo.2mo.activity.log_ratio.mean.10kb-20kb.enhancer_DMR,50,0.0,76,0.0,57,0.0
18mo.2mo.activity.log_ratio.count.10kb-20kb.enhancer_DMR,51,0.0,80,0.0,79,0.0
a_length.log.skew.loops,52,0.0,72,0.0,47,0.003379776978210654
count.DAR,53,0.0,8,0.017282095655681947,10,0.04468205044371422
a_length.log.std.loops,54,0.0,71,0.0,60,0.0
18mo.9mo.log_ratio.DMR,55,0.0,26,0.0,103,0.0
18mo.2mo.log_ratio.DMR,56,0.0,3,0.057375547999601886,17,0.0262821622258643
a_length.log.median.loops,57,0.0,70,0.0,12,0.040314061809200726
Qanova.mean.loops,58,0.0,29,0.0,93,0.0
a_length.log.mean.loops,59,0.0,69,0.0,64,0.0
9mo.2mo.activity.log_ratio.count.10kb-20kb.enhancer_DMR,60,0.0,87,0.0,55,0.0
18mo.2mo.contact.log_ratio.median.20kb-1Mb.enhancer_peak,61,0.0,43,0.0,37,0.00899902731522178
18mo.2mo.contact.log_ratio.std.20kb-1Mb.enhancer_peak,62,0.0,44,0.0,68,0.0
18mo.2mo.contact.log_ratio.skew.20kb-1Mb.enhancer_peak,63,0.0,45,0.0,69,0.0
18mo.2mo.contact.log_ratio.max.20kb-1Mb.enhancer_peak,64,0.0,46,0.0,45,0.0035082546290987585
18mo.2mo.contact.log_ratio.min.20kb-1Mb.enhancer_peak,65,0.0,47,0.0,72,0.0
18mo.2mo.contact.log_ratio.count.20kb-1Mb.enhancer_peak,66,0.0,48,0.0,73,0.0
18mo.9mo.contact.log_ratio.mean.20kb-1Mb.enhancer_peak,67,0.0,49,0.0,74,0.0
18mo.2mo.log_ratio.mcg_genebody,68,0.0,85,0.0,14,0.03578197286108787
count.loops,69,0.0,83,0.0,70,0.0
18mo.9mo.contact.log_ratio.std.20kb-1Mb.enhancer_peak,70,0.0,51,0.0,76,0.0
18mo.9mo.contact.log_ratio.skew.20kb-1Mb.enhancer_peak,71,0.0,52,0.0,77,0.0
18mo.9mo.contact.log_ratio.min.20kb-1Mb.enhancer_peak,72,0.0,54,0.0,80,0.0
18mo.9mo.contact.log_ratio.count.20kb-1Mb.enhancer_peak,73,0.0,55,0.0,84,0.0
18mo.9mo.log_ratio.mcg_genebody,74,0.0,13,0.00991928463329953,67,0.0
9mo.2mo.activity.log_ratio.count.1Mb-5Mb.enhancer_peak,75,0.0,56,0.0,16,0.027974642640069387
Qanova.median.loops,76,0.0,30,0.0,106,0.0
18mo.9mo.activity.log_ratio.mean.10kb-20kb.enhancer_DMR,77,0.0,81,0.0,78,0.0
18mo.2mo.activity.log_ratio.count.1Mb-5Mb.enhancer_peak,78,0.0,57,0.0,54,0.0
18mo.9mo.contact.log_ratio.median.20kb-1Mb.enhancer_peak,79,0.0,63,0.0,85,0.0
18mo.2mo.T.median.loops,80,0.0,64,0.0,48,0.0032360661161023583
18mo.2mo.Q.mean.loops,81,0.0,96,0.0,92,0.0
18mo.2mo.Q.median.loops,82,0.0,97,0.0,102,0.0
18mo.2mo.T.mean.loops,83,0.0,14,0.008073293431838335,109,0.0
18mo.2mo.Q.skew.loops,84,0.0,112,0.0,95,0.0
18mo.2mo.Q.max.loops,85,0.0,100,0.0,96,0.0
18mo.2mo.Q.min.loops,86,0.0,19,0.006082420195747657,97,0.0
9mo.2mo.T.mean.loops,87,0.0,101,0.0,98,0.0
Qanova.skew.loops,88,0.0,32,0.0,108,0.0
9mo.2mo.T.std.loops,89,0.0,103,0.0,100,0.0
9mo.2mo.T.skew.loops,90,0.0,104,0.0,101,0.0
9mo.2mo.T.max.loops,91,0.0,105,0.0,89,0.0
9mo.2mo.T.min.loops,92,0.0,106,0.0,110,0.0
18mo.9mo.T.min.loops,93,0.0,99,0.0,112,0.0
18mo.9mo.T.median.loops,94,0.0,108,0.0,117,0.0
18mo.9mo.T.std.loops,95,0.0,109,0.0,116,0.0
18mo.9mo.T.skew.loops,96,0.0,110,0.0,44,0.00385200879071307
18mo.9mo.T.max.loops,97,0.0,111,0.0,113,0.0
9mo.2mo.T.median.loops,98,0.0,102,0.0,99,0.0
Qanova.std.loops,99,0.0,31,0.0,107,0.0
Qanova.max.loops,100,0.0,33,0.0,38,0.008817722599872619
Qanova.min.loops,101,0.0,34,0.0,119,0.0
