index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
18mo.2mo.log_ratio.mch_genebody,1,0.282600551826472,10,0.014244180662027274,14,0.022890196718944284
9mo.2mo.log_ratio.mch_genebody,2,0.12844325463454728,18,0.004088078926888241,57,0.0
18mo.2mo.log_ratio.max.atac,3,0.07701904441675322,25,0.001882147414257938,44,0.0006914482191750169
loop_size.log.mean.loops,4,0.05093545746067788,55,0.0,56,0.0
18mo.9mo.Q.std.loops,5,0.04942583337699913,17,0.00495235970025334,17,0.016368255021688424
gene_length.meta,6,0.042149536146272815,5,0.026279899217254262,1,0.3983266885990953
18mo.2mo.log_ratio.mean.atac,7,0.03098789619879659,58,0.0,43,0.0015034429131125643
count.atac,8,0.030718399743030683,1,0.0950826647357524,26,0.008898324030360295
18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9,0.024471816766362793,34,0.0,31,0.004408590932571357
18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,10,0.020523649483858233,21,0.0026393122056932697,18,0.015666338787673956
9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,11,0.01929131848770244,29,0.0011199872316049546,25,0.009485205763956355
distance.log2.DMR,12,0.018068086018817396,49,0.0,10,0.03203438704512387
18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,13,0.017553964296538865,36,0.0,48,0.0
9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,14,0.01755333966178885,28,0.0011316130272794637,46,0.0
18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,15,0.017161900935067878,26,0.0015894241502071174,33,0.0041573793746769805
18mo.9mo.T.median.loops,16,0.01560174220802497,19,0.0029099398349742697,6,0.04300610545294632
9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,17,0.014545705049050587,31,0.0006844182496960737,27,0.006615488620855584
loop_size.log.min.loops,18,0.01439935321379463,57,0.0,5,0.06291914382736993
18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,19,0.014271572326674352,39,0.0,2,0.11372512063982328
log2_distance.std.atac,20,0.014236857408861527,20,0.002758131296528441,7,0.04109201303257381
18mo.2mo.T.median.loops,21,0.01002135115356121,52,0.0,8,0.03791172686526122
9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,22,0.00907257313228198,7,0.01934463504742008,24,0.009581942736102533
18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,23,0.008130581301151771,44,0.0,3,0.07398776983686148
9mo.2mo.Q.min.loops,24,0.007849282205606604,4,0.049774650871255155,20,0.014452206177416669
loop_size.log.max.loops,25,0.007196419555096706,32,0.00020031097155959646,59,0.0
18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,26,0.005473488104352867,42,0.0,42,0.0016385050698927888
18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_DMR,27,0.004871256841495852,38,0.0,39,0.002033031947302828
18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,28,0.0045093253849177225,35,0.0,29,0.00568900940404019
18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,29,0.004400894771878449,24,0.0019673270211649847,50,0.0
18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,30,0.0037424472536792086,41,0.0,47,0.0
9mo.2mo.log_ratio.std.atac,31,0.003721920097687254,60,0.0,21,0.012173963113280433
18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,32,0.002492040250827325,40,0.0,19,0.015314167312178559
18mo.2mo.Q.median.loops,33,0.001985540172837024,8,0.017133461497445865,52,0.0
Qanova.median.loops,34,0.0016564231718989137,46,0.0,32,0.004339815862866709
18mo.9mo.log_ratio.min.atac,35,0.0014482381498439707,59,0.0,60,0.0
18mo.2mo.Q.std.loops,36,0.0011849841104407098,50,0.0,16,0.017045123067849617
18mo.9mo.log_ratio.mcg_genebody,37,0.001000234393444094,6,0.020715459631331947,40,0.0017817900593400382
