index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
9mo.2mo.log_ratio.mch_genebody,1,0.11640362654644133,2,0.051057832384555676,74,0.0
log2_distance.std.atac,2,0.1076855836638042,144,0.0,11,0.006900665796435364
9mo.2mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,3,0.10430898566094628,184,0.0,184,0.0
a_length.log.mean.loops,4,0.08463819169494523,53,0.0,60,0.0
a_length.log.median.loops,5,0.05395155970166489,54,0.0,8,0.011513285924386442
9mo.2mo.activity.log_ratio.median.20kb-1Mb.enhancer_peak,6,0.044468585405327124,185,0.0,4,0.048230979614646126
9mo.2mo.log_ratio.mcg_genebody,7,0.02918427557129979,68,0.0,10,0.010073667043103147
18mo.9mo.activity.log_ratio.skew.20kb-1Mb.enhancer_peak,8,0.029138936549425055,154,0.0,153,0.0
18mo.9mo.activity.log_ratio.std.20kb-1Mb.enhancer_peak,9,0.01439911270894013,153,0.0,152,0.0
18mo.2mo.activity.log_ratio.count.1Mb-5Mb.enhancer_peak,10,0.01404775426453475,50,0.0,41,0.0
18mo.2mo.activity.log_ratio.skew.20kb-1Mb.enhancer_peak,11,0.004998822603864894,147,0.0,146,0.0
count.loops,12,0.0048034816886004155,67,0.0,72,0.0
Qanova.min.loops,13,0.0,12,0.0,20,0.0
Qanova.skew.loops,14,0.0,14,0.0,18,0.0
Qanova.std.loops,15,0.0,15,0.0,21,0.0
Qanova.median.loops,16,0.0,16,0.0,32,0.0
Qanova.mean.loops,17,0.0,17,0.0,7,0.03504220714749712
Qanova.max.loops,18,0.0,13,0.0,19,0.0
Tanova.mean.loops,19,0.0,11,0.0,22,0.0
count.DMR,20,0.0,6,0.024964713397019164,53,0.0
Tanova.std.loops,21,0.0,10,0.0,24,0.0
Tanova.skew.loops,22,0.0,19,0.0,16,0.002231982952890622
Tanova.max.loops,23,0.0,20,0.0,25,0.0
Tanova.min.loops,24,0.0,21,0.0,26,0.0
9mo.2mo.Q.mean.loops,25,0.0,28,0.0,27,0.0
9mo.2mo.Q.median.loops,26,0.0,22,0.0,28,0.0
9mo.2mo.Q.std.loops,27,0.0,23,0.0,29,0.0
9mo.2mo.Q.skew.loops,28,0.0,8,0.008411192882340403,30,0.0
9mo.2mo.Q.max.loops,29,0.0,24,0.0,15,0.0025116427637342457
9mo.2mo.Q.min.loops,30,0.0,25,0.0,31,0.0
Tanova.median.loops,31,0.0,18,0.0,23,0.0
18mo.2mo.contact.log_ratio.count.20kb-1Mb.enhancer_peak,32,0.0,30,0.0,33,0.0
18mo.9mo.contact.log_ratio.mean.20kb-1Mb.enhancer_peak,33,0.0,31,0.0,34,0.0
18mo.9mo.contact.log_ratio.median.20kb-1Mb.enhancer_peak,34,0.0,32,0.0,35,0.0
18mo.9mo.contact.log_ratio.std.20kb-1Mb.enhancer_peak,35,0.0,33,0.0,36,0.0
18mo.9mo.contact.log_ratio.skew.20kb-1Mb.enhancer_peak,36,0.0,34,0.0,37,0.0
18mo.9mo.contact.log_ratio.max.20kb-1Mb.enhancer_peak,37,0.0,35,0.0,38,0.0
18mo.9mo.contact.log_ratio.min.20kb-1Mb.enhancer_peak,38,0.0,36,0.0,39,0.0
18mo.9mo.contact.log_ratio.count.20kb-1Mb.enhancer_peak,39,0.0,37,0.0,40,0.0
