index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
9mo.2mo.log_ratio.mch_genebody,1,0.13017160296072486,2,0.03751714665690846,57,0.0
18mo.9mo.Q.std.loops,2,0.12598220315372785,38,0.0,44,0.0
9mo.2mo.log_ratio.max.atac,3,0.03852503200418529,57,0.0,2,0.11342079898189321
18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,4,0.030094537621296564,15,0.0,13,0.009005631662562094
loop_size.log.mean.loops,5,0.026795586411118216,55,0.0,56,0.0
rel_pos.DMR,6,0.02392931396307084,6,0.02120857802392774,14,0.007141696574705574
gene_length.meta,7,0.016956648813701496,4,0.02484043084676253,1,0.28372345373592067
9mo.2mo.Q.std.loops,8,0.016845464807089504,45,0.0,4,0.021724762125982355
18mo.9mo.log_ratio.mch_genebody,9,0.016832604443939334,56,0.0,5,0.018986103786461993
Tanova.min.loops,10,0.014273557634978229,52,0.0,54,0.0
count.enhancer_peak,11,0.014187445535973982,3,0.034256001615691575,32,0.0
18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,12,0.010052897716308696,21,0.0,20,0.0
18mo.2mo.log_ratio.DMR,13,0.009523438031196998,26,0.0,26,0.0
18mo.9mo.Q.min.loops,14,0.006918234425768465,1,0.13545536309774753,45,0.0
18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,15,0.004759495368726739,22,0.0,35,0.0
18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,16,0.00450310333536962,25,0.0,7,0.0171912466361812
9mo.2mo.Q.min.loops,17,0.003688886418546504,11,0.0044060022392506245,49,0.0
18mo.9mo.Q.mean.loops,18,0.0021967243284636557,36,0.0,46,0.0
18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,19,0.002135001131912424,12,0.003222656814713878,10,0.01250992506898718
18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,20,0.0,14,0.0,18,0.0
18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,21,0.0,20,0.0,22,0.0
18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,22,0.0,23,0.0,25,0.0
18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,23,0.0,13,0.0,19,0.0
18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,24,0.0,10,0.010752457864842946,23,0.0
9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,25,0.0,24,0.0,24,0.0
rel_pos.DAR,26,0.0,27,0.0,27,0.0
count.DAR,27,0.0,28,0.0,28,0.0
9mo.2mo.log_ratio.DAR,28,0.0,29,0.0,29,0.0
18mo.9mo.log_ratio.DAR,29,0.0,9,0.010889024883876282,30,0.0
9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,30,0.0,31,0.0,33,0.0
18mo.2mo.log_ratio.DAR,31,0.0,30,0.0,31,0.0
9mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,32,0.0,19,0.0,3,0.048733596287937345
9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,33,0.0,18,0.0,34,0.0
18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,34,0.0,16,0.0,21,0.0
18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,35,0.0,17,0.0,17,0.0
18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,36,0.0,7,0.018061533616671892,36,0.0
18mo.2mo.Q.median.loops,37,0.0,34,0.0,11,0.011220582899588471
distance.log2.DMR,38,0.0,32,0.0,39,0.0
18mo.9mo.log_ratio.DMR,39,0.0,41,0.0,16,0.002461066706057049
count.DMR,40,0.0,8,0.01796567944006376,41,0.0
9mo.2mo.log_ratio.DMR,41,0.0,33,0.0,6,0.017560835018153628
9mo.2mo.Q.median.loops,42,0.0,42,0.0,12,0.009639465976077559
9mo.2mo.Q.mean.loops,43,0.0,43,0.0,42,0.0
9mo.2mo.Q.max.loops,44,0.0,39,0.0,43,0.0
18mo.9mo.Q.median.loops,45,0.0,37,0.0,47,0.0
18mo.9mo.Q.max.loops,46,0.0,35,0.0,37,0.0
size.log2.DMR,47,0.0,5,0.022067577375488114,40,0.0
18mo.2mo.Q.mean.loops,48,0.0,40,0.0,38,0.0
Qanova.max.loops,49,0.0,44,0.0,52,0.0
Tanova.max.loops,50,0.0,50,0.0,50,0.0
Qanova.std.loops,51,0.0,48,0.0,9,0.012661166351692949
Qanova.min.loops,52,0.0,47,0.0,51,0.0
Qanova.median.loops,53,0.0,46,0.0,8,0.015298423156583453
Qanova.mean.loops,54,0.0,49,0.0,48,0.0
Tanova.std.loops,55,0.0,54,0.0,15,0.0027207428800848955
Tanova.mean.loops,56,0.0,51,0.0,53,0.0
Tanova.median.loops,57,0.0,53,0.0,55,0.0
