index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
9mo.2mo.log_ratio.mch_genebody,1,0.3422906741429522,11,0.05245981593939222,3,0.18920945476324977
log2_distance.std.atac,2,0.23644298442883466,18,0.03115218975784394,5,0.14926191418583584
9mo.2mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,3,0.16793235756545458,63,0.0,8,0.0920768971856882
9mo.2mo.activity.log_ratio.count.1Mb-5Mb.enhancer_peak,4,0.13647317533002282,49,0.0,63,0.0
log2_distance.mean.atac,5,0.12503437981312826,3,0.12059259948685569,32,0.0019435326642713365
18mo.2mo.Q.std.loops,6,0.1143180670478283,19,0.029276377308567195,22,0.007770559094630392
9mo.2mo.Q.min.loops,7,0.10323980125894204,68,0.0,34,0.0
18mo.2mo.log_ratio.DMR,8,0.09892463510253165,5,0.09334000435444788,69,0.0
Qanova.median.loops,9,0.0970994209444034,17,0.03190662380166746,38,0.0
18mo.2mo.log_ratio.mch_genebody,10,0.08470938813056819,32,0.006058318372458036,26,0.005037767878496947
18mo.2mo.log_ratio.mcg_genebody,11,0.06238003517164195,7,0.06568144563524986,57,0.0
9mo.2mo.log_ratio.mcg_genebody,12,0.04817047117119799,75,0.0,20,0.011337245269096392
18mo.9mo.T.min.loops,13,0.045186610940156156,4,0.10835858779539145,77,0.0
9mo.2mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,14,0.04361958797378496,61,0.0,10,0.04545485175129745
9mo.2mo.Q.max.loops,15,0.04331563393881063,30,0.0065261210914945075,40,0.0
a_length.log.max.loops,16,0.033393174052209144,72,0.0,25,0.005059654276080119
18mo.2mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,17,0.032605438417663044,34,0.005206086644927948,44,0.0
Tanova.median.loops,18,0.03243436695620408,65,0.0,39,0.0
9mo.2mo.log_ratio.mean.atac,19,0.0320015813566793,36,0.0048816208938372106,14,0.02965388279594235
a_length.log.median.loops,20,0.028395290020411582,2,0.13026782476933904,55,0.0
18mo.9mo.log_ratio.mean.atac,21,0.023148661626373756,1,0.1957613699674968,24,0.005337622673883808
18mo.2mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,22,0.019912012089300303,43,0.0,46,0.0
a_length.log.mean.loops,23,0.019386366951218214,74,0.0,65,0.0
18mo.9mo.log_ratio.mch_genebody,24,0.01866983027949871,8,0.05865319661290191,19,0.013091313591712922
18mo.9mo.Q.median.loops,25,0.01651367402629111,60,0.0,76,0.0
18mo.2mo.log_ratio.std.atac,26,0.014289777227306727,38,0.003415019925567063,6,0.11997625929766571
9mo.2mo.Q.std.loops,27,0.014118250573315139,67,0.0,35,0.0
18mo.9mo.Q.std.loops,28,0.01398543758437094,14,0.03784575389284585,11,0.03460396950706768
18mo.9mo.T.skew.loops,29,0.013907706205943225,15,0.03533621561856152,78,0.0
9mo.2mo.log_ratio.DMR,30,0.013214590496541865,54,0.0,27,0.004716864046141377
18mo.9mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,31,0.012883813154998307,70,0.0,23,0.006326066149180211
18mo.2mo.T.max.loops,32,0.012483304132325157,51,0.0,16,0.026102425244690426
18mo.2mo.activity.log_ratio.median.20kb-1Mb.enhancer_peak,33,0.011832501487579776,44,0.0,52,0.0
count.DMR,34,0.01103703272258874,20,0.02620477764675106,71,0.0
9mo.2mo.log_ratio.std.atac,35,0.010909584436955014,76,0.0,58,0.0
18mo.9mo.activity.log_ratio.median.20kb-1Mb.enhancer_peak,36,0.007955176664317387,9,0.057426410920207956,4,0.180339641856279
Tanova.min.loops,37,0.007907413670624228,64,0.0,50,0.0
a_length.log.min.loops,38,0.007592231143359973,40,0.001620703459518796,56,0.0
18mo.9mo.T.std.loops,39,0.007580663147485051,42,0.0007352866670577264,45,0.0
9mo.2mo.contact.log_ratio.std.20kb-1Mb.enhancer_peak,40,0.007552469057584191,10,0.056961743522725324,29,0.0035291339393016654
18mo.9mo.activity.log_ratio.max.20kb-1Mb.enhancer_peak,41,0.005842538119586747,39,0.0031512858250454467,48,0.0
9mo.2mo.contact.log_ratio.median.20kb-1Mb.enhancer_peak,42,0.005060936635135376,23,0.012376815883392586,79,0.0
9mo.2mo.contact.log_ratio.mean.20kb-1Mb.enhancer_peak,43,0.004764292903026044,25,0.011601471397707133,33,0.0012671008252131775
18mo.2mo.contact.log_ratio.std.20kb-1Mb.enhancer_peak,44,0.004073983667728945,29,0.00836346119555417,42,0.0
18mo.2mo.activity.log_ratio.max.20kb-1Mb.enhancer_peak,45,0.003855901147760016,33,0.00526709335472851,43,0.0
9mo.2mo.activity.log_ratio.count.20kb-1Mb.enhancer_peak,46,0.0036216842790201217,48,0.0,64,0.0
18mo.2mo.Q.min.loops,47,0.0024452468054910496,28,0.008888080138999518,74,0.0
9mo.2mo.log_ratio.DAR,48,0.0011306533511849942,57,0.0,17,0.01542261364771402
