index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
gene_length.meta,1,0.473214543201612,2,0.1847375639084565,1,0.8728250916959218
18mo.2mo.log_ratio.mcg_genebody,2,0.19556838906425317,53,0.003997125532545889,28,0.02506124173100889
18mo.9mo.log_ratio.std.atac,3,0.14819950856138558,8,0.0851979180399092,40,0.014834254763885462
18mo.2mo.log_ratio.DAR,4,0.10726093920316133,104,0.0,5,0.07121016948811486
18mo.9mo.log_ratio.mean.atac,5,0.09678097714942653,25,0.021044953029964987,3,0.1455250985662125
9mo.2mo.activity.log_ratio.min.10kb-20kb.enhancer_DMR,6,0.07443260994505976,221,0.0,99,0.0
18mo.2mo.log_ratio.mean.atac,7,0.07257130906126343,36,0.013506620553132134,2,0.15423771592210714
18mo.9mo.T.max.loops,8,0.0704899770813002,63,0.0022778365388671207,161,0.0
9mo.2mo.log_ratio.std.atac,9,0.06836248957484392,37,0.011720314652092197,7,0.0654104279558712
9mo.2mo.log_ratio.mcg_genebody,10,0.06442557231653694,116,0.0,13,0.04389824756805408
18mo.9mo.contact.log_ratio.median.0-10kb.enhancer_DMR,11,0.06373318317919915,78,0.0,154,0.0
9mo.2mo.log_ratio.DAR,12,0.0609599119261515,103,0.0,76,0.0038135220832356312
count.atac,13,0.05983449554778314,15,0.04704432041934485,145,0.0
18mo.2mo.activity.log_ratio.min.0-10kb.enhancer_peak,14,0.054302219252345914,237,0.0,53,0.009562745443077567
count.loops,15,0.04948745593837675,115,0.0,132,0.0
18mo.2mo.activity.log_ratio.median.20kb-1Mb.enhancer_peak,16,0.04738326109056409,6,0.09557819618238389,77,0.0034318859829841814
count.DAR,17,0.04119711669290383,10,0.07187864468521481,63,0.0076845868373077286
9mo.2mo.log_ratio.mean.atac,18,0.03847004661678737,30,0.01834435009279876,14,0.04322378600110237
log2_distance.mean.atac,19,0.03807697363354403,62,0.002575336420534707,141,0.0
18mo.2mo.contact.log_ratio.max.20kb-1Mb.enhancer_peak,20,0.03774043913909466,45,0.00733092234981468,41,0.014757601667779327
9mo.2mo.log_ratio.mch_genebody,21,0.03706071030047589,19,0.04290396569764299,56,0.00913767925315882
18mo.2mo.log_ratio.mch_genebody,22,0.035560889547962264,5,0.1109267876951651,193,0.0
18mo.9mo.contact.log_ratio.max.20kb-1Mb.enhancer_peak,23,0.03087648877033993,101,0.0,16,0.040057143761344165
18mo.2mo.activity.log_ratio.std.20kb-1Mb.enhancer_DMR,24,0.027332994276696224,51,0.0055613088474541165,247,0.0
18mo.2mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,25,0.025730513748570126,228,0.0,67,0.00523653370760574
18mo.9mo.contact.log_ratio.min.20kb-1Mb.enhancer_DMR,26,0.02459901727658973,216,0.0,60,0.007998326039220757
18mo.9mo.contact.log_ratio.mean.20kb-1Mb.enhancer_DMR,27,0.022564732873167206,176,0.0,204,0.0
9mo.2mo.Q.mean.loops,28,0.022170590376219414,17,0.04433804931625749,85,0.0012758516007614455
18mo.2mo.activity.log_ratio.max.0-10kb.enhancer_DMR,29,0.02211874892723579,190,0.0,147,0.0
18mo.2mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,30,0.022036860020412358,4,0.14819317993144498,11,0.04989941246924208
18mo.2mo.contact.log_ratio.std.20kb-1Mb.enhancer_peak,31,0.02106834218910455,96,0.0,55,0.009396557040920506
18mo.9mo.log_ratio.DAR,32,0.02061761805178082,48,0.006108961510307583,42,0.01463703206880862
9mo.2mo.activity.log_ratio.count.20kb-1Mb.enhancer_DMR,33,0.019516637738007027,196,0.0,245,0.0
log2_distance.std.atac,34,0.019516549625885695,38,0.010466921364255963,35,0.018780901175123984
Qanova.max.loops,35,0.01913573059989367,71,0.0,125,0.0
18mo.9mo.T.median.loops,36,0.01887972716087049,146,0.0,4,0.07321708256911078
9mo.2mo.activity.log_ratio.max.0-10kb.enhancer_DMR,37,0.018821297696374473,194,0.0,83,0.002142781173848843
18mo.9mo.contact.log_ratio.max.10kb-20kb.enhancer_DMR,38,0.018240060800534967,50,0.005779502414586404,242,0.0
9mo.2mo.Q.min.loops,39,0.017213400153874233,29,0.019426065191941164,48,0.010831239514651592
18mo.9mo.activity.log_ratio.median.20kb-1Mb.enhancer_DMR,40,0.016997761055088167,162,0.0,94,0.0003738981196547325
18mo.9mo.contact.log_ratio.max.0-10kb.enhancer_peak,41,0.016622373813467033,251,0.0,74,0.003952138951922446
