index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
gene_length.meta,1,0.478415880041005,3,0.20076005929540058,1,1.0110217495051566
18mo.2mo.log_ratio.mcg_genebody,2,0.2760324093467789,26,0.032783669133548514,20,0.05960601910690635
count.atac,3,0.19104947863509855,14,0.074353489456722,35,0.011380144725169582
18mo.9mo.log_ratio.std.atac,4,0.1803180309338247,6,0.10896298703428015,25,0.044962068735971854
9mo.2mo.log_ratio.std.atac,5,0.17229278293089187,37,0.009165989572423473,5,0.11478320508820807
18mo.9mo.T.max.loops,6,0.11450274784433088,21,0.058664869576686506,32,0.018742757523814057
9mo.2mo.log_ratio.DAR,7,0.11382412722498969,41,0.004198451809878471,30,0.02118732836463538
18mo.9mo.log_ratio.mean.atac,8,0.11213257164948462,25,0.03591122035492797,3,0.20507823375436185
18mo.9mo.contact.log_ratio.median.0-10kb.enhancer_DMR,9,0.11094546918878614,39,0.008371947856606683,39,0.0058316185990111595
18mo.9mo.T.median.loops,10,0.10231152689578926,23,0.04315553955160834,6,0.10601326095443694
18mo.2mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,11,0.09933309647118528,4,0.14297829411152566,11,0.08827731105590755
9mo.2mo.activity.log_ratio.min.10kb-20kb.enhancer_DMR,12,0.09331656664207,29,0.029230729652255764,41,0.0015177320515524278
18mo.2mo.log_ratio.mean.atac,13,0.0822425518730154,28,0.029445110985098534,2,0.20603357863154476
9mo.2mo.log_ratio.mcg_genebody,14,0.0801775411631475,34,0.014054805230619047,23,0.04806288415899155
9mo.2mo.log_ratio.mean.atac,15,0.0781726781692287,22,0.05235394576884843,18,0.06726648180869278
18mo.2mo.log_ratio.DAR,16,0.07272094656971313,38,0.008597564294252676,15,0.07382069645914172
18mo.9mo.contact.log_ratio.max.20kb-1Mb.enhancer_peak,17,0.06913622378735337,36,0.009925886455532685,22,0.05560000466259097
18mo.2mo.activity.log_ratio.median.20kb-1Mb.enhancer_peak,18,0.057668052129072736,10,0.09275137519289661,34,0.013972889827962284
18mo.9mo.activity.log_ratio.std.20kb-1Mb.enhancer_DMR,19,0.05388824508181789,7,0.10171266346347228,33,0.015601053139540594
18mo.2mo.contact.log_ratio.std.20kb-1Mb.enhancer_peak,20,0.053838223545334817,31,0.01794747730242574,27,0.02858376832769341
log2_distance.std.atac,21,0.052777427080309296,35,0.013591607937150252,21,0.05570188815269375
9mo.2mo.Q.mean.loops,22,0.0516247696684083,27,0.03215736638504597,37,0.010186778212510347
18mo.9mo.Q.min.loops,23,0.04653711247275288,13,0.07440631281720916,10,0.09197517611600059
count.DAR,24,0.04358692771898469,16,0.0712131901822352,29,0.023570223734827978
18mo.9mo.activity.log_ratio.median.20kb-1Mb.enhancer_peak,25,0.039842405630451105,18,0.06975293635454859,9,0.1000986516604519
18mo.2mo.log_ratio.mch_genebody,26,0.03861665747994416,20,0.06385296856074871,31,0.020428119889086337
9mo.2mo.log_ratio.mch_genebody,27,0.03691852590660126,11,0.09002297406250981,12,0.08467101828071995
18mo.2mo.log_ratio.std.atac,28,0.031002454033645203,33,0.01458928083748716,16,0.06919660996128361
Tanova.std.loops,29,0.03061438031811032,8,0.09527225905926492,40,0.0046691783301135515
9mo.2mo.Q.std.loops,30,0.029023937164759026,40,0.006255713376327108,8,0.10191195788894968
9mo.2mo.activity.log_ratio.max.20kb-1Mb.enhancer_DMR,31,0.023936828802043043,17,0.07120692391962016,28,0.02753845676927452
18mo.9mo.log_ratio.mch_genebody,32,0.019599503304326228,1,0.30451394831034034,7,0.10425730900461959
18mo.9mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,33,0.01899136662683853,19,0.0679849283298074,19,0.06251651337464108
Qanova.median.loops,34,0.016227594713210385,12,0.07847178606447852,24,0.045882550271731916
18mo.9mo.activity.log_ratio.max.0-10kb.enhancer_DMR,35,0.015386283657883788,15,0.0729702548247694,36,0.010917994456946885
9mo.2mo.Q.median.loops,36,0.015360057400332902,24,0.0430931113376704,14,0.07749072935700517
18mo.2mo.contact.log_ratio.mean.10kb-20kb.enhancer_DMR,37,0.014259083001452632,32,0.017368066869435345,4,0.12316743723219047
18mo.9mo.activity.log_ratio.min.0-10kb.enhancer_peak,38,0.013572732808228448,30,0.025919829223860304,13,0.07770688327222851
9mo.2mo.Q.max.loops,39,0.00809801234657359,2,0.24675085388538565,38,0.007232545082491378
18mo.2mo.activity.log_ratio.max.0-10kb.enhancer_peak,40,0.007472082061259268,5,0.11425454669527389,26,0.03511347694369865
18mo.9mo.activity.log_ratio.median.0-10kb.enhancer_peak,41,0.0061070331739914155,9,0.09452169283451149,17,0.06870157144492628
