index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
18mo.2mo.log_ratio.mean.atac,1,0.06605234541231768,7,0.020306282948586114,2,0.05358585517826109
gene_length.meta,2,0.0058686386410366055,1,0.24352486816577273,1,0.35686371057307964
count.atac,3,0.004778212336138562,87,0.0,67,0.0
Qanova.std.loops,4,0.0,24,0.0,49,0.0
Qanova.min.loops,5,0.0,16,0.0,19,0.0
Tanova.mean.loops,6,0.0,17,0.0,16,0.0
Tanova.median.loops,7,0.0,18,0.0,15,0.0
Tanova.std.loops,8,0.0,19,0.0,14,0.0
Tanova.max.loops,9,0.0,20,0.0,17,0.0
Tanova.min.loops,10,0.0,21,0.0,12,0.0
9mo.2mo.Q.mean.loops,11,0.0,22,0.0,11,0.0
9mo.2mo.Q.median.loops,12,0.0,23,0.0,10,0.0
9mo.2mo.Q.std.loops,13,0.0,33,0.0,13,0.0
9mo.2mo.Q.max.loops,14,0.0,25,0.0,18,0.0
9mo.2mo.Q.min.loops,15,0.0,26,0.0,29,0.0
18mo.9mo.Q.mean.loops,16,0.0,27,0.0,20,0.0
18mo.9mo.Q.median.loops,17,0.0,14,0.003201839398808406,21,0.0
18mo.9mo.Q.std.loops,18,0.0,28,0.0,22,0.0
18mo.9mo.Q.max.loops,19,0.0,29,0.0,23,0.0
18mo.9mo.Q.min.loops,20,0.0,30,0.0,24,0.0
18mo.2mo.Q.mean.loops,21,0.0,31,0.0,25,0.0
18mo.2mo.Q.median.loops,22,0.0,32,0.0,26,0.0
18mo.2mo.Q.std.loops,23,0.0,64,0.0,27,0.0
18mo.2mo.Q.max.loops,24,0.0,76,0.0,28,0.0
18mo.2mo.Q.min.loops,25,0.0,77,0.0,47,0.0
Qanova.max.loops,26,0.0,15,0.0,50,0.0
18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,27,0.0,165,0.0,76,0.0
18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,28,0.0,37,0.0,30,0.0
18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,29,0.0,34,0.0,31,0.0
18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,30,0.0,35,0.0,32,0.0
18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,31,0.0,36,0.0,33,0.0
18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,32,0.0,3,0.03169629686848454,34,0.0
18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,33,0.0,38,0.0,35,0.0
count.enhancer_peak,34,0.0,39,0.0,36,0.0
rel_pos.DAR,35,0.0,40,0.0,37,0.0
9mo.2mo.log_ratio.DAR,36,0.0,41,0.0,38,0.0
Qanova.median.loops,37,0.0,53,0.0,48,0.0
18mo.2mo.log_ratio.DAR,38,0.0,54,0.0,51,0.0
count.DAR,39,0.0,44,0.0,41,0.0
size.log2.DMR,40,0.0,45,0.0,3,0.04724700154918113
rel_pos.DMR,41,0.0,46,0.0,42,0.0
9mo.2mo.log_ratio.DMR,42,0.0,4,0.026320589171339105,43,0.0
18mo.9mo.log_ratio.DMR,43,0.0,49,0.0,5,0.012180624886635006
18mo.2mo.log_ratio.DMR,44,0.0,50,0.0,44,0.0
distance.log2.DMR,45,0.0,51,0.0,45,0.0
count.DMR,46,0.0,52,0.0,46,0.0
Qanova.mean.loops,47,0.0,43,0.0,40,0.0
9mo.2mo.T.mean.loops,48,0.0,78,0.0,74,0.0
18mo.9mo.log_ratio.DAR,49,0.0,42,0.0,39,0.0
min_distance.log.min.loops,50,0.0,60,0.0,52,0.0
count.loops,51,0.0,61,0.0,6,0.010444473040920152
9mo.2mo.log_ratio.mcg_genebody,52,0.0,62,0.0,53,0.0
18mo.9mo.log_ratio.mcg_genebody,53,0.0,63,0.0,54,0.0
18mo.2mo.log_ratio.mcg_genebody,54,0.0,75,0.0,55,0.0
9mo.2mo.log_ratio.mch_genebody,55,0.0,65,0.0,56,0.0
18mo.9mo.log_ratio.mch_genebody,56,0.0,66,0.0,57,0.0
18mo.2mo.log_ratio.mch_genebody,57,0.0,67,0.0,58,0.0
9mo.2mo.log_ratio.mean.atac,58,0.0,10,0.007753548075527157,59,0.0
9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,59,0.0,69,0.0,60,0.0
9mo.2mo.T.median.loops,60,0.0,79,0.0,75,0.0
18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,61,0.0,71,0.0,73,0.0
18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,62,0.0,72,0.0,63,0.0
18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,63,0.0,73,0.0,64,0.0
18mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,64,0.0,74,0.0,65,0.0
18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,65,0.0,68,0.0,66,0.0
18mo.9mo.log_ratio.mean.atac,66,0.0,84,0.0,4,0.022885912500325276
log2_distance.mean.atac,67,0.0,80,0.0,68,0.0
9mo.2mo.log_ratio.std.atac,68,0.0,48,0.0,69,0.0
18mo.9mo.log_ratio.std.atac,69,0.0,8,0.017202899797052636,70,0.0
18mo.2mo.log_ratio.std.atac,70,0.0,47,0.0,71,0.0
log2_distance.std.atac,71,0.0,108,0.0,72,0.0
18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,72,0.0,70,0.0,61,0.0
9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,73,0.0,11,0.0057771563780603385,164,0.0
9mo.2mo.T.std.loops,74,0.0,5,0.02388724406345691,62,0.0
9mo.2mo.T.max.loops,75,0.0,81,0.0,77,0.0
9mo.2mo.T.min.loops,76,0.0,82,0.0,78,0.0
