index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
18mo.2mo.log_ratio.mean.atac,1,0.10151638135971396,5,0.009968340308063048,2,0.09260109829500669
18mo.9mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,2,0.0,6,0.009213668037589445,9,0.0
gene_length.meta,3,0.0,1,0.23575433586477565,1,0.38439342697205725
18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,4,0.0,3,0.01385330357465559,5,0.0126073683038874
18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,5,0.0,11,0.0,11,0.0
18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,6,0.0,10,0.0,10,0.0
18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,7,0.0,15,0.0,15,0.0
18mo.9mo.log_ratio.DMR,8,0.0,8,0.0008820177696864394,3,0.028528137253494686
9mo.2mo.log_ratio.DMR,9,0.0,14,0.0,14,0.0
size.log2.DMR,10,0.0,13,0.0,13,0.0
9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,11,0.0,9,0.0,8,0.0
18mo.2mo.Q.max.loops,12,0.0,12,0.0,12,0.0
18mo.2mo.Q.mean.loops,13,0.0,19,0.0,19,0.0
18mo.2mo.Q.std.loops,14,0.0,27,0.0,18,0.0
18mo.2mo.Q.median.loops,15,0.0,18,0.0,27,0.0
18mo.9mo.Q.mean.loops,16,0.0,16,0.0,6,0.007815644423860832
18mo.9mo.Q.median.loops,17,0.0,17,0.0,17,0.0
18mo.9mo.Q.min.loops,18,0.0,26,0.0,26,0.0
18mo.9mo.Q.max.loops,19,0.0,7,0.005325991397805734,16,0.0
18mo.9mo.T.median.loops,20,0.0,21,0.0,21,0.0
9mo.2mo.Q.max.loops,21,0.0,23,0.0,22,0.0
9mo.2mo.Q.mean.loops,22,0.0,22,0.0,23,0.0
9mo.2mo.Q.median.loops,23,0.0,24,0.0,4,0.025861775491194866
9mo.2mo.Q.min.loops,24,0.0,4,0.011576005387161015,24,0.0
9mo.2mo.Q.std.loops,25,0.0,25,0.0,25,0.0
9mo.2mo.T.std.loops,26,0.0,29,0.0,29,0.0
18mo.9mo.Q.std.loops,27,0.0,20,0.0,20,0.0
Qanova.max.loops,28,0.0,28,0.0,28,0.0
Qanova.min.loops,29,0.0,30,0.0,30,0.0
Tanova.max.loops,30,0.0,34,0.0,34,0.0
Qanova.std.loops,31,0.0,31,0.0,31,0.0
Tanova.median.loops,32,0.0,32,0.0,32,0.0
Tanova.min.loops,33,0.0,33,0.0,33,0.0
Tanova.std.loops,34,0.0,37,0.0,37,0.0
Tanova.mean.loops,35,0.0,35,0.0,35,0.0
count.loops,36,0.0,36,0.0,36,0.0
loop_size.log.max.loops,37,0.0,38,0.0,39,0.0
18mo.2mo.log_ratio.min.atac,38,0.0,2,0.02241910769789037,38,0.0
18mo.9mo.log_ratio.mean.atac,39,0.0,39,0.0,40,0.0
18mo.9mo.log_ratio.min.atac,40,0.0,40,0.0,41,0.0
18mo.9mo.log_ratio.std.atac,41,0.0,41,0.0,7,0.0044496715848628635
9mo.2mo.log_ratio.mean.atac,42,0.0,42,0.0,42,0.0
count.atac,43,0.0,43,0.0,43,0.0
