index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
18mo.2mo.log_ratio.mean.atac,1,0.3378436301027886,33,0.0017214631324342507,14,0.017152445180381233
18mo.2mo.log_ratio.std.atac,2,0.12288187357930286,6,0.06082541854569348,7,0.029468933426397715
18mo.9mo.activity.log_ratio.max.20kb-1Mb.enhancer_peak,3,0.07608900479243728,19,0.015825930306700427,20,0.011326224270467578
gene_length.meta,4,0.0734008981460558,1,0.4328612308864816,1,0.8075554469086401
18mo.9mo.activity.log_ratio.median.20kb-1Mb.enhancer_peak,5,0.07144466242483319,72,0.0,8,0.02785972849563653
18mo.9mo.log_ratio.mean.atac,6,0.07049125441366182,31,0.0042409641950534125,6,0.03266074158512201
9mo.2mo.log_ratio.mean.atac,7,0.0653495541487608,23,0.012848775712883108,12,0.019237740504382615
9mo.2mo.T.skew.loops,8,0.06224021872421773,64,0.0,25,0.006320262566306943
18mo.2mo.log_ratio.mcg_genebody,9,0.04681758083983387,2,0.1225965801651346,77,0.0
18mo.9mo.log_ratio.mcg_genebody,10,0.04598133786548742,20,0.015425628495493712,76,0.0
18mo.2mo.T.median.loops,11,0.031680936547884994,8,0.04403797131425116,48,0.0
18mo.2mo.log_ratio.DMR,12,0.02612836341031827,24,0.012216356185399162,10,0.023793657223178295
18mo.2mo.T.min.loops,13,0.01880008270652056,54,0.0,23,0.007999844688638093
18mo.9mo.log_ratio.std.atac,14,0.01720199938623771,30,0.0069574916385066144,18,0.012082812622574605
count.atac,15,0.01708284523289573,27,0.009901208794825258,22,0.009275447725112204
9mo.2mo.contact.log_ratio.std.20kb-1Mb.enhancer_peak,16,0.016220935880411784,26,0.01022721451514277,56,0.0
9mo.2mo.Q.skew.loops,17,0.0153214885412159,65,0.0,37,0.0016967213937978574
18mo.2mo.T.max.loops,18,0.011774861026929368,51,0.0,49,0.0
Qanova.median.loops,19,0.009149066336640034,67,0.0,67,0.0
9mo.2mo.log_ratio.DMR,20,0.008621804346167128,17,0.017574693595418318,38,0.0014295663223361924
18mo.9mo.T.skew.loops,21,0.008283426143641252,58,0.0,41,0.0005660495609115275
9mo.2mo.Q.median.loops,22,0.007606626202908691,25,0.010278120188697509,16,0.015684513484253888
18mo.2mo.activity.log_ratio.mean.20kb-1Mb.enhancer_DMR,23,0.0058533928748571665,78,0.0,29,0.0035329206439424737
a_length.log.min.loops,24,0.005372764898342137,76,0.0,78,0.0
a_length.log.std.loops,25,0.004884733166080291,28,0.008477353441829927,33,0.00219125302327466
18mo.2mo.Q.median.loops,26,0.004457719579105612,48,0.0,39,0.0010120265071630564
18mo.9mo.Q.median.loops,27,0.0040947759843515475,13,0.02446622175154403,32,0.0029331281632076164
18mo.9mo.contact.log_ratio.min.20kb-1Mb.enhancer_peak,28,0.0040666712377692175,4,0.06949770173014602,71,0.0
18mo.9mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,29,0.0036705600016699123,36,0.00011036260689602416,70,0.0
9mo.2mo.activity.log_ratio.count.1Mb-5Mb.enhancer_peak,30,0.0033533271188907333,73,0.0,42,0.00017997858860594216
18mo.2mo.activity.log_ratio.median.20kb-1Mb.enhancer_peak,31,0.003219268553800984,41,0.0,21,0.009622800910487254
18mo.9mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,32,0.003085459747027073,11,0.026736045117962674,69,0.0
18mo.2mo.T.std.loops,33,0.0026385187786300947,22,0.012943135252977508,40,0.0009140732876134521
18mo.9mo.T.std.loops,34,0.002195855113953508,59,0.0,62,0.0
count.DMR,35,0.0021841302416481948,49,0.0,52,0.0
18mo.2mo.log_ratio.DAR,36,0.0021587215222642286,44,0.0,19,0.01164705712118911
log2_distance.mean.atac,37,0.0019810446933475737,38,0.0,15,0.01589181847862173
9mo.2mo.contact.log_ratio.median.20kb-1Mb.enhancer_peak,38,0.0016985724281263499,63,0.0,3,0.06294157983328431
18mo.2mo.Q.min.loops,39,0.001305769315361681,12,0.02572755619336829,51,0.0
log2_distance.std.atac,40,0.0010775792492604174,79,0.0,4,0.058202536276827546
9mo.2mo.activity.log_ratio.count.20kb-1Mb.enhancer_peak,41,0.0010339150447162878,55,0.0,61,0.0
9mo.2mo.contact.log_ratio.mean.20kb-1Mb.enhancer_peak,42,0.0010196820205644105,62,0.0,53,0.0
18mo.2mo.activity.log_ratio.max.20kb-1Mb.enhancer_peak,43,0.0009876581650893482,32,0.002701723559568156,46,0.0
18mo.9mo.T.min.loops,44,0.000942414713366379,57,0.0,34,0.0019438266904827058
18mo.2mo.Q.std.loops,45,0.0008061736388379969,50,0.0,17,0.0132829887179182
9mo.2mo.activity.log_ratio.std.20kb-1Mb.enhancer_peak,46,0.0007665167439681906,14,0.023405327002103283,54,0.0
9mo.2mo.log_ratio.DAR,47,0.0007002566126152722,34,0.0014646503716830319,9,0.027321638939709937
9mo.2mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,48,0.00015725572998440961,52,0.0,44,0.0
18mo.9mo.log_ratio.DMR,49,0.0,45,0.0,11,0.02184950445982863
18mo.9mo.log_ratio.DAR,50,0.0,35,0.0012857034457512703,31,0.003162707592470206
count.DAR,51,0.0,5,0.0634453240920154,55,0.0
18mo.9mo.log_ratio.mch_genebody,52,0.0,69,0.0,58,0.0
18mo.2mo.Q.mean.loops,53,0.0,29,0.007302858330455574,50,0.0
18mo.2mo.contact.log_ratio.mean.20kb-1Mb.enhancer_peak,54,0.0,43,0.0,5,0.04674550516668862
18mo.2mo.log_ratio.mch_genebody,55,0.0,47,0.0,59,0.0
18mo.2mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,56,0.0,40,0.0,45,0.0
18mo.9mo.activity.log_ratio.max.20kb-1Mb.enhancer_DMR,57,0.0,39,0.0,28,0.0046532287463113215
18mo.2mo.activity.log_ratio.count.0-10kb.enhancer_peak,58,0.0,46,0.0,47,0.0
18mo.2mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,59,0.0,37,0.0,57,0.0
18mo.2mo.activity.log_ratio.std.20kb-1Mb.enhancer_peak,60,0.0,9,0.03632782605788355,36,0.001734702947465839
9mo.2mo.log_ratio.mch_genebody,61,0.0,70,0.0,60,0.0
9mo.2mo.activity.log_ratio.median.20kb-1Mb.enhancer_peak,62,0.0,21,0.014223169911529533,30,0.003315009155946928
9mo.2mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,63,0.0,53,0.0,13,0.01741214511886258
Tanova.min.loops,64,0.0,66,0.0,24,0.006665297292980188
Tanova.median.loops,65,0.0,71,0.0,66,0.0
9mo.2mo.Q.std.loops,66,0.0,15,0.022836270385871292,68,0.0
