index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
gene_length.meta,1,0.6589464698282632,1,0.17344447630447285,1,0.8520468394775155
18mo.9mo.log_ratio.DAR,2,0.12105741821853268,17,0.011615739310185239,65,0.004156979604326598
9mo.2mo.log_ratio.mcg_genebody,3,0.08475415641479843,12,0.019172764131694737,21,0.01814836222170448
18mo.9mo.log_ratio.std.atac,4,0.08245701661681051,30,0.006483549891267212,14,0.029111728963862646
18mo.9mo.log_ratio.mean.atac,5,0.0764929096685737,7,0.027470466112715808,3,0.1895981040575555
18mo.9mo.activity.log_ratio.median.20kb-1Mb.enhancer_peak,6,0.06967809419142405,120,0.0,54,0.005782900459472641
18mo.2mo.log_ratio.mcg_genebody,7,0.05571633348536526,3,0.03786334819742156,8,0.03528205752251075
9mo.2mo.log_ratio.DAR,8,0.04891173948763003,103,0.0,53,0.005846871883473437
18mo.2mo.log_ratio.DAR,9,0.022484395048861357,18,0.010547495489853136,25,0.01604051232695486
9mo.2mo.log_ratio.mean.atac,10,0.022118086435376726,79,0.0,39,0.010338767589743756
count.atac,11,0.021606364696682086,34,0.004977452982117691,16,0.023343023125462114
18mo.9mo.contact.log_ratio.max.20kb-1Mb.enhancer_peak,12,0.020981170761314814,20,0.009427532385392165,18,0.021745686822104978
18mo.9mo.log_ratio.mcg_genebody,13,0.01962300042676682,10,0.02128846992946148,29,0.013129395943134446
log2_distance.std.atac,14,0.01772836881598141,81,0.0,107,0.0
18mo.2mo.log_ratio.mean.atac,15,0.01667570752291026,2,0.07385489279036016,2,0.21669968909441323
18mo.9mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,16,0.016082403066206473,38,0.004373407044780246,9,0.034665486244230666
9mo.2mo.Q.min.loops,17,0.01599601354993448,128,0.0,11,0.03265029989717712
9mo.2mo.activity.log_ratio.max.20kb-1Mb.enhancer_peak,18,0.014864409684479173,29,0.006630466581893333,6,0.042094345912644535
18mo.9mo.activity.log_ratio.max.20kb-1Mb.enhancer_peak,19,0.01419787337871743,118,0.0,50,0.00616202076081827
18mo.2mo.log_ratio.std.atac,20,0.011895859628770697,80,0.0,15,0.02405843013295989
9mo.2mo.log_ratio.std.atac,21,0.011644979640089117,6,0.03402165986369116,7,0.04065040782618891
count.DAR,22,0.010920713217805031,31,0.006320522115033091,36,0.01059447619671238
18mo.2mo.Q.max.loops,23,0.010000247586614518,75,0.0,116,0.0
9mo.2mo.Q.median.loops,24,0.009362499110675222,131,0.0,104,0.00031476665010030883
a_length.log.skew.loops,25,0.0093110152702164,24,0.008104642098771967,33,0.01129375103575915
log2_distance.mean.atac,26,0.009141557244435989,16,0.012180312603393757,86,0.001303131927606118
18mo.9mo.T.mean.loops,27,0.009133689815539444,66,0.0,41,0.009930756531014204
18mo.9mo.contact.log_ratio.mean.20kb-1Mb.enhancer_peak,28,0.008566215522150785,54,0.0011291065920521898,126,0.0
18mo.2mo.T.skew.loops,29,0.007989315281159365,51,0.0018655697968793833,90,0.001067449940889259
