index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
gene_length.meta,1,0.6514422114324508,1,0.13778077611051393,1,0.7465791511553489
18mo.9mo.log_ratio.DAR,2,0.09791857888887362,10,0.010695047521845505,52,0.0
9mo.2mo.log_ratio.mcg_genebody,3,0.05845739639939472,28,0.003357875608345218,13,0.010790737290346415
18mo.2mo.log_ratio.DAR,4,0.05556257747033431,4,0.022492314501539764,12,0.013450026226356337
18mo.9mo.activity.log_ratio.median.20kb-1Mb.enhancer_peak,5,0.03284812457715195,75,0.0,24,0.0065745495033692775
18mo.9mo.activity.log_ratio.min.0-10kb.enhancer_peak,6,0.027278294499320267,3,0.025546559179214324,32,0.0038241665733613536
9mo.2mo.log_ratio.std.atac,7,0.0230682652964951,167,0.0,5,0.03500367333205705
18mo.2mo.log_ratio.mcg_genebody,8,0.020836948235604617,100,0.0,8,0.019630655274047355
18mo.9mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,9,0.019438325100771155,38,0.0,62,0.0
18mo.9mo.log_ratio.mcg_genebody,10,0.018969675810600727,6,0.014226319868694614,76,0.0
9mo.2mo.log_ratio.DAR,11,0.016545656873045787,42,0.0,17,0.007773970930555704
18mo.9mo.activity.log_ratio.mean.0-10kb.enhancer_peak,12,0.016129409178830892,35,0.0011461757844658384,34,0.0030267738360016012
18mo.9mo.activity.log_ratio.median.0-10kb.enhancer_DMR,13,0.014616699689115154,24,0.004099553236433882,91,0.0
18mo.9mo.log_ratio.std.atac,14,0.013190597191069716,168,0.0,168,0.0
18mo.9mo.log_ratio.mean.atac,15,0.011916387494222769,12,0.007575722255703436,3,0.16333734179571371
18mo.2mo.contact.log_ratio.min.20kb-1Mb.enhancer_peak,16,0.01060195495746396,71,0.0,50,0.0
9mo.2mo.Q.std.loops,17,0.008552618494356496,113,0.0,119,0.0
18mo.2mo.log_ratio.mean.atac,18,0.007317885545367439,2,0.05827425371308006,2,0.19057441113212925
9mo.2mo.contact.log_ratio.max.0-10kb.enhancer_peak,19,0.006139020056987612,202,0.0,200,0.0
9mo.2mo.Q.min.loops,20,0.005854613512703963,116,0.0,22,0.007073578201817526
18mo.2mo.contact.log_ratio.min.0-10kb.enhancer_DMR,21,0.005650313338509303,181,0.0,178,0.0
count.atac,22,0.005165641326881413,164,0.0,165,0.0
9mo.2mo.activity.log_ratio.max.0-10kb.enhancer_DMR,23,0.0046588370237755075,98,0.0,128,0.0
18mo.9mo.contact.log_ratio.max.20kb-1Mb.enhancer_peak,24,0.004238464017366344,37,0.0,48,0.0
18mo.2mo.activity.log_ratio.skew.20kb-1Mb.enhancer_peak,25,0.002933392459428199,55,0.0,59,0.0
9mo.2mo.activity.log_ratio.count.20kb-1Mb.enhancer_DMR,26,0.0029294868414723937,159,0.0,220,0.0
18mo.9mo.Q.std.loops,27,0.0028248648716920417,15,0.006883676357056318,124,0.0
9mo.2mo.contact.log_ratio.median.20kb-1Mb.enhancer_peak,28,0.002783699053702927,58,0.0,81,0.0
18mo.2mo.activity.log_ratio.min.0-10kb.enhancer_peak,29,0.002720166709521788,21,0.0052183714249864005,27,0.0056075426334331255
18mo.9mo.activity.log_ratio.count.0-10kb.enhancer_peak,30,0.00037261587349851714,199,0.0,197,0.0
18mo.9mo.contact.log_ratio.skew.20kb-1Mb.enhancer_peak,31,0.0,36,0.0,39,0.0018264031494695315
18mo.9mo.contact.log_ratio.std.20kb-1Mb.enhancer_peak,32,0.0,45,0.0,43,0.0
18mo.9mo.contact.log_ratio.median.20kb-1Mb.enhancer_peak,33,0.0,74,0.0,45,0.0
18mo.9mo.contact.log_ratio.mean.20kb-1Mb.enhancer_peak,34,0.0,73,0.0,46,0.0
18mo.9mo.contact.log_ratio.min.20kb-1Mb.enhancer_peak,35,0.0,39,0.0,35,0.0023862580715020387
18mo.2mo.contact.log_ratio.count.20kb-1Mb.enhancer_peak,36,0.0,72,0.0,47,0.0
18mo.2mo.contact.log_ratio.max.20kb-1Mb.enhancer_peak,37,0.0,69,0.0,80,0.0
18mo.9mo.contact.log_ratio.count.20kb-1Mb.enhancer_peak,38,0.0,41,0.0,51,0.0
Qanova.max.loops,39,0.0,54,0.0,111,0.0
Qanova.std.loops,40,0.0,13,0.007477467598464768,109,0.0
Qanova.mean.loops,41,0.0,51,0.0,42,0.0
count.DAR,42,0.0,16,0.006303027041026166,54,0.0
9mo.2mo.log_ratio.DMR,43,0.0,11,0.009028499400654583,49,0.0
18mo.9mo.log_ratio.DMR,44,0.0,19,0.006053006400741091,55,0.0
18mo.2mo.log_ratio.DMR,45,0.0,18,0.006068636333881831,44,0.0
count.DMR,46,0.0,49,0.0,68,0.0
Qanova.median.loops,47,0.0,52,0.0,108,0.0
9mo.2mo.activity.log_ratio.skew.20kb-1Mb.enhancer_peak,48,0.0,53,0.0,216,0.0
9mo.2mo.activity.log_ratio.max.20kb-1Mb.enhancer_peak,49,0.0,89,0.0,4,0.03577942763976577
9mo.2mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,50,0.0,50,0.0,217,0.0
9mo.2mo.activity.log_ratio.count.20kb-1Mb.enhancer_peak,51,0.0,48,0.0,94,0.0
18mo.2mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,52,0.0,20,0.005962739227362537,56,0.0
18mo.2mo.activity.log_ratio.median.20kb-1Mb.enhancer_peak,53,0.0,47,0.0,57,0.0
18mo.2mo.activity.log_ratio.std.20kb-1Mb.enhancer_peak,54,0.0,46,0.0,58,0.0
18mo.2mo.activity.log_ratio.max.20kb-1Mb.enhancer_peak,55,0.0,44,0.0,25,0.006567720530011485
18mo.2mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,56,0.0,43,0.0,60,0.0
18mo.2mo.activity.log_ratio.count.20kb-1Mb.enhancer_peak,57,0.0,40,0.0,61,0.0
18mo.9mo.activity.log_ratio.std.20kb-1Mb.enhancer_peak,58,0.0,65,0.0,63,0.0
18mo.9mo.activity.log_ratio.skew.20kb-1Mb.enhancer_peak,59,0.0,70,0.0,64,0.0
Qanova.skew.loops,60,0.0,14,0.0072180260864952795,110,0.0
18mo.9mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,61,0.0,62,0.0,11,0.016253401300694945
18mo.9mo.activity.log_ratio.count.20kb-1Mb.enhancer_peak,62,0.0,60,0.0,66,0.0
9mo.2mo.contact.log_ratio.mean.20kb-1Mb.enhancer_peak,63,0.0,59,0.0,67,0.0
9mo.2mo.contact.log_ratio.std.20kb-1Mb.enhancer_peak,64,0.0,56,0.0,69,0.0
9mo.2mo.contact.log_ratio.skew.20kb-1Mb.enhancer_peak,65,0.0,57,0.0,70,0.0
9mo.2mo.contact.log_ratio.max.20kb-1Mb.enhancer_peak,66,0.0,29,0.0033045122064442704,71,0.0
9mo.2mo.contact.log_ratio.min.20kb-1Mb.enhancer_peak,67,0.0,61,0.0,72,0.0
9mo.2mo.contact.log_ratio.count.20kb-1Mb.enhancer_peak,68,0.0,63,0.0,73,0.0
18mo.2mo.contact.log_ratio.mean.20kb-1Mb.enhancer_peak,69,0.0,64,0.0,75,0.0
18mo.2mo.contact.log_ratio.median.20kb-1Mb.enhancer_peak,70,0.0,76,0.0,77,0.0
18mo.2mo.contact.log_ratio.std.20kb-1Mb.enhancer_peak,71,0.0,66,0.0,78,0.0
18mo.2mo.contact.log_ratio.skew.20kb-1Mb.enhancer_peak,72,0.0,67,0.0,79,0.0
18mo.9mo.activity.log_ratio.max.20kb-1Mb.enhancer_peak,73,0.0,68,0.0,65,0.0
18mo.9mo.T.median.loops,74,0.0,78,0.0,29,0.004784025618394978
18mo.9mo.T.std.loops,75,0.0,79,0.0,88,0.0
18mo.9mo.T.skew.loops,76,0.0,80,0.0,89,0.0
18mo.9mo.T.max.loops,77,0.0,81,0.0,30,0.004693922889595196
18mo.9mo.T.min.loops,78,0.0,82,0.0,90,0.0
18mo.2mo.T.mean.loops,79,0.0,83,0.0,7,0.022984580177136865
18mo.2mo.T.median.loops,80,0.0,26,0.003732341843912005,92,0.0
18mo.2mo.T.std.loops,81,0.0,84,0.0,93,0.0
18mo.2mo.T.skew.loops,82,0.0,85,0.0,107,0.0
18mo.2mo.T.max.loops,83,0.0,86,0.0,95,0.0
18mo.2mo.T.min.loops,84,0.0,31,0.002737976901100124,96,0.0
a_length.log.mean.loops,85,0.0,87,0.0,97,0.0
a_length.log.median.loops,86,0.0,88,0.0,98,0.0
Tanova.min.loops,87,0.0,110,0.0,118,0.0
a_length.log.skew.loops,88,0.0,90,0.0,100,0.0
a_length.log.max.loops,89,0.0,91,0.0,101,0.0
a_length.log.min.loops,90,0.0,92,0.0,102,0.0
18mo.2mo.activity.log_ratio.median.0-10kb.enhancer_DMR,91,0.0,93,0.0,103,0.0
18mo.2mo.activity.log_ratio.max.0-10kb.enhancer_DMR,92,0.0,94,0.0,15,0.008157596705123884
18mo.2mo.activity.log_ratio.min.0-10kb.enhancer_DMR,93,0.0,95,0.0,105,0.0
18mo.2mo.activity.log_ratio.count.0-10kb.enhancer_DMR,94,0.0,96,0.0,106,0.0
