index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
gene_length.meta,1,0.5156389564111621,1,0.12916222943509612,1,0.7126404375788533
18mo.9mo.log_ratio.DAR,2,0.11492598149493546,82,0.0,40,0.005280008240655582
9mo.2mo.log_ratio.max.atac,3,0.09730505324916529,26,0.007864461674002524,9,0.03046575956209003
9mo.2mo.log_ratio.mcg_genebody,4,0.08201581591338214,3,0.056266078255158204,186,0.0
18mo.2mo.log_ratio.mcg_genebody,5,0.07715893384058056,28,0.007592479774173383,28,0.008231211014404853
18mo.9mo.log_ratio.max.atac,6,0.06296729090288673,18,0.00986901051887732,6,0.04607962529373406
18mo.2mo.log_ratio.max.atac,7,0.0622931065479608,4,0.03813507054168215,2,0.15172623432883708
18mo.9mo.log_ratio.mean.atac,8,0.04971738367264299,19,0.009643287553389552,3,0.13275649764115238
9mo.2mo.log_ratio.DAR,9,0.04919121057050602,81,0.0,36,0.006329570392081602
18mo.9mo.activity.log_ratio.mean.0-5kb.enhancer_peak,10,0.03207427082073324,27,0.007712802761335169,58,0.0026007291629165084
18mo.9mo.log_ratio.mcg_genebody,11,0.03164581928258277,160,0.0,68,0.0017955282326574137
rel_pos.DAR,12,0.027153499697261486,80,0.0,8,0.03480443350024454
count.atac,13,0.02295600277744563,159,0.0,91,0.00047633066507160116
18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,14,0.021432271923060166,180,0.0,11,0.021863763866761716
18mo.9mo.activity.log_ratio.max.0-5kb.enhancer_peak,15,0.02070877264298483,52,0.001506701615389432,62,0.0023018913685144194
9mo.2mo.Q.mean.loops,16,0.018089562886544848,61,0.0,51,0.0035717546724966793
9mo.2mo.log_ratio.std.atac,17,0.016951695763692057,37,0.004013858380161776,10,0.022302632517157802
18mo.9mo.activity.log_ratio.median.0-5kb.enhancer_peak,18,0.015796740157224685,144,0.0,14,0.01738111045346029
18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,19,0.012244005855392637,46,0.0025984921549784515,160,0.0
loop_size.log.std.loops,20,0.011526591302512473,131,0.0,142,0.0
9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,21,0.010961157004967281,204,0.0,84,0.0007698467436321079
min_distance.log.std.loops,22,0.010694181452887705,136,0.0,65,0.002173183309145295
18mo.9mo.T.mean.loops,23,0.010278916201671097,123,0.0,19,0.010385337851072058
18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,24,0.009145798919949787,208,0.0,44,0.0048907800221262236
18mo.2mo.contact.log_ratio.min.0-5kb.enhancer_peak,25,0.008216236577313641,151,0.0,25,0.008973002209313293
18mo.9mo.T.max.loops,26,0.007927752608503525,126,0.0,90,0.0005005870349443811
count.DAR,27,0.007818382704432159,34,0.004556578897351302,15,0.01610344852008337
log2_distance.max.atac,28,0.007577060425227792,115,0.0,125,0.0
18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,29,0.007479221060930831,148,0.0,218,0.0
18mo.9mo.log_ratio.std.atac,30,0.006932718040760206,107,0.0,129,0.0
9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,31,0.006793212224853428,211,0.0,52,0.0032933143917542817
18mo.9mo.activity.log_ratio.min.0-5kb.enhancer_peak,32,0.006652301358205343,145,0.0,83,0.0008382959008184409
18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,33,0.006362280038474514,176,0.0,205,0.0
18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,34,0.006136324106647096,32,0.004816935664228483,133,0.0
min_distance.log.min.loops,35,0.006065341762888886,51,0.001599913838661479,175,0.0
18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,36,0.005503368369043559,216,0.0,72,0.0015861054138093648
18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,37,0.005411879652253288,177,0.0,206,0.0
18mo.2mo.contact.log_ratio.mean.0-5kb.enhancer_peak,38,0.00530783387309299,158,0.0,82,0.0009274347461460737
18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,39,0.005006648307638162,179,0.0,32,0.007181940285272823
9mo.2mo.log_ratio.mean.atac,40,0.004717049392269204,117,0.0,24,0.008983622301796852
9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,41,0.004400820669754212,58,0.0005130578072037361,18,0.012099207896910125
18mo.2mo.activity.log_ratio.min.0-5kb.enhancer_peak,42,0.004333287833293284,15,0.011917742055263199,13,0.019053238606924365
loop_size.log.min.loops,43,0.004261246423780369,133,0.0,27,0.008672125250345164
18mo.9mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,44,0.00410891924475349,44,0.002733306046071306,35,0.00639252854337864
18mo.2mo.contact.log_ratio.max.0-5kb.enhancer_peak,45,0.004064592385417261,150,0.0,182,0.0
9mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,46,0.0038521645369232736,167,0.0,211,0.0
18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,47,0.003816578201419245,17,0.010216279657620352,197,0.0
18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,48,0.0037720862801726555,217,0.0,86,0.0006439226658266014
18mo.2mo.log_ratio.DAR,49,0.0035890857977454653,83,0.0,12,0.02104465517481607
9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,50,0.003125095657298777,185,0.0,22,0.009441770061361203
9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,51,0.003029610328319506,213,0.0,61,0.0023923593229593773
9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,52,0.003029153370876972,191,0.0,112,0.0
18mo.9mo.Q.std.loops,53,0.002966339980302627,72,0.0,39,0.005585931571925544
count.enhancer_DMR,54,0.0027213667423228323,8,0.023584216825871578,158,0.0
9mo.2mo.Q.std.loops,55,0.002671572680368505,62,0.0,113,0.0
18mo.9mo.Q.max.loops,56,0.0026400389908875816,33,0.004810686593869935,104,0.0
18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,57,0.002626332268285483,49,0.002310825598982083,38,0.005866143117186914
18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,58,0.0025289051600737023,39,0.0037944491568520015,155,0.0
9mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,59,0.002445962951582619,97,0.0,153,0.0
9mo.2mo.Q.median.loops,60,0.002225123847465145,76,0.0,121,0.0
18mo.9mo.activity.log_ratio.std.20kb-5Mb.enhancer_DMR,61,0.002193511676042465,219,0.0,198,0.0
log2_distance.std.atac,62,0.001948956118661038,48,0.0024196205133940807,17,0.01382971358771485
18mo.2mo.activity.log_ratio.max.0-5kb.enhancer_peak,63,0.0011729802405794972,41,0.003238992993455687,156,0.0
9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,64,0.0010840341105039116,203,0.0,164,0.0
9mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,65,0.00096094966626335,183,0.0,43,0.004964087610743256
18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,66,0.000500751817254282,165,0.0,59,0.0025411102690799043
9mo.2mo.Q.max.loops,67,0.0,63,0.0,114,0.0
9mo.2mo.Q.min.loops,68,0.0,64,0.0,7,0.03553368562219726
18mo.9mo.Q.mean.loops,69,0.0,16,0.011138879735986505,41,0.005189672440882129
18mo.9mo.Q.min.loops,70,0.0,50,0.0020450145856236285,94,0.0
18mo.2mo.Q.mean.loops,71,0.0,73,0.0,95,0.0
18mo.2mo.Q.median.loops,72,0.0,11,0.017083068942219014,96,0.0
18mo.2mo.Q.std.loops,73,0.0,74,0.0,97,0.0
18mo.2mo.Q.min.loops,74,0.0,92,0.0,21,0.009446501679530579
18mo.9mo.Q.median.loops,75,0.0,65,0.0,120,0.0
18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,76,0.0,77,0.0,23,0.00939627064677301
18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,77,0.0,78,0.0,196,0.0
count.enhancer_peak,78,0.0,79,0.0,195,0.0
size.log2.DMR,79,0.0,84,0.0,194,0.0
rel_pos.DMR,80,0.0,85,0.0,193,0.0
9mo.2mo.log_ratio.DMR,81,0.0,23,0.00858163354181739,93,0.00033352528798161836
18mo.9mo.log_ratio.DMR,82,0.0,10,0.018267654924302518,192,0.0
18mo.2mo.log_ratio.DMR,83,0.0,53,0.0014286737174292845,169,0.0
distance.log2.DMR,84,0.0,6,0.027428373329135464,190,0.0
18mo.2mo.Q.max.loops,85,0.0,75,0.0,98,0.0
Qanova.mean.loops,86,0.0,87,0.0,188,0.0
Qanova.median.loops,87,0.0,88,0.0,187,0.0
Qanova.std.loops,88,0.0,89,0.0,105,0.0
Qanova.max.loops,89,0.0,40,0.0036908182542100543,137,0.0
Qanova.min.loops,90,0.0,90,0.0,106,0.0
Tanova.mean.loops,91,0.0,91,0.0,107,0.0
Tanova.median.loops,92,0.0,86,0.0,108,0.0
Tanova.std.loops,93,0.0,93,0.0,109,0.0
Tanova.max.loops,94,0.0,94,0.0,110,0.0
Tanova.min.loops,95,0.0,95,0.0,111,0.0
count.DMR,96,0.0,96,0.0,189,0.0
loop_size.log.max.loops,97,0.0,132,0.0,141,0.0
min_distance.log.mean.loops,98,0.0,134,0.0,140,0.0
min_distance.log.median.loops,99,0.0,135,0.0,78,0.0011680470092957495
min_distance.log.max.loops,100,0.0,137,0.0,174,0.0
count.loops,101,0.0,20,0.009171860470922198,176,0.0
9mo.2mo.log_ratio.mch_genebody,102,0.0,161,0.0,178,0.0
18mo.9mo.log_ratio.mch_genebody,103,0.0,162,0.0,131,0.0
18mo.2mo.log_ratio.std.atac,104,0.0,108,0.0,126,0.0
9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_DMR,105,0.0,178,0.0,212,0.0
9mo.2mo.T.min.loops,106,0.0,122,0.0,102,0.0
9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,107,0.0,170,0.0,213,0.0
9mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_DMR,108,0.0,171,0.0,214,0.0
18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,109,0.0,172,0.0,77,0.001196088936057629
log2_distance.mean.atac,110,0.0,22,0.00877382683541949,130,0.0
log2_distance.min.atac,111,0.0,14,0.011972496570425135,88,0.0005418737311154259
9mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,112,0.0,5,0.03133830222543531,85,0.0006581678221872567
18mo.9mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,113,0.0,55,0.0012291419620007434,172,0.0
18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,114,0.0,102,0.0,60,0.00253795119578942
18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,115,0.0,103,0.0,132,0.0
9mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,116,0.0,104,0.0,74,0.0013327518128231177
9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_DMR,117,0.0,169,0.0,37,0.006115789367352321
9mo.2mo.T.mean.loops,118,0.0,118,0.0,99,0.0
9mo.2mo.T.median.loops,119,0.0,119,0.0,100,0.0
9mo.2mo.T.std.loops,120,0.0,106,0.0,50,0.003870487490294715
9mo.2mo.T.max.loops,121,0.0,121,0.0,101,0.0
18mo.9mo.T.median.loops,122,0.0,124,0.0,42,0.005054491708450345
18mo.9mo.T.std.loops,123,0.0,125,0.0,57,0.0026598718422364163
18mo.9mo.T.min.loops,124,0.0,138,0.0,148,0.0
18mo.2mo.T.mean.loops,125,0.0,30,0.005662738889667984,64,0.0022123890291753084
18mo.2mo.T.median.loops,126,0.0,128,0.0,147,0.0
loop_size.log.median.loops,127,0.0,130,0.0,87,0.0006247275698837131
18mo.2mo.T.max.loops,128,0.0,7,0.027314814703320176,145,0.0
18mo.2mo.T.min.loops,129,0.0,25,0.007915181031508046,144,0.0
9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,130,0.0,105,0.0,139,0.0
9mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,131,0.0,127,0.0,138,0.0
9mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,132,0.0,98,0.0,136,0.0
18mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,133,0.0,45,0.0026110262651622257,135,0.0
18mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,134,0.0,57,0.0006293147359643306,56,0.002673191013419299
18mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,135,0.0,99,0.0,134,0.0
18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,136,0.0,100,0.0,45,0.004872331485603375
loop_size.log.mean.loops,137,0.0,129,0.0,143,0.0
18mo.2mo.T.std.loops,138,0.0,13,0.01238033380062587,146,0.0
18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_DMR,139,0.0,29,0.0073750320176699065,203,0.0
18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_DMR,140,0.0,56,0.0009009166383125684,54,0.003141297522675563
18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,141,0.0,174,0.0,55,0.0030935641849317583
