index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
gene_length.meta,1,0.5886293168122873,1,0.17768157208319932,1,0.7104129940425739
18mo.9mo.log_ratio.max.atac,2,0.11103887812034217,8,0.0209971938544298,10,0.03958738744583654
18mo.9mo.log_ratio.DAR,3,0.1049587077946858,11,0.017871834841512,69,0.0010179881200896178
9mo.2mo.log_ratio.mcg_genebody,4,0.06125937905022561,14,0.01650602961546576,41,0.0037081613213232247
18mo.2mo.log_ratio.max.atac,5,0.05491246655505164,4,0.04262792702957358,2,0.14135613147073917
18mo.2mo.log_ratio.mcg_genebody,6,0.05216638699407002,12,0.01684922717908538,5,0.09654665058874921
18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,7,0.05214548695234419,40,0.004606229120420644,8,0.051474007505680854
18mo.9mo.log_ratio.std.atac,8,0.045784851126800793,10,0.01893940224926295,77,0.0
9mo.2mo.Q.mean.loops,9,0.03935648995293331,80,0.0,55,0.002159981692206837
count.atac,10,0.03353500122078953,60,0.0,26,0.010560807654257001
18mo.9mo.log_ratio.mean.atac,11,0.03302562123894376,27,0.007980217300758721,3,0.10077813232062562
18mo.2mo.log_ratio.DAR,12,0.03207410779313032,43,0.00309516721282525,39,0.004093724317660597
9mo.2mo.log_ratio.min.atac,13,0.028998529272469865,55,0.0008870028258738134,73,0.0006497439781590926
9mo.2mo.log_ratio.std.atac,14,0.025248595575913586,59,0.0,16,0.016856676971397398
log2_distance.max.atac,15,0.024852922743236205,16,0.0147918130192487,60,0.0018261363209672171
18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,16,0.017848630637062008,48,0.002710270144384109,14,0.02066680718744412
count.DAR,17,0.01619310946981327,38,0.0049075645240060145,91,0.0
18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18,0.016106992926047784,68,0.0,87,0.0
9mo.2mo.log_ratio.DAR,19,0.015114511759030018,37,0.004928701688611592,47,0.00285845421743401
18mo.9mo.log_ratio.mcg_genebody,20,0.014809729838581916,9,0.019443397041926918,71,0.0008870402557700275
9mo.2mo.log_ratio.max.atac,21,0.013752249119897808,29,0.007169219187550737,6,0.09569741568898658
18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,22,0.013598630722314244,34,0.005255564871431339,80,0.0
18mo.2mo.activity.log_ratio.min.0-5kb.enhancer_peak,23,0.012904017488382135,22,0.009116617936024621,15,0.01828109696291308
18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,24,0.01236352056847095,19,0.012796808657649397,74,0.0006383905817927651
18mo.2mo.log_ratio.mean.atac,25,0.012255286221077423,2,0.07219107119661775,4,0.0988353003655784
count.enhancer_DMR,26,0.011678204910482878,26,0.007996234675724865,42,0.003675296285918095
18mo.9mo.activity.log_ratio.min.0-5kb.enhancer_peak,27,0.010182218576966938,23,0.008726607775291962,21,0.013621762447572202
9mo.2mo.log_ratio.mean.atac,28,0.010158407326921337,58,0.0,18,0.015261672439184734
count.loops,29,0.01008122370849345,89,0.0,99,0.0
18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,30,0.008646413230242957,70,0.0,19,0.014545463360881288
log2_distance.mean.atac,31,0.008359176270232293,69,0.0,37,0.0043269241169331275
18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,32,0.008277289968377137,28,0.007740656453124957,78,0.0
9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_DMR,33,0.0082003646431026,99,0.0,61,0.0018190893733048465
min_distance.log.std.loops,34,0.007952406731740608,93,0.0,17,0.015649868226406377
18mo.9mo.Q.std.loops,35,0.006978695977016218,46,0.0027635493781408807,72,0.0008689110367716079
log2_distance.std.atac,36,0.006428322777294657,42,0.003436905583713994,101,0.0
9mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,37,0.005837024081720889,33,0.005570369578542717,40,0.0038218733854402374
18mo.2mo.activity.log_ratio.max.0-5kb.enhancer_peak,38,0.005832934120983334,51,0.0016238325411573947,82,0.0
18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_DMR,39,0.005475145369168268,44,0.0029713540297549323,76,0.0
9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,40,0.005394550978458696,21,0.010152331538726118,75,0.00036833750729794903
18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,41,0.005231390581142784,45,0.0028252801991364247,33,0.00781464044417243
18mo.9mo.T.max.loops,42,0.0048237312136684,77,0.0,97,0.0
18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,43,0.004417610956678318,57,0.0,68,0.0010399676972286005
18mo.2mo.contact.log_ratio.max.0-5kb.enhancer_peak,44,0.003940666192652416,84,0.0,49,0.0026671464776234903
18mo.9mo.activity.log_ratio.mean.0-5kb.enhancer_peak,45,0.0038771084973329836,53,0.0014271248214177367,31,0.007931329397099915
18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_DMR,46,0.003792144684025383,25,0.008068326272995063,57,0.002003478808496452
18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,47,0.0033195974330676157,82,0.0,100,0.0
18mo.9mo.log_ratio.min.atac,48,0.0031010965572427058,101,0.0,20,0.014061122006187763
18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,49,0.0025989365321527147,83,0.0,23,0.012536369421135602
18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,50,0.0024367695160349466,97,0.0,53,0.002445699105941535
18mo.9mo.activity.log_ratio.max.0-5kb.enhancer_peak,51,0.002352442256567543,72,0.0,32,0.007891861590442431
18mo.9mo.T.median.loops,52,0.002275006424900834,79,0.0,63,0.0017167625847587195
18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,53,0.0020275152574269458,47,0.002736645572868089,13,0.02186950933489244
9mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,54,0.001804999838514481,41,0.0038854449211401707,85,0.0
18mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,55,0.0016746736757429694,49,0.002560847661803674,65,0.0014053540707207018
18mo.2mo.T.max.loops,56,0.0016047400493673142,74,0.0,66,0.0013544157679462154
18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,57,0.001274574252305469,52,0.0015037163920248182,52,0.0024902800438967917
