index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
gene_length.meta,1,0.6436198498580286,1,0.16181036608914848,1,0.8082752781565183
18mo.9mo.log_ratio.DAR,2,0.11320814483645998,21,0.00658386939765549,37,0.006527644246473386
18mo.9mo.activity.log_ratio.median.20kb-1Mb.enhancer_peak,3,0.07738843405209425,68,0.0,19,0.020116780696664994
18mo.2mo.log_ratio.mcg_genebody,4,0.07313717501641302,9,0.020942809925904044,25,0.01169944606687891
9mo.2mo.log_ratio.mcg_genebody,5,0.06399969369488785,8,0.021821537878096642,9,0.03151704860248913
18mo.9mo.log_ratio.std.atac,6,0.06262369566581488,15,0.008056678465551602,22,0.017148119126070362
18mo.9mo.log_ratio.mean.atac,7,0.05474666600972167,10,0.02001109317277464,3,0.18319477309647034
9mo.2mo.log_ratio.DAR,8,0.05235335238495256,12,0.010170088011552857,40,0.00529612813018554
9mo.2mo.log_ratio.std.atac,9,0.041161104582563605,7,0.025046095617447087,5,0.05518286676853394
18mo.2mo.log_ratio.DAR,10,0.02790490435965098,31,0.0019110958792907986,23,0.014338046904737653
18mo.9mo.log_ratio.mcg_genebody,11,0.024233663941432847,16,0.00803760902560501,26,0.011296158880963218
count.atac,12,0.022827573720050197,42,0.0,21,0.018708565974945093
a_length.log.min.loops,13,0.01981530959240207,73,0.0,75,0.0
18mo.2mo.log_ratio.mean.atac,14,0.019507536211827808,2,0.07711929273255153,2,0.21166054106206103
18mo.9mo.activity.log_ratio.max.20kb-1Mb.enhancer_peak,15,0.016236539768028274,78,0.0,33,0.008619986597705149
18mo.9mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,16,0.016191979204454903,19,0.006817831431159665,31,0.008705956103661917
9mo.2mo.log_ratio.mean.atac,17,0.014769697589285936,75,0.0,44,0.0037734723568039878
18mo.2mo.Q.median.loops,18,0.014191512061436993,23,0.0057818712889353314,68,0.0
9mo.2mo.Q.median.loops,19,0.012323883730253605,58,0.0,51,0.002010356664713574
9mo.2mo.Q.skew.loops,20,0.011282753892980705,28,0.003675556392203567,46,0.003547971750405084
18mo.2mo.log_ratio.std.atac,21,0.011100545383642892,74,0.0,13,0.02293541700932619
18mo.9mo.Q.median.loops,22,0.010587634183715274,57,0.0,16,0.02171490721577134
count.DAR,23,0.009994375958892451,20,0.0067593559764580835,52,0.0017938956493990178
9mo.2mo.contact.log_ratio.median.20kb-1Mb.enhancer_peak,24,0.008938328104467904,47,0.0,50,0.0021253375607022873
18mo.9mo.contact.log_ratio.min.20kb-1Mb.enhancer_peak,25,0.008182243575880998,69,0.0,6,0.039374577908101595
9mo.2mo.activity.log_ratio.max.20kb-1Mb.enhancer_peak,26,0.007087212374462332,17,0.007831866834399431,7,0.038342529211925554
9mo.2mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,27,0.00698202392950742,22,0.006023485948699105,72,0.0
18mo.9mo.activity.log_ratio.max.20kb-1Mb.enhancer_DMR,28,0.006632891991744125,46,0.0,30,0.008766660353353094
18mo.2mo.Q.min.loops,29,0.0055395981095098515,29,0.003434705269333551,4,0.06179038921392658
18mo.2mo.Q.std.loops,30,0.005458035317236681,62,0.0,56,0.000908102411566833
9mo.2mo.Q.std.loops,31,0.005139601931436046,60,0.0,45,0.0036903430353426637
18mo.2mo.contact.log_ratio.mean.20kb-1Mb.enhancer_peak,32,0.004464910267887808,14,0.008087804035641931,14,0.02286034944981835
9mo.2mo.activity.log_ratio.count.20kb-1Mb.enhancer_peak,33,0.0035752473715853364,33,0.0014858365308016038,53,0.0015192705583670172
9mo.2mo.activity.log_ratio.std.20kb-1Mb.enhancer_peak,34,0.0035734290656572153,48,0.0,39,0.005530115819106746
log2_distance.std.atac,35,0.003193754043483702,77,0.0,24,0.014206295237007822
9mo.2mo.T.skew.loops,36,0.0024039277385306036,61,0.0,48,0.0031336970281021985
18mo.2mo.activity.log_ratio.max.20kb-1Mb.enhancer_peak,37,0.0022182840171089467,45,0.0,27,0.010736321121632232
18mo.9mo.T.skew.loops,38,0.002008363890947739,55,0.0,32,0.00865020421531881
log2_distance.mean.atac,39,0.0019896294496306003,11,0.015190071267061485,20,0.01953564661880727
18mo.2mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,40,0.001690050263132056,38,0.0,42,0.004376089812367533
