gene,stats,fdr,log2(old/young),DEG,-log10(fdr)
Xkr4,323.5765571791573,2.691350873998668e-69,-0.1870075,0,68.57002967915639
Gm1992,312.3773309872109,6.712877788024562e-67,-1.8293035,-1,66.17309125933522
Mrpl15,29.183867498713074,1.1544162415004485e-06,0.040531203,0,5.937637571775612
Lypla1,6.037244575556068,0.06604202734484486,0.18339777,0,1.1801796033201353
Tcea1,30.854575908887877,5.174599571814588e-07,0.10718004,0,6.286123251760857
Rgs20,2.4772317436988844,0.3343659467942852,0.47407255,0,0.4757779593203415
Atp6v1h,108.91186826320272,1.99355408884551e-23,-0.14409283,0,22.70037197662137
Rb1cc1,23.517416530730287,1.7339716401240205e-05,0.020500684,0,4.760958009880781
4732440D04Rik,50.79875718489055,3.49256169465093e-11,-0.5404696,-1,10.45685591351448
St18,115.35594976001718,8.54415440357498e-25,-0.1652596,0,24.06833091199919
Pcmtd1,144.21806805449654,6.469597223916457e-31,-0.19727875,0,30.189122756251777
Gm26901,63.3057197737857,8.21317616265894e-14,-0.49611253,-1,13.085488861983327
Sntg1,14.438380864858773,0.0012974140026328555,-0.05821428,0,2.8869214191594805
Rrs1,46.37353146646664,2.968569665359757e-10,-1.0102204,-1,9.527452754746577
Adhfe1,19.3160694794715,0.00012862221430188722,-0.18399157,0,3.8906840180714513
2610203C22Rik,6.372853801396298,0.056673657872550194,-0.5240044,0,1.2466187559027626
Mybl1,0.00020086074544617652,0.9998995746702379,0.42110792,0,4.361635668914012e-05
Vcpip1,14.308636687952296,0.0013802231502412679,0.14512458,0,2.8600506925236155
1700034P13Rik,5.395167948265991,0.08876126106759255,1.0286139,0,1.0517765361966065
Sgk3,39.71157260482391,7.295579595161025e-09,0.35522297,1,8.136940200003401
Mcmdc2,21.853602043324297,3.838915108821682e-05,0.02444408,0,4.415791491471534
Snhg6,25.336612888676274,7.281087985512292e-06,-0.18647507,0,5.137803720851768
Ppp1r42,0.25459569601893484,0.8938711402770294,0.09162068,0,0.048725084224469965
Cops5,81.15338583964635,1.4448798382711823e-17,-0.077766225,0,16.840168268994407
Cspp1,69.20406294646527,4.72271723478009e-15,-0.014361629,0,14.325808056339653
Arfgef1,11.6921397416484,0.0047463697811169605,0.013667526,0,2.3236384297000843
Cpa6,134.81787249277784,6.417046197621574e-29,1.6979375,1,28.192664834123192
Prex2,133.74248399521804,1.0892618879154234e-28,-0.23126695,0,27.962867691591523
A830018L16Rik,250.99185493262885,1.0089392499409879e-53,-0.2580744,0,52.996134982632945
Sulf1,2.446015323475139,0.33928305343901694,0.39646628,0,0.4694378320192597
Slco5a1,14.585274308730526,0.0012108192313706506,0.10242445,0,2.9169206897869673
Ncoa2,71.91438848958097,1.2661071101088418e-15,-0.01640974,0,14.89752955232693
Gm29570,1.4323730733206474,0.5324857112356657,-0.79413843,0,0.2736920416258683
Tram1,10.371097234278098,0.008797686858974174,0.06759011,0,2.0556315001722756
Lactb2,4.033919867321422,0.16535619963413872,0.38412488,0,0.7815795176149785
Eya1,65.48776333679868,2.852278376169206e-14,-0.21896993,0,13.544808090554277
Gm9947,14.843486450512238,0.0010706271882595041,-0.43564394,0,2.970361732033152
Msc,5.280985294001549,0.09352215662741238,-1.1151199,0,1.029085486869896
Trpa1,8.613250511091238,0.02006094362703082,0.46536338,0,1.6976486424834003
Kcnb2,114.18699678156993,1.510718670684491e-24,0.04270541,0,23.820816403394204
Terf1,31.74374492838109,3.3694976423489955e-07,0.15275182,0,6.472434843169762
Sbspon,7.3492594710593,0.03610544253771401,-1.0742068,0,1.4424273275697348
4930444P10Rik,5.395443843568176,0.08875956331984919,0.08675774,0,1.0517848430809302
Rpl7,364.6164777759559,4.164845526154608e-78,-1.1490991,-1,77.38040110191211
Rdh10,54.49947841718793,5.84449051113436e-12,-0.05555253,0,11.233253342132098
Gm28095,10.001598713011202,0.010478353957725856,-2.6236784,0,1.9797069352170684
Stau2,92.39447685861381,6.155978229703892e-20,-0.1498808,0,19.21070292469764
Gm7568,15.613402883966371,0.0007439859712714582,-1.5246583,0,3.128435253509007
Ube2w,199.74932412665493,9.230550049469435e-43,-0.24221377,0,42.03477241854812
Tmem70,65.65398385881515,2.6371152393369087e-14,-0.29923362,0,13.578870891551055
Ly96,4.48251824982929,0.13480854734225428,-0.04158703,0,0.8702825711100872
Gm28376,1528.603470099663,0.0,-1.4047627,-1,302.8625382651166
Jph1,295.76758641239024,2.473777551333643e-63,-0.27655497,0,62.60663935586769
Gdap1,13.756890905099267,0.0017939051925496905,0.123256914,0,2.7462005130424956
Gm28784,4.527276901305717,0.13209085194211723,-0.8880919,0,0.879127258756634
Gm28154,5.341620190640394,0.09095772579045584,-0.1931678,0,1.0411604068185958
Gm16070,1.9447704165703623,0.42420206464023796,0.6206491,0,0.3724272220531194
Crispld1,6.8527685675830305,0.0453659718806925,-0.24893655,0,1.343269780743924
Gm28153,4.02240365222854,0.1662545665289549,0.012193149,0,0.7792264170558972
Gm28756,15.31160911037312,0.0008586376847848652,-0.12102429,0,3.0661900546698075
Pkhd1,2.4989806737460443,0.3313981232027007,-0.42677027,0,0.47964995543695593
Paqr8,56.25605083534656,2.5015586063120275e-12,-0.031674217,0,11.601789318045507
Efhc1,1.0408316729226461,0.6324751815151115,0.52546644,0,0.1989565116422783
Tram2,3.8143891464306696,0.18265256882335507,-0.40256244,0,0.7383742154971619
Tmem14a,45.40975880872969,4.717395163253906e-10,-0.4348778,-1,9.326297742572939
Gsta3,6.766135190306245,0.04724078876090559,0.24906845,0,1.3256828597535044
Gm28836,0.09555946326466436,0.958596692646632,-0.6587886,0,0.018364073745853374
Kcnq5,74.90444757129515,3.002362202918757e-16,0.027109064,0,15.522536915943476
Rims1,116.06522616549823,6.072586170345051e-25,-0.018843438,0,24.21662631381557
Gm29506,0.6358781162693512,0.7563226764144373,-0.060021903,0,0.12129287819172618
Gm29107,4.116243192346282,0.15931629424117605,0.6099813,0,0.7977398040033943
Ogfrl1,37.08014451232076,2.5957751671995845e-08,0.0331852,0,7.585732926614791
B3gat2,107.40975658134005,4.149927343124772e-23,-0.76509076,-1,22.38195950684362
Smap1,143.81833827846586,7.872038694770897e-31,-0.2052044,0,30.103912779809924
Fam135a,41.79783410620381,2.6802318967250395e-09,-0.044432387,0,8.571827628690952
Col19a1,33.58880937645034,1.3919704436927068e-07,-1.0040834,-1,6.856369986189135
Lmbrd1,129.04610965995457,1.0771784030174533e-27,-0.1477937,0,26.967712362598416
Phf3,95.73534289276579,1.2116816862670704e-20,-0.114574425,0,19.916611456122283
Ptp4a1,7.851908719051823,0.02857502888832873,-0.31594592,0,1.544013321876323
4931428L18Rik,0.2138738624807289,0.9092578767991283,0.8428382,0,0.04131292801250898
Khdrbs2,54.09400325940337,7.123819056089872e-12,0.056384854,0,11.147287120081856
Prim2,14.960516623079263,0.0010137482342533807,0.095634446,0,2.994069889234234
Rab23,21.674318421590442,4.1808579919015576e-05,0.27069026,0,4.378734583557199
Bag2,3.2051417363265626,0.24099977456627178,0.17477745,0,0.6179833636685755
Zfp451,89.0403816342347,3.1206600611797406e-19,-0.10459243,0,18.505753537196416
Bend6,24.42765185010825,1.1246343795585063e-05,0.31706807,0,4.94898864444005
Dst,7.138064667315746,0.03973715626407415,-0.0045061824,0,1.4008032158122823
Gm26788,15.511686386030902,0.0007804616261096027,-0.3461262,0,3.107648445552941
Ccdc115,17.27565256738135,0.0003385054711266781,-0.5919493,0,3.4704343075964905
Imp4,2.7850244538526137,0.29098908189640016,0.23108682,0,0.5361233057257783
Ptpn18,0.9163560899832423,0.6680716898854291,0.25421062,0,0.1751769314599509
Amer3,118.69501237977428,1.6841134767268189e-25,-0.90206707,-1,24.773628648788918
Arhgef4,372.730385009358,7.460492770295741e-80,-0.47143131,-1,79.127232486153
Fam168b,201.84452858639168,3.3051630247117453e-43,-0.3749661,-1,42.48080711439722
Plekhb2,44.8305751942575,6.228416104038787e-10,-0.138874,0,9.205622381066767
Hs6st1,79.06436532749153,3.972154349085815e-17,-0.33313316,-1,16.40097388413087
Uggt1,77.47327053077767,8.632201201217788e-17,-0.094577275,0,16.0638784455772
Arid5a,5.241271722084364,0.09524744745183122,-0.05617591,0,1.0211466542081284
Kansl3,87.56738054601662,6.376621429195935e-19,-0.15113412,0,18.19540936568352
Lman2l,89.52755336945707,2.463287991426696e-19,-0.13389418,0,18.60848481033881
Cnnm4,49.30468551102896,7.18757259204991e-11,-0.37975276,-1,10.143417756052921
Cnnm3,25.29554174151311,7.427457764858287e-06,0.1134589,0,5.129159809068713
Ankrd23,3.4733103180609834,0.21349808583935842,-0.33384937,0,0.6706060143772746
Ankrd39,4.1446214161665065,0.15723268867530543,0.19516987,0,0.8034571590887465
Sema4c,0.2175454882550698,0.9083645732339513,0.23144709,0,0.04173981186866915
Fam178b,3.347459333213359,0.22594060147568187,0.89303774,0,0.6460057194451613
Cox5b,207.7701582083415,1.811997891223323e-44,-0.56751466,-1,43.741842312084486
Actr1b,63.89478630718579,6.17043028925782e-14,-0.04413028,0,13.209684549786132
Zap70,10.95338810982358,0.006703433395203091,2.1243699,0,2.1737027013789803
Tmem131,373.3167310253515,5.6043365800234365e-80,-0.399136,-1,79.25147579014975
Vwa3b,88.78539594068145,3.537163002110137e-19,-0.13750935,0,18.45134492625089
Inpp4a,178.62146796364834,3.0018110057748295e-38,-0.2190439,0,37.52261665444215
Coa5,12.840136209977643,0.0027713016795251305,-0.08748065,0,2.5573161950327754
Unc50,75.48163779326813,2.2710181681823845e-16,-0.38982707,-1,15.643779391403429
Mgat4a,98.79018403388834,2.7410809757955245e-21,-0.23904204,0,20.562078134536492
2010300C02Rik,464.4927082086118,1.3870418933411694e-99,-0.3181732,-1,98.85791042157118
Tsga10,265.89575513794944,6.430306976187375e-57,-0.34666726,-1,56.19176829381264
Gm26805,3.277548963658564,0.23304109720084015,-0.3326358,0,0.6325674836363595
Lipt1,10.63102737486745,0.00778169297786507,-0.38904795,0,2.1089259080284695
Mitd1,27.386563731579432,2.7288107312324132e-06,-0.17569149,0,5.564026585704934
Mrpl30,28.466494968260484,1.6294450979238957e-06,-0.26934403,0,5.78796026795145
Txndc9,80.41961657174541,2.0600485996201303e-17,-0.2264076,0,16.68612253385518
Eif5b,26.35956941522895,4.4680951569433e-06,0.06075513,0,5.34987758629606
Rev1,21.760694520929434,4.011607979542956e-05,-0.015170879,0,4.396681513497999
Aff3,34.78593722726366,7.836894927572392e-08,0.05775149,0,7.105855975955239
Gm16150,11.69768389766783,0.0047345063823267895,-1.9073818,0,2.3247252936631586
Gm16152,87.88506138177254,5.461800227879063e-19,-1.0215955,-1,18.262664188765385
Lonrf2,175.7470369202598,1.224044310411196e-37,-0.29417792,0,36.91220286044311
Chst10,37.229257313584355,2.4158541972756325e-08,-0.03274885,0,7.6169292799968495
Pdcl3,20.97920949541713,5.8282209149773586e-05,-0.18214907,0,4.234463994936141
Npas2,31.502087363713926,3.786966882768181e-07,0.10050611,0,6.421708492791485
Rpl31,140.7413942886276,3.532115293435265e-30,-0.4318625,-1,29.451965128852812
Tbc1d8,36.44819028725362,3.5231518305289864e-08,-0.14876623,0,7.45306864045768
Cnot11,27.17935364409361,3.011970384124779e-06,-0.006052019,0,5.521149302748369
Gm15832,19.710655106974947,0.00010659002858645942,-0.16150717,0,3.972283421317232
Rnf149,88.05927491750151,5.018910995704692e-19,-0.25711834,0,18.299390505935207
Creg2,170.2469382722046,1.836081560348757e-36,-0.33932486,-1,35.73610803096556
D930019O06Rik,5.646459994325071,0.07903093580791772,-0.5305324,0,1.1022028755350435
Rfx8,10.286573706585608,0.009158557951727936,-0.023031186,0,2.0381729021955923
Map4k4,186.65771973844315,5.746097002414536e-40,-0.2991861,0,39.24062704676423
Il1r2,35.90972486726046,4.559676995023261e-08,-1.2380778,-1,7.341065921424942
Gm16894,37.171718385440684,2.482383179516684e-08,-0.09345983,0,7.605131180167944
Il1r1,166.22142042692337,1.3269852020483198e-35,-0.32629108,-1,34.87713392016841
Il1rl2,4.157897668884229,0.15627784167842831,-0.66918296,0,0.8061025953588317
Slc9a4,5.19960284909437,0.09705110927995841,0.49648994,0,1.0129994963249576
Slc9a2,1.458299863531747,0.5266007638709356,0.58300346,0,0.2785185152552229
Mfsd9,4.719701177283,0.12096648082466623,0.16448116,0,0.9173349537294997
Gm28175,12.770035233627667,0.002862165412683062,0.0938753,0,2.5433052707371107
Pantr1,37.68879062865553,1.9342021313174397e-08,-0.08227347,0,7.713498142492562
