,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Meg3,4.9819355793144e-218,-0.563993365899333,0.999,1.0,1.2940079473711199e-213,1
Grin1,7.91908545354775e-99,-0.818107734468143,0.701,0.756,2.05690325570449e-94,1
Xist,1.11037545562625e-83,-1.30447572409261,0.241,0.588,2.8840892084436196e-79,1
Cpne4,5.55722876778818e-75,0.470978470927312,0.947,0.935,1.4434346001453e-70,-1
Nrg3os,1.85331847964345e-72,2.85467945727723,0.148,0.03,4.81380941902591e-68,-1
Trhde,5.44203219382182e-59,0.580927633252686,0.87,0.814,1.41351344202328e-54,-1
Hs3st4,3.30476572205098e-55,0.414158541676271,0.956,0.965,8.58379848645523e-51,-1
Cachd1,4.63478661342724e-53,0.753670253334905,0.78,0.654,1.20383947497159e-48,-1
Epha7,1.1877857002544e-51,0.58734398965664,0.871,0.801,3.0851545778407804e-47,-1
Clstn2,5.80032553165704e-51,0.422571321012099,0.958,0.95,1.5065765535926e-46,-1
Gls,1.8102428066803998e-50,0.347289627267521,0.97,0.94,4.70192466607168e-46,-1
Mapt,2.46154648030076e-50,-0.439458908029283,0.733,0.759,6.3936208279332e-46,1
Cacna2d3,5.13691476341128e-49,0.420756882032342,0.959,0.93,1.3342622406484502e-44,-1
Ccbe1,3.7351374071798303e-47,0.467477659149725,0.863,0.792,9.70164590140888e-43,-1
Zbtb20,3.1020126571668204e-45,0.208784662495433,0.998,0.998,8.057167675725099e-41,0
Cacna1e,2.45916121315107e-44,0.351005145228158,0.933,0.92,6.38742533503859e-40,-1
Slc1a2,3.56984389940332e-43,0.586026155432217,0.817,0.705,9.27231254431017e-39,-1
Epha5,1.55925403438581e-41,0.523594423087957,0.897,0.785,4.0500064289137e-37,-1
Grm1,3.96895557804383e-41,0.35013552666371,0.887,0.834,1.0308965218411001e-36,-1
Epha4,4.46033464982414e-40,0.401928813721719,0.885,0.874,1.15852732194532e-35,-1
Ube3a,8.272694287491069e-40,0.77565849473452,0.523,0.411,2.1487496142329302e-35,-1
Snrnp70,8.21536883073888e-39,-0.73831729680365,0.425,0.58,2.13385990009612e-34,1
Dpf3,8.28677764924767e-39,0.574930125419471,0.791,0.67,2.15240762661559e-34,-1
Grik4,2.37468163030844e-37,0.347335541445398,0.944,0.947,6.16799806656314e-33,-1
Pabpn1,3.26314076045776e-37,-0.927894135192319,0.206,0.402,8.475681811212979e-33,1
Chgb,4.45242573103199e-37,0.902394862433767,0.549,0.317,1.15647305937825e-32,-1
Fstl5,9.28579579381903e-37,0.458992965778101,0.772,0.671,2.41189259948656e-32,-1
Gm10754,2.20718942611603e-35,-1.15503423582259,0.22,0.437,5.73295381539378e-31,1
Srsf5,4.42076627127354e-35,-1.08654011541872,0.187,0.361,1.1482498313005898e-30,1
Sptbn4,7.28500177058064e-35,-0.625394495440286,0.421,0.536,1.89220635989062e-30,1
Elavl3,1.14916352237343e-34,-0.489885591840993,0.577,0.657,2.9848373330127596e-30,1
Matk,3.3383042440827397e-34,-1.25598788150039,0.135,0.295,8.67091144358051e-30,1
Chrm3,6.99630294340563e-34,0.350605259722506,0.933,0.911,1.81721972652018e-29,-1
Nell2,1.11501888750476e-33,0.217378835603864,0.967,0.967,2.89615005840485e-29,0
Cdk9,3.48823819196122e-33,-1.360299181268,0.091,0.214,9.06034987980008e-29,1
Epha3,3.80686021354459e-33,0.459454205415462,0.769,0.667,9.88793871866072e-29,-1
Ephb1,7.35005796829636e-33,0.712730028496104,0.688,0.515,1.9091040566853e-28,-1
Raver2,9.37814621980156e-33,0.385024596309468,0.843,0.804,2.4358796991312598e-28,-1
Enox1,7.528614957632041e-32,0.242052031929418,0.971,0.971,1.95548244909535e-27,0
Robo1,2.95663103138364e-30,0.310439175023604,0.946,0.894,7.679553440915859e-26,-1
Rasgrp1,8.80582316979356e-30,0.670544518707592,0.649,0.47,2.28722451012218e-25,-1
Dok6,1.41029094780883e-29,0.310507381740956,0.943,0.935,3.66308970783865e-25,-1
Pde4d,2.94230591179879e-29,0.306804802542379,0.977,0.968,7.64234537530619e-25,-1
Robo2,1.0761054353277699e-28,0.308839959236917,0.912,0.868,2.79507625772035e-24,-1
Akap8l,1.8392470247918198e-28,-0.806386022529716,0.273,0.415,4.7772602221942705e-24,1
Slc24a2,4.76027708125702e-28,0.265428879805276,0.946,0.941,1.2364343690857e-23,0
Nrg3,4.8853544428713695e-28,0.120975517990034,1.0,1.0,1.26892196299141e-23,0
Plcl1,5.032668078845809e-28,0.695252750317313,0.613,0.419,1.3071852067994101e-23,-1
Atp1b1,5.52000872173806e-28,0.655960932563607,0.64,0.429,1.43376706538424e-23,-1
Ndrg4,8.22204956010091e-28,-0.878247395884569,0.199,0.323,2.13559515274061e-23,1
Trps1,2.29363840695726e-27,0.361477445099506,0.925,0.917,5.95749639823078e-23,-1
Cdk14,3.61109353871232e-27,0.282353782234001,0.945,0.933,9.37945435745139e-23,0
