,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Nr6a1,5.48868881857641e-155,-1.75219693245117,0.129,0.391,1.42563203373704e-150,1
Ralyl,8.77778855121557e-87,-0.515446880901033,0.923,0.968,2.27994279829273e-82,1
Gpc5,7.88370389508408e-60,-0.368078094509389,0.944,0.977,2.04771324970914e-55,1
Skap2,7.24362504366079e-50,-2.40705147974924,0.017,0.089,1.88145916884045e-45,1
Cdh18,1.16071944407376e-49,-0.69055582954335,0.535,0.599,3.01485268403719e-45,1
Scel,1.45183525826664e-41,-0.981511712766436,0.13,0.248,3.77099689982178e-37,1
Pbx3,1.82276239643263e-39,-1.04193321632633,0.103,0.216,4.73444304849412e-35,1
Pcdh9,1.23634247406622e-37,-0.213490500566254,1.0,1.0,3.21127594213961e-33,0
Ebf1,2.5415744083543298e-36,-0.933803385672439,0.149,0.267,6.60148536825953e-32,1
Mgat4c,2.55503838799004e-30,-0.361321337625508,0.44,0.422,6.63645670896533e-26,1
Dmd,3.7753868447567595e-30,-0.244827357759521,0.988,0.987,9.80618979057121e-26,0
Xist,5.231754197428039e-30,0.312620675966449,0.886,0.807,1.35889583523996e-25,-1
Nfib,1.03862830988053e-29,-0.404746411223897,0.582,0.663,2.6977331720836903e-25,1
Sema3e,2.6484742168998497e-29,-0.776519792375569,0.161,0.264,6.879146930975671e-25,1
Cntn4,2.8298811088026e-29,-0.254317818407233,0.919,0.925,7.35033319200388e-25,0
Oxr1,9.14548958016826e-29,-0.306984125452056,0.762,0.779,2.3754494635529e-24,1
Gria1,3.53940146134321e-28,0.35212235493769,0.593,0.493,9.19324135569285e-24,-1
Hs6st3,1.21827329573659e-27,0.411065880451273,0.561,0.454,3.16434305834623e-23,-1
Ryr2,1.81973885362982e-27,0.367018668883544,0.577,0.465,4.7265896984181e-23,-1
Plce1,2.26187559840117e-27,-0.636027791825594,0.253,0.342,5.8749956792872e-23,1
Dlg2,6.16501758809305e-27,-0.186023238118419,0.997,1.0,1.6013016683312899e-22,0
Lrrc4c,9.47492355607831e-27,-0.164895251993747,1.0,1.0,2.4610166444557797e-22,0
Cdh19,2.67334338327932e-26,-0.740919187948132,0.156,0.252,6.9437421037297e-22,1
Slit3,4.93309652493806e-26,0.391777606894135,0.326,0.236,1.2813224913874101e-21,-1
Caln1,1.3334656148450402e-25,0.749875188760105,0.252,0.159,3.46354358799852e-21,-1
Slc24a2,1.4184269620560501e-25,-0.221485504075886,0.538,0.484,3.68422219124437e-21,0
Cpq,7.45155774065192e-25,-0.477552336332108,0.343,0.44,1.9354676075569302e-20,1
Clstn2,4.92610286402021e-24,0.634724656963072,0.303,0.198,1.27950595790061e-19,-1
Schip1,6.0505010296748205e-24,0.344504011027509,0.625,0.523,1.5715571374477402e-19,-1
Robo2,1.02612801168035e-23,0.358002036603791,0.465,0.369,2.6652648975385303e-19,-1
Grm1,1.0629111731696901e-23,0.795158846570964,0.183,0.103,2.76080548119096e-19,-1
Tenm4,2.2006316874151202e-23,0.342077134264921,0.403,0.313,5.7159207448920205e-19,-1
Rhoj,2.2336978588075202e-23,-1.18254932199905,0.056,0.118,5.80180681846665e-19,1
Cntnap5a,3.38462625628535e-23,0.524020868431507,0.267,0.181,8.79122823807556e-19,-1
Grin2a,4.34542112219197e-23,0.193267110826463,0.517,0.437,1.1286796822781399e-18,0
Celf4,5.02145880141299e-23,0.305183377965835,0.34,0.252,1.30427370907901e-18,-1
Utrn,5.486875897181261e-23,-0.551507123852502,0.262,0.357,1.4251611455338599e-18,1
Ano3,8.44794794456517e-23,1.17045933164609,0.144,0.067,2.19426999912136e-18,-1
Atrnl1,1.21123143720292e-22,-0.28946507520523,0.48,0.484,3.1460525349908698e-18,0
Mctp1,4.36688811442311e-22,0.176242012676221,0.398,0.318,1.1342555188402601e-17,0
Zbtb20,5.964924534144489e-22,-0.213206252753987,0.977,0.98,1.54932949849869e-17,0
Spock3,6.06364755409897e-22,0.129766573010036,0.351,0.284,1.57497181570167e-17,0
A230006K03Rik,7.3921905849424395e-22,0.52695201323694,0.22,0.143,1.92004758253295e-17,-1
Cobl,8.61910891258862e-22,-0.378180982190987,0.398,0.499,2.23872734895577e-17,1
Epha6,1.58854581294926e-21,0.110313691463565,0.556,0.483,4.12608889455441e-17,0
Etl4,3.80993170668101e-21,0.339680336634108,0.399,0.312,9.895916614933261e-17,-1
Zfp385b,4.45641130998663e-21,0.395530072732282,0.224,0.154,1.15750827365593e-16,-1
Pcsk1n,7.84618589303959e-21,0.485164279813749,0.323,0.246,2.0379683238581002e-16,-1
Cd9,1.2650241936211601e-20,0.812997001118905,0.221,0.139,3.2857738405115897e-16,-1
Tcf12,1.69041737458099e-20,-0.199303534924572,0.771,0.761,4.39069008873666e-16,0
Arap2,1.9100996250230903e-20,-0.872046454717794,0.08,0.146,4.96129276603497e-16,1
Kcnd2,1.97805684234767e-20,-0.17875014211501,1.0,0.999,5.13780484231385e-16,0
Grik2,3.1514881877063503e-20,-0.22430244434231,0.984,0.988,8.18567541874847e-16,0
Meg3,3.89658007029235e-20,0.23263713883267,0.835,0.776,1.0120977074577402e-15,0
Pcsk2,5.1356769559080706e-20,0.284846026759786,0.604,0.505,1.33394073252756e-15,0
Kcnb2,8.697633594293851e-20,0.299632937723604,0.652,0.556,2.25912334978188e-15,0
Cdh8,9.281523366142011e-20,0.204198869944181,0.278,0.211,2.41078287912172e-15,0
C1ql1,1.22024902281754e-19,0.586939243081081,0.291,0.197,3.16947481186628e-15,-1
Hcn1,1.33781237509266e-19,0.549717009270238,0.212,0.136,3.47483386306568e-15,-1
Rian,1.78219555010831e-19,0.207289624417404,0.559,0.477,4.62907472185133e-15,0
Mir99ahg,2.2150999821828e-19,-0.21280473403379,0.915,0.916,5.7535006937216004e-15,0
Rbfox3,4.647155574289181e-19,0.742365380151042,0.155,0.089,1.20705218886587e-14,-1
Galntl6,5.89843928992693e-19,0.168901158792978,0.552,0.474,1.5320606211656202e-14,0
Cntn5,5.941778357750781e-19,0.150358914495747,0.553,0.481,1.5433175106421902e-14,0
Rcan2,7.39634351383908e-19,-0.676639738240021,0.135,0.203,1.9211262642845602e-14,1
Kdm6a,1.26830466345097e-18,-0.491979692648015,0.242,0.329,3.29429453284756e-14,1
Eya1,1.28745036791791e-18,-0.467801128490607,0.3,0.387,3.34402358562997e-14,1
Ctnnd2,1.4002053348641e-18,-0.160488138116151,0.995,0.996,3.6368933367760205e-14,0
Syt1,1.5067794242782499e-18,0.21740203141291,0.741,0.683,3.9137088766203405e-14,0
Rpl13,2.4108625534030897e-18,0.520426528001492,0.279,0.219,6.26197439620919e-14,-1
Nckap5,3.4489159237633197e-18,-0.249186849371596,0.661,0.733,8.958214220382851e-14,0
Nova1,3.8443947665458005e-18,-0.32005979048044,0.588,0.665,9.98543096662606e-14,1
