,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Mal,0.0,1.67609059915222,0.589,0.276,0.0,-1
Dpyd,0.0,-1.9830578781243,0.151,0.42,0.0,1
Fth1,0.0,1.36256615713534,0.6,0.346,0.0,-1
Scd2,0.0,1.47149120729947,0.484,0.235,0.0,-1
Neat1,0.0,-0.995651881431765,0.402,0.65,0.0,1
Abca8a,0.0,-1.92079568394295,0.13,0.375,0.0,1
Aplp1,0.0,1.2158539858201,0.511,0.287,0.0,-1
9330111N05Rik,0.0,-2.7102146372523,0.094,0.31,0.0,1
Ptgds,0.0,1.85035644933345,0.638,0.423,0.0,-1
Cldn11,0.0,1.23895545269561,0.447,0.253,0.0,-1
Cd81,0.0,1.8989158263465,0.281,0.091,0.0,-1
Cnp,0.0,1.43510924313255,0.347,0.159,0.0,-1
Actb,0.0,1.2754376053364,0.317,0.16,0.0,-1
Cryab,0.0,1.18048632179907,0.285,0.139,0.0,-1
Cdh8,0.0,-1.09845717435634,0.501,0.645,0.0,1
Syt11,0.0,1.04044186838319,0.34,0.198,0.0,-1
Itm2b,0.0,1.19686533736716,0.292,0.151,0.0,-1
Sorcs1,0.0,-0.565865982204184,0.632,0.763,0.0,1
Spock3,0.0,-1.02734814970179,0.809,0.937,0.0,1
Ubb,0.0,1.56507992701945,0.194,0.075,0.0,-1
Snca,0.0,-2.24968334877633,0.04,0.155,0.0,1
Man1a,0.0,2.77173608532907,0.125,0.02,0.0,-1
Eya4,0.0,-3.54368442463961,0.009,0.095,0.0,1
A530053G22Rik,0.0,-4.27505161014239,0.011,0.094,0.0,1
Plp1,0.0,0.685829131590954,0.97,0.916,0.0,-1
Robo1,0.0,-1.11311837257283,0.891,0.944,0.0,1
Mbp,0.0,0.357619521450808,0.955,0.916,0.0,-1
March1,0.0,-0.775009886640597,0.939,0.976,0.0,1
Dgki,0.0,-0.467553543330548,0.927,0.958,0.0,1
Nav3,0.0,-0.709946865759324,0.87,0.894,0.0,1
Lrrc4c,0.0,-0.873344544323155,0.985,0.995,0.0,1
Csmd3,0.0,-0.561056958663739,0.993,0.997,0.0,1
Mdga2,0.0,-0.539933329000283,0.993,0.997,0.0,1
Edil3,0.0,-0.392068310387019,0.996,0.999,0.0,1
