cell_type,gene,DEG,pred,dmr,mcg_genebody,mch_genebody,atac,hic_loop,hic_abc_dmr,hic_abc_peak
Astro-TE_NN,Gtf2e1,0,0,0.10068903,0.05029885,0.08127689,0.033917136,0.5438447,0.019299805,0.17067353
Astro-TE_NN,Ankrd10,0,0,0.07867198,0.14463961,0.0595146,0.013344318,0.5699429,0.07384859,0.060037963
Astro-TE_NN,Tlk1,0,1,0.101562575,0.06518757,0.13785213,0.1934397,0.0022345232,0.15808702,0.34163648
Astro-TE_NN,Slain1,0,0,0.087723486,0.055855002,0.087137155,0.13987632,0.4193451,0.024974737,0.18508826
Astro-TE_NN,Gm1673,0,-1,0.0023630382,0.04244421,0.0023007207,0.0072698845,0.009187949,0.93622524,0.00020893164
Astro-TE_NN,Tmem181a,0,-1,0.002506807,0.0010490692,0.0024459537,0.0005571198,3.365033e-05,0.99318576,0.00022164317
Astro-TE_NN,Luc7l2,0,0,0.12529832,0.09147625,0.09687251,0.03903332,0.41980746,0.0714659,0.15604626
Astro-TE_NN,Ift20,0,-1,0.040027186,0.32485586,0.03760847,0.0037080417,0.32701048,0.2586372,0.008152683
Astro-TE_NN,Gm15952,0,0,0.30532974,0.13050254,0.22576974,0.04635956,0.0040986165,0.042840976,0.24509874
Astro-TE_NN,Ubxn6,0,0,0.22812892,0.1754553,0.18261975,0.045568354,0.0030623055,0.1370665,0.22809884
Astro-TE_NN,Cadps,0,-1,0.004619863,0.001761308,0.008012954,0.924297,0.02962716,0.0011828077,0.030498963
Astro-TE_NN,Ppp6c,0,0,0.17739129,0.052354667,0.14694215,0.13440488,0.0023812258,0.23462151,0.2519044
Astro-TE_NN,AA386476,0,-1,0.05618565,0.40553075,0.06710948,0.0033802763,0.44717073,0.005712529,0.014910468
Astro-TE_NN,Pds5a,0,0,0.13996457,0.041085765,0.10601378,0.0827956,0.38432983,0.020793283,0.22501716
Astro-TE_NN,Ssbp1,0,0,0.16259807,0.16301066,0.16041264,0.043785162,0.0021826474,0.19111784,0.27689296
Astro-TE_NN,Traf3ip1,0,0,0.1989741,0.02439696,0.1696422,0.054317683,0.42431563,0.03809483,0.090258524
Astro-TE_NN,Aqp4,0,0,0.22015949,0.34064507,0.20979719,0.02574323,0.0029553277,0.046333533,0.15436617
Astro-TE_NN,Sin3a,0,0,0.08077361,0.3379765,0.08122927,0.029165115,0.37440482,0.06168612,0.034764633
Astro-TE_NN,B230369F24Rik,0,-1,0.03429784,0.55973923,0.035948463,0.0055180513,0.3316504,0.02472572,0.008120224
Astro-TE_NN,Sec22a,0,0,0.14400402,0.10823616,0.14018105,0.06470571,0.29083562,0.0059259115,0.24611154
Astro-TE_NN,Cpt1c,0,0,0.05725,0.17757225,0.06570734,0.00804688,0.507119,0.16822018,0.016084336
Astro-TE_NN,Mfge8,-1,-1,0.055308424,0.35154688,0.07448162,0.058389373,0.33820066,0.10692695,0.015146088
Astro-TE_NN,Gpam,1,-1,0.014600309,0.0015477444,0.012452239,0.005666653,0.37695238,0.5776385,0.0111421645
Astro-TE_NN,Thsd7a,1,1,0.066027045,0.032642443,0.092794836,0.2649883,0.2116646,0.003760245,0.32812256
Astro-TE_NN,Id2,-1,-1,0.0022783475,0.07818182,0.0024061669,0.0010590522,0.013202001,0.90267116,0.00020144359
Astro-TE_NN,Ndufc2,-1,0,0.06711115,0.22589853,0.06618281,0.5034166,0.00090087176,0.11663251,0.01985751
Astro-TE_NN,Scg3,-1,0,0.12589814,0.2588718,0.1911847,0.06444637,0.0030510842,0.16045849,0.19608934
Astro-TE_NN,Kcnh5,-1,-1,0.001761105,0.00043683252,0.0018039976,0.98018163,0.010133508,0.000111238296,0.0055717025
Astro-TE_NN,Gpr37l1,-1,-1,0.009230195,0.15763685,0.008402164,0.0010168398,0.08642123,0.7352306,0.0020621468
Astro-TE_NN,S1pr1,-1,-1,0.015462733,0.7215733,0.012988436,0.015733656,0.16828066,0.060909145,0.0050520087
Astro-TE_NN,Bmp6,1,1,0.06945701,0.07184144,0.08718372,0.045153424,0.24313879,0.2821498,0.20107579
Astro-TE_NN,Pla2g7,-1,-1,0.03688066,0.09176381,0.047167055,0.057730548,0.3669317,0.36189026,0.037635945
Astro-TE_NN,Tmem59,-1,0,0.12093851,0.13173296,0.095849544,0.02094217,0.42262298,0.082049794,0.125864
Astro-TE_NN,Dlg2,1,-1,0.010131714,0.0022604722,0.0123608885,0.8625741,0.04307664,0.006943455,0.06265271
Astro-TE_NN,Galnt18,1,1,0.048277475,0.008364688,0.063477136,0.4501694,0.26023188,0.010512849,0.1589665
Astro-TE_NN,Dpyd,1,1,0.07877652,0.0093483385,0.06404338,0.46534497,0.10438134,0.011785132,0.26632038
Astro-TE_NN,Lars2,-1,-1,0.04393515,0.0043910453,0.06107875,0.09013373,0.00094236044,0.75939596,0.040123083
Astro-TE_NN,Sntb2,1,0,0.14888497,0.030524539,0.15216462,0.037602693,0.44344485,0.023292497,0.16408585
Astro-TE_NN,Gm12239,1,1,0.08063776,0.024149103,0.09313365,0.3137885,0.22700538,0.01149277,0.2497928
Astro-TE_NN,Fgf13,1,1,0.10087563,0.090526246,0.13437746,0.024676137,0.0022287646,0.0068889055,0.6404269
Astro-TE_NN,Robo2,1,1,0.0760332,0.006995798,0.047259744,0.44864556,0.09373268,0.062026925,0.26530606
Astro-TE_NN,Dcc,-1,-1,0.0010239407,0.00015813034,0.0011156007,0.3483604,0.0041019274,0.6400717,0.0051682647
Astro-TE_NN,9530026P05Rik,1,-1,0.0016010801,0.00026468208,0.0020381673,0.0072690076,0.0044440464,0.98120946,0.003173531
Astro-TE_NN,Tsix,1,0,0.22336657,0.049394954,0.23750347,0.0026777193,0.0044308645,0.3039874,0.178639
Astro-TE_NN,Ilk,-1,-1,0.021142974,0.36449578,0.017160846,0.0018958481,0.00028381436,0.5891765,0.005844214
Astro-TE_NN,Cst3,-1,-1,0.012063872,0.30127585,0.010759566,0.0490291,0.00016194028,0.6243349,0.0023747392
Astro-TE_NN,Scd2,-1,-1,0.02200887,0.3733677,0.022626476,0.014542733,0.00029543773,0.5620985,0.005060295
Astro-TE_NN,Nkain4,-1,-1,0.008751609,0.008459105,0.006444459,0.0020022881,0.000117477815,0.9719824,0.0022427044
Astro-TE_NN,Slc22a17,-1,-1,0.008228646,0.0040845172,0.0049504032,0.001215311,0.027785473,0.9518653,0.0018703019
Astro-TE_NN,Mt3,-1,-1,0.0024423185,0.010627585,0.0022327355,0.00023110808,0.016614562,0.9676357,0.00021594133
Astro-TE_NN,Shroom4,1,1,0.1371601,0.0194628,0.16289836,0.0016189052,0.0026788276,0.021168416,0.6550126
Astro-TE_NN,Sema6d,-1,1,0.013488291,0.004507173,0.011711819,0.9159721,0.02463703,0.0018158408,0.027867638
Astro-TE_NN,Aldoc,-1,-1,0.002158869,0.08248591,0.0020571107,0.0002499807,0.05752287,0.85533434,0.00019087971
Astro-TE_NN,Crym,1,0,0.038119327,0.046847794,0.049338687,0.003235325,0.7342581,0.102060236,0.02614049
Astro-TE_NN,Aldh1a1,-1,0,0.120224774,0.011895027,0.10176287,0.20873386,0.0016138466,0.3026905,0.25307903
Astro-TE_NN,Csmd1,-1,-1,0.0010399718,0.00018145425,0.0014586245,0.9904365,0.0026217385,7.5421616e-05,0.004186225
Astro-TE_NN,Nr3c2,1,1,0.06499898,0.017522579,0.09504909,0.37532607,0.16569495,0.014144001,0.26726443
Astro-TE_NN,Fam184b,1,1,0.12401053,0.030997718,0.08788464,0.05944961,0.44633925,0.0075270417,0.24379124
Astro-TE_NN,Ccdc181,0,-1,0.053936344,0.029413987,0.09857921,0.01971718,0.69247746,0.033135593,0.072740234
Astro-TE_NN,Tbcb,0,-1,0.05675559,0.10734662,0.11224967,0.01685769,0.60532427,0.022551995,0.07891418
Astro-TE_NN,Gm17106,0,1,0.11875845,0.057339016,0.19079399,0.05924992,0.116521604,0.25962508,0.1977119
Astro-TE_NN,Cep85l,0,0,0.08033711,0.066757455,0.14996709,0.039305463,0.4539031,0.08272749,0.1270023
Astro-TE_NN,Haghl,0,-1,0.061570626,0.043809917,0.11378512,0.019725747,0.67451227,0.02228708,0.064309336
Astro-TE_NN,Taf12,0,0,0.1566801,0.1410174,0.1716838,0.06986135,0.26600206,0.054946225,0.13980906
Astro-TE_NN,Ppox,0,0,0.14327401,0.19190267,0.28225243,0.04092553,0.089492284,0.06718891,0.18496415
Astro-TE_NN,Csf2ra,0,-1,0.010081425,0.95944214,0.019552745,0.00032228517,0.0062970943,0.003125392,0.0011788982
Astro-TE_NN,Lamtor3,0,-1,0.06896313,0.052644342,0.1333338,0.0214621,0.60104185,0.033482574,0.08907218
Astro-TE_NN,Gpt2,0,0,0.15776572,0.063303806,0.15346329,0.027383525,0.42395878,0.053778645,0.12034624
Astro-TE_NN,Extl2,0,0,0.091282584,0.06675126,0.16668704,0.30186513,0.12846148,0.085830614,0.15912183
Astro-TE_NN,Morn2,0,0,0.08069178,0.23341869,0.14611167,0.026733084,0.34815878,0.042528912,0.12235718
