cell_type,gene,DEG,pred,dmr,mcg_genebody,mch_genebody
CA1-ProS_Glut,Ptchd4,0,1,0.14797486,0.11893232,0.7330928
CA1-ProS_Glut,Frmd3,0,1,0.2875974,0.17737433,0.5350283
CA1-ProS_Glut,Mars2,0,0,0.1642889,0.15986246,0.67584866
CA1-ProS_Glut,Dusp18,0,0,0.11661449,0.1669555,0.71643007
CA1-ProS_Glut,Tmem150a,0,-1,0.1774762,0.1650778,0.657446
CA1-ProS_Glut,Olfml2b,0,0,0.307548,0.12108708,0.5713649
CA1-ProS_Glut,Sfxn4,0,0,0.28926858,0.34582654,0.36490482
CA1-ProS_Glut,Fem1c,0,1,0.19269533,0.27968764,0.52761704
CA1-ProS_Glut,Nme1,0,-1,0.2453352,0.20262492,0.5520399
CA1-ProS_Glut,Ptma,0,-1,0.09667092,0.47212794,0.43120113
CA1-ProS_Glut,Myo9b,0,1,0.18989241,0.201669,0.6084386
CA1-ProS_Glut,Ccdc77,0,0,0.27511117,0.32412434,0.40076447
CA1-ProS_Glut,Pnkp,0,-1,0.09764475,0.19594404,0.70641124
CA1-ProS_Glut,Timm10b,0,-1,0.16078177,0.09165165,0.74756664
CA1-ProS_Glut,Jade2,0,1,0.30234703,0.31585294,0.3818
CA1-ProS_Glut,Sun2,0,0,0.2485106,0.099088006,0.6524014
CA1-ProS_Glut,Lima1,0,0,0.14243999,0.14002204,0.717538
CA1-ProS_Glut,Sirt7,0,0,0.27128023,0.15171468,0.5770051
CA1-ProS_Glut,Golga7,0,0,0.17105423,0.24290156,0.58604413
CA1-ProS_Glut,5330439K02Rik,0,0,0.17233981,0.161087,0.6665732
CA1-ProS_Glut,Ehd3,0,1,0.17040245,0.14935805,0.68023956
CA1-ProS_Glut,Mapk1ip1,0,-1,0.088081695,0.48715222,0.42476612
CA1-ProS_Glut,Thnsl1,0,0,0.1411663,0.10674992,0.7520837
CA1-ProS_Glut,Zfp574,0,0,0.20686318,0.20762667,0.5855102
CA1-ProS_Glut,Atp5c1,0,1,0.39224362,0.21378602,0.39397037
CA1-ProS_Glut,1700028K03Rik,0,0,0.15110005,0.19541834,0.65348166
CA1-ProS_Glut,Brd4,0,1,0.13680159,0.06963128,0.7935672
CA1-ProS_Glut,Gm20342,0,0,0.15275393,0.15561862,0.69162744
CA1-ProS_Glut,Cyp7b1,0,1,0.2972354,0.18983266,0.51293194
CA1-ProS_Glut,Ssr1,0,0,0.17762433,0.10876444,0.7136112
CA1-ProS_Glut,Sec23ip,0,1,0.40381598,0.19066466,0.40551934
CA1-ProS_Glut,Cggbp1,0,0,0.16893777,0.15196155,0.67910075
CA1-ProS_Glut,Lyrm4,0,1,0.2673,0.28035203,0.45234793
CA1-ProS_Glut,Ppp1r14b,0,-1,0.0784631,0.19734353,0.7241934
CA1-ProS_Glut,Cemip,0,1,0.077597566,0.086369544,0.8360329
CA1-ProS_Glut,Fubp1,0,1,0.3564855,0.311304,0.33221054
CA1-ProS_Glut,Fosl2,0,1,0.09765762,0.10944182,0.79290056
CA1-ProS_Glut,Vti1b,0,0,0.25567222,0.3865832,0.3577446
CA1-ProS_Glut,Akap5,0,0,0.25492334,0.17759204,0.5674847
CA1-ProS_Glut,Dars,0,1,0.27907938,0.113766566,0.6071541
CA1-ProS_Glut,Gtf2h1,0,1,0.37592405,0.1362638,0.4878121
CA1-ProS_Glut,Kcnk2,0,-1,0.16492932,0.0914053,0.7436654
CA1-ProS_Glut,Elmo1,0,1,0.13143268,0.10081846,0.76774883
CA1-ProS_Glut,Gm26777,0,0,0.2083246,0.31542766,0.47624776
CA1-ProS_Glut,Rars2,0,1,0.2491312,0.21995299,0.5309158
CA1-ProS_Glut,Orai1,0,0,0.1450547,0.09246131,0.762484
CA1-ProS_Glut,Sil1,0,1,0.3249835,0.21765447,0.457362
