cell_type,gene,DEG,pred,dmr,mcg_genebody,mch_genebody,atac,hic_loop,hic_abc_dmr,hic_abc_peak
CA3_Glut,Gfra2,0,1,0.10892508,0.16632193,0.08087921,0.050326176,0.07197445,0.35110247,0.1704706
CA3_Glut,Aup1,0,1,0.004577488,0.04190656,0.004770425,0.319605,0.31694314,0.0017253879,0.31047198
CA3_Glut,Kank3,0,1,0.022861907,0.2775111,0.018313298,0.44315076,0.12062077,0.08075953,0.036782704
CA3_Glut,Lnx1,0,1,0.11622873,0.1377577,0.08558323,0.05009124,0.052810706,0.38863224,0.16889614
CA3_Glut,Ryr1,0,1,0.50721806,0.13328974,0.03232983,0.03580795,0.06462193,0.15571801,0.07101438
CA3_Glut,Nefl,0,1,0.028303746,0.08378524,0.022331018,0.68021154,0.043971475,0.09000995,0.051387005
CA3_Glut,Ints2,0,1,0.063099466,0.06743564,0.06731316,0.43478063,0.061092526,0.20112102,0.10515757
CA3_Glut,Zfp772,0,0,0.0077194218,0.008430593,0.33814707,0.1081122,0.01110498,0.0029096724,0.523576
CA3_Glut,Ak3,0,1,0.072034076,0.23493059,0.06888974,0.22260721,0.04039428,0.24520867,0.1159354
CA3_Glut,Tdp1,0,1,0.07430537,0.090303406,0.0431489,0.05126306,0.33536494,0.2905986,0.1150158
CA3_Glut,Rpn2,0,1,0.6452383,0.09697408,0.02254159,0.03113969,0.045355577,0.10761573,0.051135056
CA3_Glut,Hykk,0,1,0.058038086,0.11491212,0.041687418,0.41154778,0.083492264,0.19683076,0.0934916
CA3_Glut,Ano4,0,1,0.76256806,0.049049728,0.09070147,0.005874324,0.01980278,0.014887823,0.057115793
CA3_Glut,6230400D17Rik,0,1,0.018990135,0.0542998,0.012494672,0.13039266,0.69559747,0.057444956,0.030780181
CA3_Glut,Pex26,0,1,0.06259341,0.25878385,0.046304405,0.25001603,0.061555967,0.22008677,0.10065957
CA3_Glut,Abcc4,0,1,0.32994476,0.060537215,0.43107986,0.0069512213,0.03546558,0.094031654,0.04198961
CA3_Glut,Coq10b,0,1,0.018447954,0.03089532,0.69745743,0.12160426,0.03786405,0.058960393,0.034770545
CA3_Glut,Hmbs,0,0,0.01027316,0.024675684,0.010979748,0.238635,0.014778728,0.00387225,0.6967854
CA3_Glut,Cep135,0,1,0.09157409,0.12317857,0.05582481,0.09387749,0.14485203,0.34362477,0.1470682
CA3_Glut,Schip1,0,-1,0.11819889,0.052660417,0.7748794,0.0013331462,0.00579759,0.03252003,0.01461055
CA3_Glut,Mark1,0,1,0.12543151,0.1992221,0.10652866,0.06025133,0.27007785,0.047278766,0.19120985
CA3_Glut,Fam229b,0,0,0.07070516,0.080374725,0.040779106,0.29800493,0.10171481,0.29859653,0.10982471
CA3_Glut,Herc4,0,1,0.072016396,0.09005757,0.04382332,0.059172448,0.36037675,0.25533372,0.119219735
CA3_Glut,Msto1,0,1,0.049508292,0.1954006,0.031991865,0.39003837,0.0712215,0.17253725,0.089302175
CA3_Glut,Klhl11,0,1,0.013330069,0.03036894,0.70006937,0.08456938,0.1044961,0.04515947,0.02200657
CA3_Glut,Pum1,0,-1,0.20833777,0.025596047,0.6734144,0.009270781,0.01194337,0.046456806,0.024980728
CA3_Glut,St8sia3,0,1,0.6573631,0.04586113,0.032916494,0.064783685,0.021488875,0.12281408,0.05477267
CA3_Glut,Man2b1,0,1,0.07052721,0.090178296,0.07276582,0.2804398,0.12689082,0.24504103,0.114157006
CA3_Glut,Tmem132a,0,1,0.009932127,0.012480914,0.008163106,0.044061862,0.875994,0.03255831,0.01680961
CA3_Glut,Polr3a,0,1,0.08486349,0.09036824,0.11901656,0.1786468,0.07207169,0.30940697,0.14562629
CA3_Glut,Mmp17,0,1,0.04644244,0.3385228,0.05408226,0.15185887,0.16790491,0.1654205,0.07576834
CA3_Glut,Psma2,0,0,0.013316706,0.023298057,0.7381749,0.13805579,0.019157104,0.04637199,0.021625347
CA3_Glut,Ubp1,0,1,0.0646512,0.10278394,0.048346512,0.3052327,0.13566959,0.22921897,0.11409705
CA3_Glut,Thoc1,0,0,0.077004276,0.10833323,0.1801888,0.084731504,0.11077662,0.31717968,0.121785864
CA3_Glut,1700111E14Rik,0,-1,0.0040309206,0.004148452,0.9665113,0.0019503109,0.0021069515,0.014806157,0.0064458237
CA3_Glut,Zdhhc18,0,1,0.09300598,0.1210375,0.05840568,0.13154095,0.1224705,0.3242433,0.14929613
CA3_Glut,Cnn3,0,1,0.4823021,0.045773536,0.019891731,0.08323745,0.1836254,0.12409489,0.061074875
CA3_Glut,Aph1b,0,1,0.014499897,0.111209586,0.69736505,0.04499575,0.0583798,0.050694313,0.022855656
CA3_Glut,Zfp9,0,1,0.041477032,0.06126372,0.0518743,0.30022606,0.4633021,0.015633896,0.0662229
CA3_Glut,Btla,0,1,0.00043750406,0.00043384937,0.0002670853,0.9958259,0.00062938366,0.0016895385,0.0007167512
CA3_Glut,Zfp512,0,1,0.08650352,0.110971704,0.07625372,0.17411813,0.06642381,0.3467073,0.13902181
CA3_Glut,Peak1,0,1,0.65628815,0.034447465,0.039521087,0.0074118944,0.12968151,0.09079092,0.04185901
CA3_Glut,Bola3,0,1,0.069947466,0.08660198,0.05029138,0.2600484,0.17133874,0.24432628,0.11744578
CA3_Glut,P4htm,0,1,0.02672766,0.0375679,0.03199759,0.13263372,0.6409338,0.083359815,0.046779487
CA3_Glut,Tmem251,0,0,0.010611977,0.029419022,0.009835721,0.21222042,0.014146598,0.003999962,0.7197663
CA3_Glut,Gpr176,0,1,0.106386654,0.15466028,0.06394198,0.045807652,0.086654015,0.3733257,0.16922374
CA3_Glut,Stim1,0,1,0.023276238,0.032211885,0.7709336,0.01056028,0.116603024,0.008773489,0.03764161
CA3_Glut,Tatdn3,0,1,0.06044454,0.08907302,0.040581994,0.44941598,0.06953285,0.19280002,0.09815165
CA3_Glut,6430550D23Rik,0,1,0.007429049,0.017053314,0.005637172,0.021462645,0.9107619,0.025989909,0.011666015
CA3_Glut,Rab35,0,1,0.025122773,0.21324682,0.034865715,0.12513539,0.47557124,0.08333469,0.042723343
CA3_Glut,Zbbx,0,1,0.11366802,0.12665404,0.10255389,0.03805362,0.03786614,0.4006805,0.18052378
