cell_type,gene,DEG,pred,dmr,mcg_genebody,mch_genebody,atac,hic_loop,hic_abc_dmr,hic_abc_peak
L5_ET_CTX_Glut,Eme2,0,-1,0.09065974,0.16943546,0.085932314,0.082966186,0.19268729,0.0888709,0.28944814
L5_ET_CTX_Glut,Dck,0,0,0.15413348,0.08414357,0.22698398,0.13680544,0.1565746,0.17318088,0.06817809
L5_ET_CTX_Glut,2700049A03Rik,0,0,0.09404191,0.048636932,0.43764016,0.09539692,0.16675791,0.10232039,0.055205736
L5_ET_CTX_Glut,Grsf1,0,-1,0.17672673,0.1739029,0.14755765,0.16161783,0.017717917,0.21908991,0.10338704
L5_ET_CTX_Glut,Nup210l,0,-1,0.08366419,0.03646455,0.247672,0.08753467,0.29430223,0.09481629,0.15554613
L5_ET_CTX_Glut,Plcxd2,0,0,0.10638744,0.053905465,0.25582084,0.12224662,0.17169853,0.16064855,0.12929256
L5_ET_CTX_Glut,Zfp202,0,0,0.16064578,0.06910977,0.16931404,0.15111388,0.15308447,0.12454937,0.17218271
L5_ET_CTX_Glut,Eif2b3,0,0,0.10563632,0.04395803,0.21189316,0.10141076,0.30543235,0.16495949,0.06670988
L5_ET_CTX_Glut,Drd2,0,0,0.1108919,0.048587944,0.34729296,0.08893564,0.2051476,0.15995166,0.039192248
L5_ET_CTX_Glut,Lmf1,0,-1,0.087267816,0.04351919,0.13447885,0.10155343,0.28575447,0.17427376,0.17315243
L5_ET_CTX_Glut,Rps27a,0,0,0.158994,0.21036506,0.18305357,0.14628902,0.015940104,0.15741473,0.12794343
L5_ET_CTX_Glut,1700028K03Rik,0,0,0.13447912,0.12182382,0.19574378,0.14424238,0.2266229,0.10449441,0.07259355
L5_ET_CTX_Glut,Chrac1,0,0,0.16673438,0.076186106,0.20069128,0.15029618,0.016716124,0.19297054,0.19640535
L5_ET_CTX_Glut,Gm20033,0,0,0.0989037,0.054368008,0.35587984,0.07792697,0.27536222,0.08322386,0.054335482
L5_ET_CTX_Glut,Zfp334,0,0,0.14958483,0.10310606,0.11112539,0.14013375,0.25830415,0.15851721,0.07922861
L5_ET_CTX_Glut,Ndufs6,0,0,0.1690474,0.137407,0.17402868,0.14990081,0.17900981,0.11900288,0.07160349
L5_ET_CTX_Glut,Gm13912,0,1,0.14155994,0.074434824,0.14650908,0.13310611,0.1365509,0.24415377,0.1236854
L5_ET_CTX_Glut,Lamtor3,0,0,0.15206414,0.09244617,0.16016874,0.14782648,0.12192641,0.13156535,0.19400276
L5_ET_CTX_Glut,Bcorl1,0,-1,0.15877618,0.08990422,0.17026113,0.105193496,0.016067838,0.22094652,0.23885062
L5_ET_CTX_Glut,Spire2,0,-1,0.10733936,0.07720632,0.13299792,0.11484608,0.36437005,0.09276998,0.11047026
L5_ET_CTX_Glut,Grb2,0,-1,0.15528943,0.12207109,0.09734807,0.18291989,0.015568698,0.18009874,0.24670415
