cell_type,gene,DEG,pred,dmr,mcg_genebody,mch_genebody
L6_CT_CTX_Glut,Atg14,0,-1,0.23923135,0.41833112,0.34243757
L6_CT_CTX_Glut,Cep76,0,-1,0.37170392,0.23048511,0.39781106
L6_CT_CTX_Glut,Rpl27,0,-1,0.323182,0.38839173,0.2884263
L6_CT_CTX_Glut,Eprs,0,-1,0.3637074,0.25482288,0.38146982
L6_CT_CTX_Glut,Cacna1c,0,1,0.4789629,0.0490129,0.4720242
L6_CT_CTX_Glut,Nr2c2,0,-1,0.18850829,0.26096413,0.5505276
L6_CT_CTX_Glut,Scmh1,0,-1,0.1607787,0.24492465,0.59429663
L6_CT_CTX_Glut,Herc6,0,0,0.23123504,0.16479902,0.603966
L6_CT_CTX_Glut,Trim17,0,-1,0.2591111,0.3499978,0.39089108
L6_CT_CTX_Glut,Sfxn1,0,0,0.09938276,0.15481173,0.7458055
L6_CT_CTX_Glut,Shkbp1,0,-1,0.25642467,0.39079282,0.3527825
L6_CT_CTX_Glut,Wnt7b,0,0,0.24288806,0.09479532,0.6623167
L6_CT_CTX_Glut,Arl13b,0,0,0.12938124,0.1930768,0.6775419
L6_CT_CTX_Glut,Rab5c,0,-1,0.22487506,0.3173108,0.45781407
L6_CT_CTX_Glut,Zbtb21,0,-1,0.4425042,0.27265018,0.2848456
L6_CT_CTX_Glut,Skil,0,-1,0.39957014,0.30865392,0.29177594
L6_CT_CTX_Glut,Mreg,0,0,0.06492964,0.0918887,0.8431816
L6_CT_CTX_Glut,Gbe1,0,0,0.07547529,0.12020508,0.8043196
L6_CT_CTX_Glut,Mbp,0,1,0.31771952,0.038208894,0.6440716
L6_CT_CTX_Glut,Nkap,0,-1,0.2567247,0.3813846,0.36189064
L6_CT_CTX_Glut,Abhd4,0,0,0.19609948,0.23952094,0.5643796
L6_CT_CTX_Glut,Cxxc1,0,-1,0.31405428,0.44217566,0.2437701
L6_CT_CTX_Glut,B4galnt1,0,-1,0.7764724,0.13433024,0.08919729
L6_CT_CTX_Glut,Tmeff1,0,0,0.21066415,0.087351866,0.70198405
L6_CT_CTX_Glut,Otud4,0,-1,0.27493244,0.39025918,0.33480835
L6_CT_CTX_Glut,Gm28791,0,0,0.25570825,0.39006865,0.3542231
L6_CT_CTX_Glut,Ttbk2,0,-1,0.15368138,0.24851802,0.5978006
L6_CT_CTX_Glut,Rsf1,0,-1,0.19060792,0.27590215,0.5334899
L6_CT_CTX_Glut,Sh2d4b,0,0,0.069003165,0.10489888,0.826098
L6_CT_CTX_Glut,Tox4,0,-1,0.44618642,0.2622129,0.2916007
L6_CT_CTX_Glut,Ift52,0,-1,0.26265675,0.3392536,0.39808962
L6_CT_CTX_Glut,Shc2,0,-1,0.7127965,0.14436847,0.14283496
L6_CT_CTX_Glut,Nprl2,0,-1,0.31983674,0.37410456,0.30605865
L6_CT_CTX_Glut,Kctd18,0,-1,0.18959199,0.2505755,0.5598325
L6_CT_CTX_Glut,3110056K07Rik,0,-1,0.26324776,0.36031505,0.37643716
L6_CT_CTX_Glut,Tbc1d5,0,0,0.16585848,0.099155195,0.73498636
L6_CT_CTX_Glut,Akap5,0,0,0.20026185,0.22871476,0.57102334
L6_CT_CTX_Glut,0610010F05Rik,0,-1,0.22366114,0.29772416,0.4786147
L6_CT_CTX_Glut,Josd1,0,-1,0.3117558,0.33381343,0.3544307
L6_CT_CTX_Glut,Gstz1,0,-1,0.26406145,0.3678166,0.368122
L6_CT_CTX_Glut,Cdk5rap3,0,0,0.14168073,0.20957875,0.64874053
L6_CT_CTX_Glut,Eqtn,0,0,0.13936488,0.21426941,0.6463657
L6_CT_CTX_Glut,Zcchc10,0,-1,0.28498867,0.4357111,0.27930018
L6_CT_CTX_Glut,Tmem248,0,-1,0.25617135,0.36322,0.3806087
L6_CT_CTX_Glut,Mrpl33,0,0,0.13358876,0.09907406,0.76733714
L6_CT_CTX_Glut,Zfp322a,0,-1,0.2801924,0.38860324,0.33120435
L6_CT_CTX_Glut,Higd1a,0,-1,0.24217568,0.34691936,0.41090494
L6_CT_CTX_Glut,Rpap3,0,-1,0.2236897,0.33741677,0.4388935
L6_CT_CTX_Glut,Fbxl6,0,-1,0.34077308,0.37200227,0.2872247
L6_CT_CTX_Glut,Pstpip2,0,0,0.16067217,0.1152453,0.7240826
L6_CT_CTX_Glut,Cln5,0,-1,0.39117926,0.22892454,0.37989607
L6_CT_CTX_Glut,Adamtsl3,0,0,0.061682988,0.11692593,0.8213911
L6_CT_CTX_Glut,Gm29587,0,0,0.21949832,0.32703385,0.45346788
L6_CT_CTX_Glut,Sh3bgrl3,0,0,0.30703992,0.42644066,0.26651946
L6_CT_CTX_Glut,Cand1,0,-1,0.2395749,0.3468588,0.41356635
L6_CT_CTX_Glut,Dpm3,0,-1,0.44418114,0.22653815,0.32928064
L6_CT_CTX_Glut,Ankrd46,0,0,0.2664697,0.20134287,0.53218746
L6_CT_CTX_Glut,Sdc3,0,0,0.14229603,0.21499489,0.6427091
L6_CT_CTX_Glut,Kif3b,0,-1,0.5520984,0.22181691,0.22608475
L6_CT_CTX_Glut,Pa2g4,0,-1,0.31117755,0.38532597,0.30349654
L6_CT_CTX_Glut,Cpne9,0,0,0.15567568,0.19352241,0.6508019
L6_CT_CTX_Glut,Adcy9,0,-1,0.14758237,0.21222991,0.64018774
L6_CT_CTX_Glut,Haus2,0,-1,0.22377056,0.31489602,0.4613334
L6_CT_CTX_Glut,Hmgcll1,0,0,0.15058789,0.103135824,0.74627626
L6_CT_CTX_Glut,Ubac2,0,1,0.28926885,0.08417126,0.62655985
L6_CT_CTX_Glut,Polr1c,0,-1,0.3169856,0.4356885,0.24732588
L6_CT_CTX_Glut,Ptpn2,0,0,0.09229978,0.13768244,0.77001774
L6_CT_CTX_Glut,Scyl3,0,-1,0.26107568,0.3870991,0.3518253
L6_CT_CTX_Glut,Dimt1,0,-1,0.2915708,0.4081432,0.300286
L6_CT_CTX_Glut,Rtn2,0,-1,0.24531882,0.39501154,0.35966963
L6_CT_CTX_Glut,Snapc5,0,-1,0.3032856,0.42901495,0.26769942
L6_CT_CTX_Glut,Cspg5,0,-1,0.2347886,0.31670392,0.4485075
L6_CT_CTX_Glut,Ebp,0,0,0.22298193,0.32168192,0.45533615
L6_CT_CTX_Glut,Rimbp2,0,1,0.17095695,0.06031072,0.76873237
L6_CT_CTX_Glut,Zfp622,0,-1,0.30813015,0.34724548,0.34462434
L6_CT_CTX_Glut,Asnsd1,0,-1,0.2663975,0.40651459,0.32708794
L6_CT_CTX_Glut,Taf9b,0,-1,0.29131743,0.27068296,0.4379996
L6_CT_CTX_Glut,Chrna7,0,0,0.0595837,0.09772057,0.8426957
L6_CT_CTX_Glut,Gm13402,0,0,0.030946365,0.05787885,0.91117483
L6_CT_CTX_Glut,Foxj2,0,-1,0.19613935,0.30150083,0.5023598
L6_CT_CTX_Glut,Rab11fip5,0,-1,0.4185622,0.22148739,0.3599504
L6_CT_CTX_Glut,Raly,0,0,0.119747244,0.18765381,0.692599
L6_CT_CTX_Glut,Rexo4,0,-1,0.28073022,0.34772736,0.37154245
L6_CT_CTX_Glut,Hnrnpf,0,-1,0.22317065,0.24740307,0.52942634
L6_CT_CTX_Glut,Mdga1,0,0,0.15829629,0.095090464,0.7466132
L6_CT_CTX_Glut,Gm15496,0,0,0.14226608,0.17716606,0.68056786
L6_CT_CTX_Glut,Zranb1,0,-1,0.21456647,0.3099725,0.47546107
L6_CT_CTX_Glut,Ptcd2,0,-1,0.41802293,0.316251,0.26572612
L6_CT_CTX_Glut,Tapt1,0,0,0.09690236,0.1393895,0.7637081
L6_CT_CTX_Glut,Max,0,-1,0.26532906,0.406497,0.32817388
L6_CT_CTX_Glut,Phb2,0,-1,0.31406143,0.43697423,0.24896443
L6_CT_CTX_Glut,A230077H06Rik,0,0,0.061047103,0.09515464,0.8437983
L6_CT_CTX_Glut,Nme1,0,-1,0.2964174,0.38448435,0.3190982
L6_CT_CTX_Glut,Panx1,0,0,0.2010637,0.074122936,0.7248133
L6_CT_CTX_Glut,Atg4d,0,-1,0.31367213,0.4012457,0.28508222
L6_CT_CTX_Glut,Slain2,0,-1,0.12855557,0.21584807,0.6555964
L6_CT_CTX_Glut,Hmgn2,0,-1,0.33647648,0.35811043,0.3054131
L6_CT_CTX_Glut,Leprotl1,0,0,0.22739461,0.32876953,0.44383582
L6_CT_CTX_Glut,Sppl3,0,-1,0.33620447,0.21001008,0.4537854
L6_CT_CTX_Glut,Ccz1,0,-1,0.23186675,0.39588714,0.3722461
