cell_type,gene,DEG,pred,dmr,mcg_genebody,mch_genebody,atac,hic_loop,hic_abc_dmr,hic_abc_peak
L6_CT_CTX_Glut,Pxmp4,0,-1,0.09402436,0.11828606,0.19854699,0.13439561,0.18618305,0.15228102,0.11628293
L6_CT_CTX_Glut,Slc37a4,0,0,0.06679803,0.078525476,0.079908855,0.13361321,0.0112016285,0.37767428,0.25227854
L6_CT_CTX_Glut,Osbpl2,0,0,0.12609197,0.13791792,0.3581458,0.17544161,0.0138614755,0.11706641,0.07147481
L6_CT_CTX_Glut,Prdm4,0,-1,0.18140136,0.14104156,0.16495512,0.17085552,0.02102973,0.14337529,0.17734139
L6_CT_CTX_Glut,Ina,0,-1,0.14981371,0.062834606,0.13273327,0.22075415,0.12694742,0.109491795,0.19742505
L6_CT_CTX_Glut,Fah,0,0,0.10467532,0.07113905,0.2906573,0.20323862,0.07977048,0.11948077,0.13103849
L6_CT_CTX_Glut,Dusp23,0,0,0.11720586,0.09343327,0.2538562,0.06302839,0.107755385,0.1941359,0.17058505
L6_CT_CTX_Glut,Ercc3,0,0,0.12660469,0.11681958,0.32759285,0.079693034,0.1263946,0.11998517,0.10291006
L6_CT_CTX_Glut,Ndufb4,0,-1,0.1622708,0.11569485,0.13462174,0.12146031,0.09534464,0.19539948,0.17520827
L6_CT_CTX_Glut,Rnf7,0,0,0.1520432,0.15265076,0.12984478,0.11193422,0.09705485,0.15368076,0.2027915
L6_CT_CTX_Glut,Rin2,0,0,0.13357614,0.11623172,0.42456582,0.15486781,0.047780693,0.054289747,0.068688005
L6_CT_CTX_Glut,Mfsd6,0,0,0.11988677,0.09605597,0.124293506,0.13409111,0.28187293,0.12122684,0.12257286
L6_CT_CTX_Glut,Ogfod1,0,-1,0.15165523,0.08213715,0.15277338,0.1278051,0.17111513,0.18838257,0.12613133
L6_CT_CTX_Glut,Rab4b,0,-1,0.14745927,0.0864557,0.122159295,0.2274398,0.06648816,0.19802982,0.15196794
L6_CT_CTX_Glut,Nfkbid,0,-1,0.12650408,0.107673,0.10818681,0.14839369,0.23882797,0.11456641,0.15584795
L6_CT_CTX_Glut,Axin2,0,-1,0.34396687,0.05737563,0.18508029,0.10981263,0.12473767,0.10636545,0.07266141
L6_CT_CTX_Glut,Snrk,0,-1,0.17397779,0.20866196,0.15261553,0.17699753,0.02016912,0.10489079,0.1626873
L6_CT_CTX_Glut,Flcn,0,-1,0.15925387,0.1680835,0.14021342,0.15663873,0.16983967,0.1279953,0.07797555
L6_CT_CTX_Glut,Slc52a2,0,-1,0.17647769,0.16934192,0.14742798,0.13159116,0.02045893,0.09699616,0.25770622
L6_CT_CTX_Glut,Ctcf,0,-1,0.111692,0.101509914,0.11705051,0.101526566,0.32046854,0.102282606,0.14546989
L6_CT_CTX_Glut,Lrrc8d,0,0,0.10833948,0.07728108,0.29903072,0.13233146,0.27811396,0.061415516,0.043487824
