/opt/conda/envs/gene/lib/python3.10/site-packages/torch/nn/modules/transformer.py:379: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.num_heads is odd
  warnings.warn(
Epoch [1/50], Train Loss: 1.0169, Train Accuracy: 0.4715, Test Accuracy: 0.4506
Epoch [2/50], Train Loss: 0.9988, Train Accuracy: 0.5054, Test Accuracy: 0.4568
Epoch [3/50], Train Loss: 0.9875, Train Accuracy: 0.5100, Test Accuracy: 0.4599
Epoch [4/50], Train Loss: 0.9764, Train Accuracy: 0.5139, Test Accuracy: 0.4599
Epoch [5/50], Train Loss: 0.9829, Train Accuracy: 0.5139, Test Accuracy: 0.4630
Epoch [6/50], Train Loss: 0.9776, Train Accuracy: 0.5224, Test Accuracy: 0.4660
Epoch [7/50], Train Loss: 0.9785, Train Accuracy: 0.5185, Test Accuracy: 0.4660
Epoch [8/50], Train Loss: 0.9732, Train Accuracy: 0.5154, Test Accuracy: 0.4660
Epoch [9/50], Train Loss: 0.9730, Train Accuracy: 0.5147, Test Accuracy: 0.4691
Epoch [10/50], Train Loss: 0.9741, Train Accuracy: 0.5147, Test Accuracy: 0.4753
Epoch [11/50], Train Loss: 0.9696, Train Accuracy: 0.5224, Test Accuracy: 0.4722
Epoch [12/50], Train Loss: 0.9636, Train Accuracy: 0.5201, Test Accuracy: 0.4784
Epoch [13/50], Train Loss: 0.9661, Train Accuracy: 0.5270, Test Accuracy: 0.4815
Epoch [14/50], Train Loss: 0.9561, Train Accuracy: 0.5324, Test Accuracy: 0.4846
Epoch [15/50], Train Loss: 0.9649, Train Accuracy: 0.5309, Test Accuracy: 0.4784
Epoch [16/50], Train Loss: 0.9575, Train Accuracy: 0.5324, Test Accuracy: 0.4877
Epoch [17/50], Train Loss: 0.9598, Train Accuracy: 0.5417, Test Accuracy: 0.4660
Epoch [18/50], Train Loss: 0.9634, Train Accuracy: 0.5324, Test Accuracy: 0.4938
Epoch [19/50], Train Loss: 0.9526, Train Accuracy: 0.5401, Test Accuracy: 0.4815
Epoch [20/50], Train Loss: 0.9587, Train Accuracy: 0.5316, Test Accuracy: 0.4907
Epoch [21/50], Train Loss: 0.9457, Train Accuracy: 0.5463, Test Accuracy: 0.4938
Epoch [22/50], Train Loss: 0.9355, Train Accuracy: 0.5448, Test Accuracy: 0.4815
Epoch [23/50], Train Loss: 0.9481, Train Accuracy: 0.5394, Test Accuracy: 0.4753
Epoch [24/50], Train Loss: 0.9353, Train Accuracy: 0.5471, Test Accuracy: 0.4938
Epoch [25/50], Train Loss: 0.9368, Train Accuracy: 0.5517, Test Accuracy: 0.4938
Epoch [26/50], Train Loss: 0.9404, Train Accuracy: 0.5394, Test Accuracy: 0.4907
Epoch [27/50], Train Loss: 0.9445, Train Accuracy: 0.5448, Test Accuracy: 0.4815
Epoch [28/50], Train Loss: 0.9357, Train Accuracy: 0.5525, Test Accuracy: 0.4877
Epoch [29/50], Train Loss: 0.9358, Train Accuracy: 0.5478, Test Accuracy: 0.4815
Epoch [30/50], Train Loss: 0.9446, Train Accuracy: 0.5386, Test Accuracy: 0.4938
Epoch [31/50], Train Loss: 0.9313, Train Accuracy: 0.5455, Test Accuracy: 0.4938
Epoch [32/50], Train Loss: 0.9361, Train Accuracy: 0.5409, Test Accuracy: 0.4877
Epoch [33/50], Train Loss: 0.9387, Train Accuracy: 0.5517, Test Accuracy: 0.4877
Epoch [34/50], Train Loss: 0.9261, Train Accuracy: 0.5494, Test Accuracy: 0.4660
Epoch [35/50], Train Loss: 0.9362, Train Accuracy: 0.5440, Test Accuracy: 0.4846
Epoch [36/50], Train Loss: 0.9252, Train Accuracy: 0.5548, Test Accuracy: 0.4938
Epoch [37/50], Train Loss: 0.9316, Train Accuracy: 0.5517, Test Accuracy: 0.4938
Epoch [38/50], Train Loss: 0.9366, Train Accuracy: 0.5478, Test Accuracy: 0.4938
Epoch [39/50], Train Loss: 0.9324, Train Accuracy: 0.5494, Test Accuracy: 0.4969
Epoch [40/50], Train Loss: 0.9371, Train Accuracy: 0.5424, Test Accuracy: 0.4938
Epoch [41/50], Train Loss: 0.9242, Train Accuracy: 0.5502, Test Accuracy: 0.4877
Epoch [42/50], Train Loss: 0.9492, Train Accuracy: 0.5386, Test Accuracy: 0.4846
Epoch [43/50], Train Loss: 0.9224, Train Accuracy: 0.5502, Test Accuracy: 0.4938
Epoch [44/50], Train Loss: 0.9300, Train Accuracy: 0.5494, Test Accuracy: 0.4938
Epoch [45/50], Train Loss: 0.9414, Train Accuracy: 0.5401, Test Accuracy: 0.4938
Epoch [46/50], Train Loss: 0.9241, Train Accuracy: 0.5509, Test Accuracy: 0.5000
Epoch [47/50], Train Loss: 0.9323, Train Accuracy: 0.5478, Test Accuracy: 0.4846
Epoch [48/50], Train Loss: 0.9272, Train Accuracy: 0.5525, Test Accuracy: 0.4907
Epoch [49/50], Train Loss: 0.9268, Train Accuracy: 0.5517, Test Accuracy: 0.4815
Epoch [50/50], Train Loss: 0.9347, Train Accuracy: 0.5432, Test Accuracy: 0.4877
Final Test Accuracy: 0.4877
/opt/conda/envs/gene/lib/python3.10/site-packages/wandb/sdk/wandb_run.py:2386: UserWarning: Run (41v9evjo) is finished. The call to `_console_raw_callback` will be ignored. Please make sure that you are using an active run.
  lambda data: self._console_raw_callback("stderr", data),
Mean Accuracy: 0.5426 ± 0.0315
