start,end,2mo,9mo,18mo,gene_start,gene_end,gene_name,distance
4258204,4258217,0.71,1.0,1.0,4254234,4262519,RP23-177A20.1,3970
8700115,8701121,1.0,0.85,0.74,8359475,9301878,Sntg1,340640
9770703,9770745,0.48,0.79,0.53,9745648,9793922,1700034P13Rik,23219
9889899,9889952,0.31,0.68,0.46,9796107,9902845,Sgk3,12946
11274219,11274243,0.52,0.71,0.45,10991465,11305681,Prex2,31462
11572776,11573200,0.67,0.54,0.77,11412105,11977901,A830018L16Rik,160671
11954344,11954355,0.47,0.86,0.68,11412105,11977901,A830018L16Rik,23557
12855828,12855953,0.22,0.42,0.18,12690277,12863192,Sulf1,7364
12874628,12874671,0.57,0.76,0.54,12864549,12994650,Slco5a1,10079
12942633,12942654,0.32,0.61,0.33,12864549,12994650,Slco5a1,52017
13358507,13358552,0.94,0.65,0.88,13352483,13358730,RP23-125I14.1,223
13358507,13358552,0.94,0.65,0.88,13137105,13376083,Ncoa2,17576
14204479,14204490,0.33,0.11,0.42,14166954,14312235,Eya1,37525
15291886,15291926,0.11,0.25,0.41,15285254,15725750,Kcnb2,6632
15538951,15539012,0.37,0.45,0.19,15285254,15725750,Kcnb2,186799
15644568,15644793,0.63,0.84,0.64,15285254,15725750,Kcnb2,81182
20373086,20373127,0.52,0.89,0.71,20354452,20394300,4930486I03Rik,18634
20373086,20373127,0.52,0.89,0.71,20055779,20620064,Pkhd1,246978
22312271,22312274,0.5,0.96,0.95,22284251,22807724,Rims1,28020
24187236,24187300,0.2,0.55,0.41,24175610,24254684,Col9a1,11626
24290966,24290977,0.49,0.8,0.63,24259890,24589472,Col19a1,31076
24612632,24612737,0.31,0.61,0.31,24609535,24614410,Gm28439,1778
24612632,24612737,0.31,0.61,0.31,24610407,24614700,Gm10222,2068
24612632,24612737,0.31,0.61,0.31,24610775,24615119,Gm28438,1857
24612632,24612737,0.31,0.61,0.31,24611189,24615971,Gm28437,1443
24612632,24612737,0.31,0.61,0.31,24611974,24616651,Gm10925,658
25420694,25420725,0.59,0.26,0.58,25065476,25831707,Bai3,355218
25570742,25570901,0.68,0.9,0.92,25065476,25831707,Bai3,260965
25994956,25994973,0.17,0.69,0.46,25994604,25999159,Gm18443,352
32423515,32423550,0.51,0.81,0.5,32170714,32660568,Khdrbs2,237053
33371173,33371193,0.51,0.79,0.61,33369331,33375585,Gm7933,1842
34107048,34107081,0.59,0.7,0.45,33906225,34310661,Dst,200823
34107048,34107081,0.59,0.7,0.45,33906272,34309592,AC123072.1,200776
34237837,34237899,0.38,0.6,0.32,34234596,34240820,RP24-422C24.2,2983
34237837,34237899,0.38,0.6,0.32,33906225,34310661,Dst,72824
34237837,34237899,0.38,0.6,0.32,33906272,34309592,AC123072.1,71755
34475391,34475398,0.24,0.51,0.44,34475167,34487933,4930568A12Rik,224
34475391,34475398,0.24,0.51,0.44,34457762,34477733,Ptpn18,2342
34636032,34636062,0.31,0.32,0.11,34633544,34638189,RP24-70I14.4,2157
36164171,36164217,0.32,0.49,0.22,36138027,36246720,Uggt1,26144
36369282,36369285,0.02,0.2,0.3,36333730,36371181,Kansl3,1899
36515232,36515327,0.69,0.49,0.51,36509867,36530237,Cnnm3,5365
36540938,36540972,0.12,0.3,0.07,36528193,36541429,ANKRD23,491
36540938,36540972,0.12,0.3,0.07,36535507,36549445,Ankrd39,5431
36845529,36845619,0.62,0.74,0.86,36790191,36945666,Tmem131,55338
37227240,37227315,0.51,0.29,0.3,37212434,37265384,Cnga3,14806
37243920,37244182,0.62,0.89,0.64,37212434,37265384,Cnga3,21464
37253278,37253290,0.66,0.86,0.59,37212434,37265384,Cnga3,12106
37312372,37312544,0.37,0.68,0.49,37297865,37412736,Inpp4a,14507
37380192,37380231,0.76,0.87,0.57,37297865,37412736,Inpp4a,32544
37638779,37638859,0.39,0.62,0.35,37609677,37722085,2010300C02Rik,29102
37671251,37671260,0.38,0.71,0.62,37609677,37722085,2010300C02Rik,50834
37974347,37974373,0.92,0.7,0.88,37971967,37976203,Gm23409,1856
38013192,38013206,0.7,0.44,0.77,37996010,38057579,Eif5b,17182
38148030,38148040,0.14,0.38,0.11,38130083,38161892,RP23-195A24.5,13862
38249878,38249890,0.88,1.0,0.74,38175326,38666955,Aff3,74552
38304601,38304631,0.37,0.72,0.52,38175326,38666955,Aff3,129275
38318200,38318301,0.66,0.88,0.65,38175326,38666955,Aff3,142874
38352976,38353024,0.64,0.95,0.71,38175326,38666955,Aff3,177650
38368186,38368219,0.13,0.47,0.2,38175326,38666955,Aff3,192860
38503221,38503470,0.52,0.77,0.44,38175326,38666955,Aff3,163734
38585544,38585689,0.55,0.82,0.64,38175326,38666955,Aff3,81411
38601579,38601588,0.52,0.64,0.39,38175326,38666955,Aff3,65376
38607144,38607196,0.27,0.68,0.48,38175326,38666955,Aff3,59811
38883644,38883720,0.59,0.8,0.57,38882754,38890072,RP23-101P2.3,890
38883644,38883720,0.59,0.8,0.57,38861867,38900161,Chst10,16517
39285092,39285098,0.91,0.71,0.92,39191731,39365236,Npas2,80144
39445940,39446013,0.33,0.11,0.38,39369492,39480755,Tbc1d8,34815
39666841,39666880,0.17,0.54,0.35,39663301,39722997,Rfx8,3540
40314036,40314064,0.51,0.79,0.8,40223080,40319257,Il1r1,5221
40607910,40607934,0.8,1.0,0.92,40578081,40632725,Slc9a4,24815
43550684,43550714,0.04,0.27,0.09,43442579,43572515,Nck2,21831
43738840,43738931,0.27,0.59,0.28,43728602,43744578,1500015O10Rik,5738
43901090,43901131,0.91,0.67,0.88,43896294,43901109,Gm8241,19
43901090,43901131,0.91,0.67,0.88,43900928,43905052,Gm26352,162
46089186,46089203,0.2,0.58,0.1,46064315,46375546,Dnah7b,24871
48732414,48732470,0.12,0.25,0.04,48729579,48735090,Gm8354,2676
50981499,50981558,0.33,0.28,0.1,50898647,51189270,Tmeff2,82852
51761519,51761550,0.39,0.74,0.48,51747765,51918071,Myo1b,13754
52524740,52524756,0.33,0.25,0.11,52520902,52584679,Gm553,3838
52663417,52663435,0.02,0.22,0.1,52654286,52729462,Mfsd6,9131
52798507,52798524,0.21,0.31,0.06,52783427,52819688,Inpp1,15080
54076735,54076769,0.0,0.18,0.27,53804876,54197168,Hecw2,120433
54661010,54661103,0.51,0.79,0.5,54643340,54928387,Ankrd44,17670
54997042,54997097,0.14,0.45,0.3,54983169,55029481,Sf3b1,13873
55362761,55362768,0.72,0.66,0.37,55246658,55365469,Boll,2708
55435953,55436058,0.59,0.8,0.52,55403921,55756285,Plcl1,32032
55475208,55475229,0.54,0.82,0.61,55403921,55756285,Plcl1,71287
55618789,55618903,0.33,0.64,0.51,55403921,55756285,Plcl1,137496
56834864,56835063,0.3,0.61,0.3,56791981,56980650,Satb2,42883
57044218,57044225,0.25,0.48,0.23,56969412,57052084,9130024F11Rik,7866
57782707,57782723,0.44,0.7,0.45,57772162,57950394,Spats2l,10545
57857941,57857950,0.75,0.46,0.51,57772162,57950394,Spats2l,85779
57885032,57885079,0.62,0.36,0.37,57772162,57950394,Spats2l,65362
58290130,58290182,0.42,0.3,0.21,58252117,58317656,Gm15759,27526
58290130,58290182,0.42,0.3,0.21,58276326,58382259,Aox2,13804
58742901,58742925,0.62,0.41,0.28,58709508,58760884,Cflar,17983
59172075,59172101,0.25,0.58,0.46,59160926,59239231,Als2,11149
60024987,60024992,1.0,0.78,0.84,59980490,60045184,Ica1l,20197
60204821,60204842,0.06,0.24,0.35,60178599,60340328,Nbeal1,26222
60521393,60521435,0.21,0.6,0.32,60520839,60525066,Gm11575,554
60521393,60521435,0.21,0.6,0.32,60480292,60569104,Raph1,41101
62636639,62636670,0.11,0.47,0.45,61636824,62644284,Pard3b,7645
63248394,63248410,0.02,0.17,0.28,63246021,63250499,RP23-434D24.3,2105
63309484,63309487,0.25,0.0,0.02,63271265,63316576,Zdbf2,7092
63572457,63572471,0.0,0.19,0.2,63443891,63598276,Adam23,25819
63697035,63697107,0.44,0.52,0.23,63696819,63732318,Mdh1b,216
64649794,64649800,0.19,0.49,0.31,64647935,64654756,Gm29152,1859
66519671,66519704,0.33,0.45,0.13,66466367,66701866,Unc80,53304
66857527,66857530,0.4,0.79,0.55,66854641,66858703,Gm27934,1176
66857527,66857530,0.4,0.79,0.55,66828839,66865277,Acadl,7750
67173023,67173034,0.63,0.85,0.54,67121026,67233259,Cps1,51997
67257777,67257979,0.78,0.79,0.58,67247200,67325609,Gm15668,10577
67257777,67257979,0.78,0.79,0.58,67255224,67259352,Gm26342,1575
68106542,68106545,0.0,0.24,0.08,68030186,69110059,Erbb4,76356
68175292,68175299,0.66,0.93,0.75,68030186,69110059,Erbb4,145106
68589406,68589418,0.86,0.93,0.72,68030186,69110059,Erbb4,520653
68625270,68625275,0.36,0.71,0.71,68030186,69110059,Erbb4,484789
70103770,70103787,0.66,0.94,0.91,69824970,70727132,Spag16,278800
71154256,71154305,0.23,0.49,0.27,71153246,71158020,Gm8870,1010
74037242,74037247,0.22,0.5,0.45,73908231,74126449,Tns1,89207
74162397,74162453,0.71,0.52,0.43,74151989,74163246,Cxcr2,849
75239477,75239526,0.6,0.79,0.47,75234406,75247692,Dnajb2,5071
75360893,75360901,0.15,0.36,0.12,75358329,75370579,Des,2564
77028607,77028632,0.11,0.25,0.05,76888472,77029792,Gm816,1185
77379864,77379895,0.22,0.53,0.27,77365185,77517088,Epha4,14679
77404691,77404720,0.08,0.41,0.15,77365185,77517088,Epha4,39506
77425368,77425382,0.48,0.47,0.23,77365185,77517088,Epha4,60183
77439087,77439139,0.44,0.67,0.41,77365185,77517088,Epha4,73902
78192886,78192894,0.44,0.15,0.37,78099267,78199134,Pax3,6248
79804624,79804636,0.65,0.85,0.67,79792197,79863180,Serpine2,12427
80503986,80504056,0.21,0.07,0.0,80499073,80760527,Dock10,4913
82354778,82354787,0.18,0.54,0.39,82350217,82357049,RP23-430H22.1,2271
82354778,82354787,0.18,0.54,0.39,82314452,82447366,Rhbdd1,40326
82359188,82359210,0.41,0.23,0.15,82314452,82447366,Rhbdd1,44736
82480585,82480726,0.45,0.72,0.51,82446423,82588849,Col4a4,34162
84254695,84254864,0.23,0.48,0.31,84034296,84366180,Pid1,111485
84561871,84561918,0.51,0.73,0.45,84367839,84698221,Dner,136350
84630989,84631150,0.81,0.95,0.69,84367839,84698221,Dner,67232
85942558,85942585,0.48,0.72,0.39,85926483,85942624,4933407L21Rik,66
85942558,85942585,0.48,0.72,0.39,85936318,85963007,Gpr55,6240
87276197,87276230,0.04,0.29,0.15,87262363,87312839,Efhd1,13834
87492629,87492641,0.62,0.32,0.33,87474834,87575870,Ngef,17795
87911135,87911160,0.0,0.35,0.05,87851287,87947180,Dgkd,36045
87931608,87931655,0.82,0.62,0.5,87851287,87947180,Dgkd,15572
88876294,88876621,0.17,0.41,0.44,88866475,88877410,Gm29337,1116
89479298,89479400,0.29,0.18,0.08,89452806,89899617,Agap1,26492
