gene_name,gene_length,gene_type,gene_chr
Meg3,30725.0,,
Grin1,28006.0,,
Xist,22888.0,,
Cpne4,487258.0,,
Nrg3os,60492.0,,
Trhde,403484.0,protein_coding,chr10
Hs3st4,416120.0,protein_coding,chr7
Cachd1,252545.0,,
Epha7,154368.0,protein_coding,chr4
Clstn2,588786.0,,
Gls,69784.0,,
Mapt,100700.0,,
Cacna2d3,816921.0,,
Ccbe1,257439.0,,
Zbtb20,766721.0,protein_coding,chr16
Cacna1e,493770.0,,
Slc1a2,132125.0,,
Epha5,362621.0,protein_coding,chr5
Grm1,396297.0,protein_coding,chr10
Epha4,147903.0,protein_coding,chr1
Ube3a,82786.0,protein_coding,chr7
Snrnp70,19289.0,,
Dpf3,273971.0,protein_coding,chr12
Grik4,426358.0,protein_coding,chr9
Pabpn1,5669.0,,
Chgb,13801.0,protein_coding,chr2
Fstl5,635749.0,,
Gm10754,285676.0,,
Srsf5,5003.0,,
Sptbn4,91303.0,,
Elavl3,37018.0,,
Matk,10430.0,,
Chrm3,485361.0,,
Nell2,453329.0,,
Cdk9,7292.0,,
Epha3,320641.0,,
Ephb1,432565.0,,
Raver2,83387.0,,
Enox1,564997.0,,
Robo1,737789.0,,
Rasgrp1,63008.0,protein_coding,chr2
Dok6,477104.0,protein_coding,chr18
Pde4d,1503513.0,,
Robo2,519986.0,,
Akap8l,29183.0,,
Slc24a2,247353.0,,
Nrg3,1104136.0,,
Plcl1,348364.0,protein_coding,chr1
Atp1b1,21246.0,,
Ndrg4,38139.0,,
Trps1,235711.0,,
Cdk14,616921.0,protein_coding,chr5
Stxbp5l,270020.0,,
Pkp2,59394.0,,
Camk1d,421058.0,,
Ptprs,64057.0,,
Sema3e,231413.0,protein_coding,chr5
Gm28750,17926.0,,
R3hdm4,11156.0,,
Rnf112,5689.0,,
Dgkz,43040.0,protein_coding,chr2
Asph,221275.0,,
Kcnt2,365909.0,,
5330438D12Rik,74463.0,,
Sh3gl2,434069.0,,
Pigk,266308.0,protein_coding,chr3
Gm13269,26652.0,,
Gigyf1,9387.0,,
Zfp385b,409005.0,,
Grid2,1448447.0,,
Cdh8,392000.0,protein_coding,chr8
Schip1,561679.0,protein_coding,chr3
P2ry14,39763.0,,
Nxf1,13849.0,,
Fus,18244.0,,
Magi2,1477756.0,,
Celf3,13903.0,,
Grin2b,460278.0,,
Kdm5c,41515.0,,
Cpt1c,15479.0,,
Tsc22d1,92804.0,protein_coding,chr14
Gm4924,68627.0,,
Gm20642,30359.0,,
Kcnc2,195903.0,,
Etnk1,65086.0,protein_coding,chr6
Srrm3,67882.0,,
Cadm2,965487.0,,
4921534H16Rik,8755.0,,
Srgap3,229295.0,protein_coding,chr6
Cdh11,153547.0,protein_coding,chr8
Chn1,164686.0,,
Neurod6,3441.0,,
Sbf2,306909.0,,
Atxn2l,11729.0,,
Fstl4,423904.0,protein_coding,chr11
Kcnq1ot1,93091.0,,
Birc6,175061.0,,
Zmym3,16465.0,,
Snhg11,10507.0,,
Nrbp2,6109.0,,
Shisa6,314239.0,protein_coding,chr11
Pacsin1,55973.0,,
Rsrp1,4079.0,,
Tanc1,234107.0,,
Calm1,10379.0,,
Fth1,4500.0,,
Casc3,28909.0,,
Pcdh9,877269.0,protein_coding,chr14
Cdh9,128338.0,,
Cpne7,17808.0,,
Dtx3,5350.0,,
Samd5,52272.0,,
Zcchc7,176338.0,,
Khdrbs3,172791.0,protein_coding,chr15
2310002F09Rik,102749.0,,
Cadm1,327464.0,protein_coding,chr9
Epha6,952048.0,,
Prickle2,335247.0,,
Cpe,100512.0,protein_coding,chr8
Galnt13,681992.0,protein_coding,chr2
Snx32,18303.0,,
Ctnna2,1098062.0,protein_coding,chr6
Gm28376,193446.0,,
Pcyt2,7849.0,,
Pde2a,91136.0,,
Atp2b2,298782.0,,
Nav3,774945.0,,
Far1,57677.0,,
4930402H24Rik,200206.0,,
Chd8,59629.0,,
Gm4258,101789.0,processed_transcript,chr1
Fut8,238213.0,,
Sh3glb2,14528.0,,
Amph,202716.0,,
Zswim8,16067.0,,
Dlgap1,852340.0,protein_coding,chr17
Sirt2,21926.0,,
Smg5,26078.0,,
Mbd6,7062.0,,
Rbbp4,28270.0,,
Thsd7b,945976.0,protein_coding,chr1
Camkv,14017.0,,
Dnmt3a,108436.0,protein_coding,chr12
Gripap1,30802.0,,
Palm,27324.0,,
Tenm4,739847.0,,
9630028H03Rik,258137.0,,
Syne1,530565.0,protein_coding,chr10
Agap2,17885.0,,
Tspan5,165710.0,,
Caln1,477957.0,,
Atp6v0a1,54267.0,,
Slc17a7,12193.0,,
Aifm3,17874.0,,
Rnf182,55235.0,,
Arhgap23,86869.0,,
Cacna1c,609178.0,protein_coding,chr6
Dennd5b,113609.0,,
Agfg2,34263.0,,
Grin2a,427662.0,,
Rundc3a,9152.0,,
Akt3,238130.0,protein_coding,chr1
Nav2,701374.0,protein_coding,chr7
Arhgef2,42086.0,,
Klc2,10814.0,,
Brinp1,192883.0,protein_coding,chr4
Safb2,23620.0,,
Lats2,68726.0,,
Pex5l,193839.0,protein_coding,chr3
Cdk17,106196.0,,
Wasf1,55095.0,protein_coding,chr10
Rasgrf1,117069.0,protein_coding,chr9
Cacna1i,111041.0,protein_coding,chr15
Gbf1,134001.0,,
Nck2,125936.0,,
Map4k2,14480.0,,
Xkr4,465597.0,protein_coding,chr1
Aatk,39854.0,,
Grm7,921649.0,protein_coding,chr6
Man2a2,22278.0,,
Rbm25,51887.0,,
Adamts3,206247.0,protein_coding,chr5
Smarcc2,31234.0,,
Capn15,27432.0,,
Acadsb,38343.0,,
Ptpre,148812.0,,
Pclo,348541.0,,
Cul9,45816.0,,
Celf5,23482.0,,
B130024G19Rik,125062.0,,
Golm1,41185.0,protein_coding,chr13
Mast3,26937.0,,
Nemf,46643.0,,
Ywhag,26207.0,,
Nrxn3,1612059.0,,
Stmn2,52246.0,,
Sez6,48248.0,,
Hectd2,66496.0,,
Kifc2,8338.0,,
Sema5a,451531.0,protein_coding,chr15
Itga8,195290.0,,
Nop56,4883.0,,
Gatm,16836.0,,
Chrd,9257.0,,
Mark2,66464.0,,
Rtn1,197302.0,,
Kif1b,131374.0,,
Fam189a1,400479.0,protein_coding,chr7
Banf2,40920.0,,
Lin28b,109775.0,,
Syt17,67505.0,,
Rap1gap,65135.0,,
Clk1,13877.0,,
Phlpp1,222498.0,protein_coding,chr1
Riok1,24438.0,,
5330434G04Rik,43494.0,,
Crocc,43913.0,,
Dync1i2,51597.0,,
Celf4,276525.0,,
Rogdi,4823.0,,
Sars,20344.0,,
Sorbs1,219026.0,,
Mapk10,303386.0,,
Cpne6,6986.0,,
Ano3,295722.0,protein_coding,chr2
Eya3,85778.0,,
Tmem63b,26734.0,,
Cck,5870.0,,
Tom1l2,126191.0,,
Pias1,109556.0,,
Cherp,14737.0,,
Sbf1,27075.0,,
Cyfip2,119009.0,,
Tmem108,278890.0,protein_coding,chr9
Gtpbp2,8338.0,,
Cmss1,304864.0,,
Lztr1,17645.0,,
Cnksr2,221858.0,protein_coding,chrX
Ssbp2,243146.0,,
Cdh18,925396.0,protein_coding,chr15
Zc3h7b,51203.0,,
Slc25a23,16152.0,,
Rnpepl1,13601.0,,
Samd12,448727.0,,
Srcap,49236.0,,
Ptms,6422.0,,
Dctn1,34197.0,,
Syt14,144542.0,,
Ank3,628665.0,protein_coding,chr10
Sorbs2os,95972.0,,
Psmd13,16675.0,,
Cacna1a,301607.0,protein_coding,chr8
Lzts3,9964.0,,
Dock10,257454.0,,
Ambra1,188715.0,,
Hpca,10466.0,,
Sema6d,577801.0,protein_coding,chr2
Focad,316382.0,protein_coding,chr4
Srsf1,6382.0,,
Nsmf,8526.0,,
Gpcpd1,58647.0,,
Gria4,378338.0,,
Crat,15342.0,,
Atp2c1,123780.0,,
Nipbl,153846.0,,
Vwa8,353258.0,,
Khsrp,10471.0,,
L1cam,42327.0,,
Ckap5,93902.0,,
Slc12a5,38929.0,,
Abr,206824.0,,
Ilf2,12253.0,,
Plekhm2,39165.0,,
2610507B11Rik,28871.0,,
Agap1,442811.0,,
Srrm2,34209.0,,
Ppip5k1,44835.0,,
Evi5l,44690.0,,
Lrp1,82987.0,,
Dkk3,43040.0,,
Plxna4,443924.0,protein_coding,chr6
Npepps,74796.0,,
Ncam1,296789.0,,
Spag6,56381.0,,
Rnf214,43486.0,,
Tnrc6a,71411.0,,
Ddx42,32213.0,,
Lcor,103899.0,,
Ckb,2977.0,,
E130307A14Rik,110595.0,processed_transcript,chr10
Mmp16,266252.0,,
Atxn1,415253.0,,
Pck2,10976.0,,
Csnk1g2,17911.0,,
Traf7,19376.0,,
Taok1,78653.0,,
Nsf,132274.0,,
Arhgef1,23682.0,,
Itch,93346.0,,
Hsp90ab1,5496.0,,
Mtmr12,69468.0,,
Tsc1,49939.0,,
Frrs1l,33218.0,,
Gm15414,32417.0,,
Hdac3,19172.0,,
Ube3c,106850.0,,
Prrc2a,15821.0,,
Tcf12,269183.0,protein_coding,chr9
Rgs7,433413.0,,
Ash1l,128753.0,,
Tmem191c,7152.0,,
Ube3b,40562.0,,
Ap3b2,33526.0,,
Ralgds,39956.0,,
Kirrel3,550822.0,protein_coding,chr9
Ywhaz,26159.0,,
Celf1,79115.0,,
Lmtk3,20406.0,,
Numa1,80853.0,,
Med24,24844.0,protein_coding,chr11
Exosc10,23972.0,,
Caskin1,20070.0,,
9530059O14Rik,107097.0,,
Rapgef5,243258.0,,
Snrnp40,29894.0,,
Cyp7b1,171388.0,protein_coding,chr3
Kansl1,135632.0,,
Lrfn1,16262.0,,
Acaca,271979.0,,
Chd5,51543.0,,
Srrm1,32837.0,,
Safb,21469.0,,
Ppt1,22933.0,,
Zdhhc1,24479.0,,
Grip1,633431.0,,
Pou6f2,276588.0,protein_coding,chr13
5730522E02Rik,608000.0,protein_coding,chr11
Aco2,42824.0,,
Hnrnpu,16689.0,,
Stx5a,14656.0,,
Kmt2e,69794.0,,
Hdac7,51838.0,,
1110051M20Rik,169636.0,,
Setx,58290.0,,
Jph4,10109.0,,
Stim2,122558.0,,
Cntnap5c,640785.0,,
Reep2,6874.0,,
Ulk2,79424.0,,
Shkbp1,13886.0,,
Trerf1,221083.0,,
Asb7,45031.0,,
Fam120b,37381.0,,
Gm9968,17779.0,,
Gramd1a,25769.0,,
1700109K24Rik,11916.0,,
Dgki,454162.0,protein_coding,chr6
Pfkm,39862.0,,
Brwd1,90434.0,,
Ttn,278567.0,protein_coding,chr2
Setd1a,23452.0,,
Tbc1d17,14456.0,,
Nup214,79539.0,,
Mir99ahg,537110.0,,
Magi3,207115.0,protein_coding,chr3
Luc7l3,34098.0,,
Tbc1d9b,41389.0,,
Ppp3cb,47209.0,,
Clk3,15236.0,,
Brd3,62083.0,,
Olfm1,37744.0,,
Tspan9,182198.0,protein_coding,chr6
Fbxo11,74432.0,,
Sntb2,83964.0,protein_coding,chr8
Arhgap32,152310.0,,
Usp7,102713.0,,
Nsd1,108543.0,,
Pnn,7114.0,,
Dhdds,31890.0,,
Galnt18,308316.0,,
Cntnap2,2244856.0,protein_coding,chr6
Iyd,14637.0,,
Gm14330,9287.0,,
Pkd1,46674.0,,
Chka,42596.0,,
4930473D10Rik,27357.0,,
Galnt3,42228.0,,
Ankhd1,98926.0,,
Kif17,51532.0,,
Car10,503721.0,protein_coding,chr11
Exoc6b,451026.0,,
Trpm2,62841.0,,
Lrrn2,59732.0,,
Vps33b,22105.0,,
Stk25,38908.0,,
Kndc1,46841.0,,
Gas2l1,11195.0,,
Usp24,125109.0,,
Golga2,20537.0,,
Actr1a,18937.0,,
Gdi1,6864.0,,
Prkcz,101232.0,,
B4galnt4,11296.0,,
Eif4enif1,42196.0,,
Ttc17,105922.0,,
Mecp2,108771.0,,
Izumo4,3189.0,,
Ldlr,26436.0,,
Unc45a,15713.0,,
Ccz1,26968.0,,
Flnb,133631.0,,
Brsk1,25393.0,,
Cnot1,88013.0,,
Gprasp2,5696.0,,
Usp2,28606.0,,
Armc9,123504.0,protein_coding,chr1
Fchsd2,191542.0,,
Rbm10,33398.0,,
Ttbk1,45227.0,,
Ttc14,15028.0,protein_coding,chr3
Prkca,410541.0,,
Rbm6,99678.0,,
Cit,163669.0,protein_coding,chr5
Atad3a,20452.0,protein_coding,chr4
Mettl24,127801.0,,
Pus7,43063.0,,
Ppm1l,243941.0,protein_coding,chr3
Apbb1,23170.0,,
Elavl2,150022.0,,
Setdb1,33677.0,,
Rps6kl1,16015.0,,
Nup160,59113.0,,
Cwf19l2,75644.0,,
Chst1,15543.0,,
Rab6b,73489.0,,
Rnf157,76679.0,,
Pou2f2,92382.0,,
Wipf2,41402.0,,
Smoc2,125284.0,,
Hexdc,18222.0,,
Arnt2,163898.0,,
Tomm40,14125.0,,
Kcnj6,249065.0,,
Gas7,233553.0,,
Mast1,25456.0,,
Ikbkb,47377.0,,
Rbm3,6905.0,,
Pabpc4,36574.0,,
Wdfy3,236965.0,protein_coding,chr5
Phldb1,48894.0,,
Nckipsd,10476.0,,
Eif4g1,24571.0,,
Kif1a,86487.0,,
Arhgef12,143397.0,,
Celsr3,26649.0,,
Myrip,173328.0,,
Kcnd3,221672.0,,
Rfwd3,29278.0,,
Iqce,40551.0,,
Sptan1,65891.0,,
Map2k2,28060.0,,
Dazap1,26922.0,,
Bicc1,236868.0,,
Senp2,39785.0,,
Fam110b,464133.0,,
Nfasc,177107.0,,
Dst,400436.0,protein_coding,chr1
Cadps2,576648.0,protein_coding,chr6
Rabl6,25503.0,,
Slc26a4,40142.0,,
Tmem120b,49334.0,,
Sv2b,194368.0,,
Srsf11,26166.0,,
Xrn1,103043.0,,
Erc2,856109.0,protein_coding,chr14
Sash1,163851.0,protein_coding,chr10
Actr3b,90691.0,,
Zdhhc8,14383.0,,
Dnajc11,48446.0,protein_coding,chr4
Cnot10,54306.0,,
Col25a1,468376.0,protein_coding,chr3
Gm15738,114381.0,,
Eml2,30061.0,,
Rhot2,6394.0,,
Ddx46,46229.0,,
Ipo9,48187.0,,
Pid1,327884.0,protein_coding,chr1
Copa,39801.0,,
Rabep1,98327.0,,
Ypel4,4597.0,protein_coding,chr2
Mms19,40071.0,,
Amd1,14728.0,,
Colgalt1,13913.0,,
Gm28791,1778.0,,
Brd8,25986.0,,
Setd1b,26436.0,,
Chrm1,19798.0,,
Rgs6,573764.0,protein_coding,chr12
Rtca,19245.0,,
Rnps1,11336.0,,
Cry2,30397.0,protein_coding,chr2
Rsrc2,20988.0,,
Dync1li2,25367.0,,
Ywhaq,27566.0,,
Csmd2,579799.0,,
Copb1,39152.0,,
Tenm2,1229308.0,,
Lingo1,177993.0,,
Dffb,10677.0,,
Ing4,9505.0,,
Camk2g,59213.0,,
Rfx7,90697.0,,
Cdk6,189523.0,,
Zkscan16,14727.0,,
Spag9,129994.0,,
Agbl4,1266663.0,,
Fam168a,135021.0,,
Itpka,8926.0,,
Pi4ka,125963.0,,
Supt5,23855.0,,
Eftud2,42512.0,,
Neto2,64336.0,,
Kmt2a,77941.0,,
Kansl1l,98314.0,,
Ccnl1,12098.0,protein_coding,chr3
Ptprn,17475.0,,
Atrx,131788.0,,
Chd6,162097.0,,
