chr,start,end,log2(old/young),gene_chr,gene_start,gene_end,gene_id,gene_strand,gene_name,gene_type,2mo,9mo,18mo
chr5,109558426,109558927,1.7019231890927418,chr5,109552711,109560993,ENSMUSG00000033467.8,-,Crlf2,protein_coding,16.6880548944689,44.1944360119429,54.5821987042473
chr5,109557248,109557749,1.024222329754582,chr5,109552711,109560993,ENSMUSG00000033467.8,-,Crlf2,protein_coding,39.0749030029001,67.8373707454256,79.8870894352627
chr5,109556731,109557232,1.251654081285818,chr5,109552711,109560993,ENSMUSG00000033467.8,-,Crlf2,protein_coding,21.9607701111256,42.6813752716325,52.5663451783464
chr5,109557903,109558404,1.5983214833365178,chr5,109552711,109560993,ENSMUSG00000033467.8,-,Crlf2,protein_coding,7.01845145561707,17.2641319002319,21.36804737455
chr5,109167108,109167609,5.082704862796422,chr5,109154068,109194107,ENSMUSG00000091635.1,-,Vmn2r13,protein_coding,0.165696998952174,1.93758857392262,5.83411726319567
chr7,15426073,15426574,4.865606741129487,chr7,15386948,15558866,ENSMUSG00000054310.12,+,Obox1,protein_coding,0.136108249139285,0.859940996291499,4.15028667097253
chr1,92083625,92084126,0.8406724098141041,chr1,91926779,92182341,ENSMUSG00000026313.11,-,Hdac4,protein_coding,13.6818379134795,19.7895282437715,24.6289869017427
chr1,92130445,92130946,0.4650692625323453,chr1,91926779,92182341,ENSMUSG00000026313.11,-,Hdac4,protein_coding,38.8263575044718,48.9186688270126,53.8707209892234
chr11,64435007,64435508,0.9404109803313006,chr11,64433156,64438653,ENSMUSG00000095224.1,-,F930015N05Rik,protein_coding,8.56298419584983,14.2597810777451,16.5181409504707
chr11,64435007,64435508,0.9404109803313006,chr11,64433332,64524841,ENSMUSG00000047759.6,+,Hs3st3a1,protein_coding,8.56298419584983,14.2597810777451,16.5181409504707
chr19,61227066,61227567,0.712069970141213,chr19,61222402,61230418,ENSMUSG00000059326.6,-,Csf2ra,protein_coding,10.7525516820036,14.9455568089649,17.7039371421771
chr8,19114679,19115180,1.7130034048151377,chr8,19109931,19116839,ENSMUSG00000043787.7,-,Defb12,protein_coding,1.42617774098121,3.88606247691222,4.70761088107456
chr15,25622101,25622602,0.8829497694733457,chr15,25620525,25815673,ENSMUSG00000022272.13,+,Myo10,protein_coding,7.58063770206194,11.4187101912631,14.0516848717213
chr8,28744181,28744682,0.4322307942571898,chr8,28644717,29221338,ENSMUSG00000063626.5,-,Unc5d,protein_coding,25.8546495865017,33.9948826761817,35.0639933887593
chr3,52101890,52102391,0.4177569659918286,chr3,51683907,52107076,ENSMUSG00000061143.11,-,Maml3,protein_coding,28.4643773199984,33.8969147145788,38.2182112586985
chr1,64897395,64897896,0.9007773375425904,chr1,64783983,64958824,ENSMUSG00000051344.9,-,Plekhm3,protein_coding,5.03600521815356,8.38170338157537,9.4507956479003
chr5,92675186,92675687,0.950423517704237,chr5,92605954,92677271,ENSMUSG00000050050.12,-,Ccdc158,protein_coding,5.02416971822841,8.92596983492442,9.75910265774398
chr17,8524785,8525286,0.5017966844032876,chr17,8523372,8988648,ENSMUSG00000023868.11,+,Pde10a,protein_coding,20.2801291217535,25.9723951538167,28.8622793061347
chr19,61226496,61226997,0.670525129471933,chr19,61222402,61230418,ENSMUSG00000059326.6,-,Csf2ra,protein_coding,8.42095819674797,11.8758940120763,13.4706447377851
chr1,64853583,64854084,0.4659100315069189,chr1,64783983,64958824,ENSMUSG00000051344.9,-,Plekhm3,protein_coding,18.4337911334293,22.358465903579,25.5894818170249
chr17,34743738,34744239,0.7398917619254661,chr17,34742753,34749154,ENSMUSG00000092202.1,-,Stk19-ps1,unprocessed_pseudogene,8.85887169397871,12.8991149443725,14.8698842439987
chr17,34743738,34744239,0.7398917619254661,chr17,34726380,34745882,ENSMUSG00000073418.4,-,C4b,protein_coding,8.85887169397871,12.8991149443725,14.8698842439987
chr10,82178389,82178890,0.7649975508299586,chr10,82176235,82200385,ENSMUSG00000087481.3,+,Gm15608,antisense,6.17221321096847,10.3737186008329,10.5417281442702
chr6,141495488,141495989,0.336378714272499,chr6,141247269,141507940,ENSMUSG00000041741.9,+,Pde3a,protein_coding,31.5179363006884,34.3214425481911,39.9969055462581
chr10,20673766,20674267,0.6063104136067046,chr10,20396004,20727078,ENSMUSG00000019990.10,-,Pde7b,protein_coding,11.012932680357,14.1182717998744,16.8501638841485
chr3,159851956,159852457,0.7133604619567483,chr3,159837737,159937833,ENSMUSG00000028173.6,+,Wls,protein_coding,7.56288445217421,11.8541233539423,12.4627179748347
chr14,98169659,98170160,0.5331897027496498,chr14,97784853,98171765,ENSMUSG00000055639.12,-,Dach1,protein_coding,13.0368031675585,16.4695028783423,18.9608811053859
chr13,38347674,38348175,0.7376211118986533,chr13,38343716,38501728,ENSMUSG00000039004.5,+,Bmp6,protein_coding,6.29056821022002,8.64295127918292,10.5417281442702
chr7,81212956,81213457,0.4603573900885487,chr7,81211596,81336533,ENSMUSG00000025584.13,+,Pde8a,protein_coding,18.256258634552,21.9230527408997,25.24560092143
chr14,21369035,21369536,0.6373196677946886,chr14,21050574,21450568,ENSMUSG00000039197.9,+,Adk,protein_coding,8.63991494536334,11.2989715715263,13.5062186235363
chr11,94610911,94611412,0.7270180596097255,chr11,94605402,94611036,ENSMUSG00000082945.1,+,Gm11540,unprocessed_pseudogene,6.5864557083489,9.51377760454139,10.9567568113675
chr19,61225884,61226385,0.8973498207845039,chr19,61222402,61230418,ENSMUSG00000059326.6,-,Csf2ra,protein_coding,3.3316932289312,5.8454217089688,6.23728796837586
chr3,137716697,137717198,0.4898144806877176,chr3,137713658,137717764,ENSMUSG00000064460.1,+,Gm25080,snRNA,12.8888594184941,16.0885163609979,18.1901135807767
chr4,104746394,104746895,0.6899051752493773,chr4,103617359,104746844,ENSMUSG00000028519.12,+,Dab1,protein_coding,7.28475020393306,9.96007609628762,11.8105300693961
chr19,22703811,22704312,0.7802291305752324,chr19,22137119,22991884,ENSMUSG00000052387.11,+,Trpm3,protein_coding,5.37923471598306,8.52321265944612,9.2847841810614
chr11,28852941,28853442,0.6694078458530284,chr11,28851204,28928743,ENSMUSG00000020467.11,+,Efemp1,protein_coding,7.10721770505573,10.0253880706895,11.3599275165477
chr15,12490932,12491433,0.3587348352384792,chr15,12357711,12741924,ENSMUSG00000022197.11,-,Pdzd2,protein_coding,21.576116363558,24.8947475761855,27.8069206955159
chr19,53821213,53821714,0.7439847834886424,chr19,53817354,53827128,ENSMUSG00000089679.1,-,Gm16299,antisense,5.76980621351319,7.42379442368104,9.71167081007572
chr19,53821213,53821714,0.7439847834886424,chr19,53675306,53869080,ENSMUSG00000043639.10,+,Rbm20,protein_coding,5.76980621351319,7.42379442368104,9.71167081007572
chr2,166187888,166188389,0.6286700116038786,chr2,166187697,166191801,ENSMUSG00000088926.1,+,Gm22687,rRNA,8.53931319599952,11.8541233539423,13.269059385195
chr2,166187888,166188389,0.6286700116038786,chr2,166187793,166192862,ENSMUSG00000085618.1,-,Gm11466,lincRNA,8.53931319599952,11.8541233539423,13.269059385195
chr12,20990213,20990714,0.4563629422001914,chr12,20988459,21202919,ENSMUSG00000090370.3,+,Gm21989,processed_transcript,12.3917684216376,15.2612313519074,17.0873231224898
chr11,11461780,11462281,0.4368189030139952,chr11,11460094,11517192,ENSMUSG00000020191.7,+,4930415F15Rik,protein_coding,13.8593704123568,16.5021588655432,18.8541594481324
chr11,11461780,11462281,0.4368189030139952,chr11,11277626,11464408,ENSMUSG00000020193.3,-,Zpbp,protein_coding,13.8593704123568,16.5021588655432,18.8541594481324
chr11,63922129,63922630,0.3667961633050337,chr11,63883792,63924290,ENSMUSG00000070407.5,-,Hs3st3b1,protein_coding,26.2037968342937,31.0993851443647,33.9612029304724
chr13,109822306,109822807,0.4550729231862735,chr13,108447948,109955461,ENSMUSG00000021699.13,+,Pde4d,protein_coding,13.5989894140034,17.2532465711649,18.7355798289617
chr16,90830559,90831060,0.5256940736758055,chr16,90824719,90907109,ENSMUSG00000039903.12,+,Eva1c,protein_coding,10.4744174337624,15.3700846425772,15.1544753300083
chr3,159840160,159840661,0.482603234227316,chr3,159837737,159937833,ENSMUSG00000028173.6,+,Wls,protein_coding,11.965690424332,14.8475888473621,16.8027320364802
chr2,167777233,167777734,0.6016888855946534,chr2,167775467,167784569,ENSMUSG00000084797.1,+,Gm14321,lincRNA,9.06599294266893,11.5819901272678,13.8263835952971
chr7,49375533,49376034,0.566173904669257,chr7,48906716,49612090,ENSMUSG00000052512.11,+,Nav2,protein_coding,8.75826994461489,11.8214673667414,13.0319001468537
chr13,38347067,38347568,0.7377290658553451,chr13,38343716,38501728,ENSMUSG00000039004.5,+,Bmp6,protein_coding,5.85857246295185,7.47822106901595,9.8183924673293
chr12,41727157,41727658,0.4773773713647202,chr12,41022090,41957588,ENSMUSG00000056899.6,+,Immp2l,protein_coding,11.8650886749681,14.7822768729602,16.6011466838901
chr12,103670250,103670751,1.073467188851585,chr12,103666808,103678139,ENSMUSG00000071179.4,-,Gm46,protein_coding,2.01203498727639,4.06022774198391,4.25700832822611
chr11,88482504,88483005,0.3595545483519454,chr11,88337382,88720513,ENSMUSG00000069769.9,-,Msi2,protein_coding,18.4929686330551,20.9760291120724,23.8463614152164
chr3,52102840,52103341,0.7608819244411151,chr3,51683907,52107076,ENSMUSG00000061143.11,-,Maml3,protein_coding,4.76970646983757,6.81421599593011,8.12270391318909
chr2,60796840,60797341,0.4098908113948805,chr2,60748193,60965192,ENSMUSG00000026970.12,-,Rbms1,protein_coding,10.9774261805815,13.1385921838461,14.6564409294916
chr17,86766985,86767486,0.5939205153842672,chr17,86751907,86835410,ENSMUSG00000024140.9,+,Epas1,protein_coding,7.84101870041536,9.23075904879989,11.8935358028156
chr16,40974009,40974510,0.5701086445317322,chr16,39982361,42183679,ENSMUSG00000061080.7,+,Lsamp,protein_coding,8.48013569637374,10.3954892589669,12.6524453655077
chr16,81285142,81285643,0.2816564019880667,chr16,81198697,81626285,ENSMUSG00000022762.13,+,Ncam2,protein_coding,18.5876526324563,19.9419228507092,22.7079970711783
chr12,5375515,5376016,0.3661877125009495,chr12,5373870,5418631,ENSMUSG00000037735.7,+,2810032G03Rik,lincRNA,18.9663886300613,21.3570156294167,24.5696970921574
chr12,5375515,5376016,0.3661877125009495,chr12,5075472,5377682,ENSMUSG00000020627.9,-,Klhl29,protein_coding,18.9663886300613,21.3570156294167,24.5696970921574
chr10,82177886,82178387,0.7858954866062775,chr10,82176235,82200385,ENSMUSG00000087481.3,+,Gm15608,antisense,2.49137273424518,4.25616366518957,4.31629813781143
chr3,159851415,159851916,0.7874772140781006,chr3,159837737,159937833,ENSMUSG00000028173.6,+,Wls,protein_coding,2.99438148106428,4.80043011853862,5.19378731967419
chr11,53769667,53770168,0.478024127460761,chr11,53768014,53780374,ENSMUSG00000018899.12,+,Irf1,protein_coding,11.9952791741449,15.0544100996347,16.7908740745631
chr8,4678191,4678692,0.3739658214368431,chr8,4675539,4680365,ENSMUSG00000048484.4,-,Gm7461,protein_coding,18.563981632606,21.2590476678139,24.1783843488943
chr8,4678191,4678692,0.3739658214368431,chr8,4676462,4690494,ENSMUSG00000097308.1,+,Gm6410,lincRNA,18.563981632606,21.2590476678139,24.1783843488943
chr3,133051965,133052466,0.3610303028657433,chr3,132979753,133094033,ENSMUSG00000028018.11,-,Gstcd,protein_coding,15.5991889013546,18.8316192858771,20.1348193351753
chr6,38354069,38354570,0.7061134195611446,chr6,38303286,38356603,ENSMUSG00000029826.10,-,Zc3hav1,protein_coding,5.01233421830325,7.43467975274802,8.21756760852561
chr2,35282164,35282665,0.8010694738570933,chr2,35277663,35309892,ENSMUSG00000026879.10,+,Gsn,protein_coding,3.98856347477732,6.01958697404049,6.98433956915091
chr3,52046830,52047331,0.6744794269571072,chr3,51683907,52107076,ENSMUSG00000061143.11,-,Maml3,protein_coding,5.48575421530946,7.3911384364801,8.79860774246176
chr2,35481439,35481940,0.4591891213058729,chr2,35481384,35485905,ENSMUSG00000081841.1,-,Gm13444,processed_pseudogene,11.8354999251553,16.2082549807347,16.3521294836318
chr14,98168158,98168659,0.4176515094812791,chr14,97784853,98171765,ENSMUSG00000055639.12,-,Dach1,protein_coding,11.545530176989,14.5754556206876,15.4983562256031
chr5,107289379,107289880,0.4970016447817503,chr5,107104570,107291629,ENSMUSG00000029287.10,-,Tgfbr3,protein_coding,10.1666944357084,14.9564421380319,14.4192816911503
chr7,119454530,119455031,0.3275727738660902,chr7,119440544,119461272,ENSMUSG00000030954.9,-,Gp2,protein_coding,18.4752153831674,21.8033141211629,23.3008951670315
chr11,64435735,64436236,0.6268013540368746,chr11,64433156,64438653,ENSMUSG00000095224.1,-,F930015N05Rik,protein_coding,5.82306596317639,7.88097824449425,9.03576698080305
chr11,64435735,64436236,0.6268013540368746,chr11,64433332,64524841,ENSMUSG00000047759.6,+,Hs3st3a1,protein_coding,5.82306596317639,7.88097824449425,9.03576698080305
chr10,127666503,127667004,0.3375928341868331,chr10,127664901,127703049,ENSMUSG00000040195.7,+,Tmem194,protein_coding,23.2390041030423,26.2009870642233,29.5144672115732
chr10,127666503,127667004,0.3375928341868331,chr10,127658918,127670568,ENSMUSG00000025402.8,-,Nab2,protein_coding,23.2390041030423,26.2009870642233,29.5144672115732
chr10,127666503,127667004,0.3375928341868331,chr10,127661839,127667484,ENSMUSG00000085731.1,+,Gm16229,antisense,23.2390041030423,26.2009870642233,29.5144672115732
chr5,92715241,92715742,0.6896157389878209,chr5,92681435,92967318,ENSMUSG00000029381.11,+,Shroom3,protein_coding,5.20170221710574,7.55441837248481,8.43101092303277
chr5,92683359,92683860,0.9204067886234928,chr5,92681435,92967318,ENSMUSG00000029381.11,+,Shroom3,protein_coding,2.68665848301024,4.37590228492636,5.11078158625474
chr2,60881183,60881684,0.5522656890381394,chr2,60748193,60965192,ENSMUSG00000026970.12,-,Rbms1,protein_coding,8.11915294865651,10.8091317635121,11.964683574318
chr14,116979849,116980350,0.2732785907191234,chr14,116923297,117981529,ENSMUSG00000058571.6,+,Gpc6,protein_coding,23.7716015996743,25.4281287004676,28.8741372680517
chr19,59171150,59171651,1.1231947525130794,chr19,59164187,59172056,ENSMUSG00000006270.7,-,Vax1,protein_coding,8.109368260511143,9.953226504449598,12.006712317704679
chr14,77627052,77627553,0.5359371274062882,chr14,77154763,77723760,ENSMUSG00000022012.8,+,Enox1,protein_coding,8.41504044678539,10.6240811693735,12.2611326222446
chr11,113507958,113508459,0.5476675874069485,chr11,113242853,113652079,ENSMUSG00000041654.11,-,Slc39a11,protein_coding,6.71664620752561,8.74091924078574,9.86582431499756
chr14,98167592,98168093,0.6090085509146171,chr14,97784853,98171765,ENSMUSG00000055639.12,-,Dach1,protein_coding,4.98274546849036,6.72713336339426,7.63652747458945
chr15,55800277,55800778,0.3426055441694203,chr15,55636843,55908949,ENSMUSG00000060429.7,-,Sntb1,protein_coding,17.4277736397911,19.50650968803,22.2099626706616
chr13,38345761,38346262,0.9952420215460828,chr13,38343716,38501728,ENSMUSG00000039004.5,+,Bmp6,protein_coding,2.10080123671506,3.94048912224712,4.20957648055785
chr16,90831060,90831561,0.5778794693209953,chr16,90824719,90907109,ENSMUSG00000039903.12,+,Eva1c,protein_coding,7.34392770355884,10.9941823576508,11.0160466209528
chr2,35462073,35462574,0.8413129498830365,chr2,35398179,35465231,ENSMUSG00000035778.13,-,Ggta1,protein_coding,3.44413047822018,5.46443519162446,6.20171408262467
chr9,124422310,124422811,0.6997861380199116,chr9,124420622,124478861,ENSMUSG00000093803.2,-,Ppp2r3d,protein_coding,12.551676616935197,14.02769861202278,19.344916235187096
chr3,52104774,52105275,0.3921476371668906,chr3,51683907,52107076,ENSMUSG00000061143.11,-,Maml3,protein_coding,13.9718076616458,17.0137693316913,18.427272819118
