chr,start,end,log2(old/young),gene_chr,gene_start,gene_end,gene_id,gene_strand,gene_name,gene_type,2mo,9mo,18mo
chr16,33859886,33860387,1.521456457028609,chr16,33825665,33953338,ENSMUSG00000022817.15,+,Itgb5,protein_coding,11.5643560556816,24.6041515400288,33.2223615827456
chr12,109067779,109068280,1.3203153864038513,chr12,109028187,109072217,ENSMUSG00000040867.12,-,Begain,protein_coding,10.7638183947302,21.2529209514361,26.8981945460302
chr10,23349949,23350450,1.5881588462404137,chr10,23098963,23354786,ENSMUSG00000010461.15,-,Eya4,protein_coding,5.49516355637565,11.7613251867171,16.5366911914115
chr4,124624114,124624615,1.0183669132875497,chr4,124524924,124661169,ENSMUSG00000098760.1,-,Gm2164,lncRNA,19.4487211583075,36.9773787025824,39.4198962995269
chr9,120303506,120304007,1.2429355163626226,chr9,120297513,120478841,ENSMUSG00000041794.13,+,Myrip,protein_coding,11.7691447596459,25.2231686551192,27.8740083055234
chr13,19504172,19504673,1.1770791716150022,chr13,19458847,19508367,ENSMUSG00000114189.1,-,9330199G10Rik,lncRNA,12.2811165195566,24.1238796403898,27.7883452655678
chr16,33829383,33829884,1.7521928806760312,chr16,33825665,33953338,ENSMUSG00000022817.15,+,Itgb5,protein_coding,4.34400281136415,11.4802771861875,14.6483798323922
chr5,107289379,107289880,1.3132961240794356,chr5,107102570,107293629,ENSMUSG00000029287.14,-,Tgfbr3,protein_coding,8.98588010122184,18.2254291988964,22.3468799883939
chr16,33830008,33830509,1.820873278553059,chr16,33825665,33953338,ENSMUSG00000022817.15,+,Itgb5,protein_coding,3.37591075626014,9.29592943523646,11.9406828737985
chr15,101266498,101266999,1.0330190447461234,chr15,101250269,101278795,ENSMUSG00000023034.7,+,Nr4a1,protein_coding,15.2319355721333,30.8121105390674,31.1887955038018
chr1,195018089,195018590,1.1748582655080897,chr1,195009746,195020448,ENSMUSG00000103867.1,+,9630010A21Rik,TEC,8.85245715772994,17.6241999319408,20.0004575896126
chr1,195018089,195018590,1.1748582655080897,chr1,195013892,195022242,ENSMUSG00000104077.1,-,Gm37027,lncRNA,8.85245715772994,17.6241999319408,20.0004575896126
chr1,195018089,195018590,1.1748582655080897,chr1,194972375,195041904,ENSMUSG00000096929.7,+,A330023F24Rik,lncRNA,8.85245715772994,17.6241999319408,20.0004575896126
chr5,138754737,138755238,0.9221415329629586,chr5,138750514,138814077,ENSMUSG00000025854.15,+,Fam20c,protein_coding,17.0284910205475,28.2044120025085,32.2875171032312
