gene_name,gene_length,gene_type,gene_chr
Apoe,3079.0,,
Clu,13064.0,,
Cst3,3970.0,protein_coding,chr2
Dach1,382912.0,protein_coding,chr14
Sema6d,577801.0,protein_coding,chr2
Mt1,1245.0,protein_coding,chr8
Fgf14,699220.0,,
Brinp3,407712.0,,
Csmd1,1643049.0,protein_coding,chr8
Gpr37l1,7447.0,,
Ctnna2,1098062.0,protein_coding,chr6
Cped1,270488.0,protein_coding,chr6
Pcdh9,877269.0,,
Shroom3,281883.0,protein_coding,chr5
Dcc,1097435.0,protein_coding,chr18
Grip1,633431.0,protein_coding,chr10
Cd81,15195.0,,
Mt3,1539.0,,
Lrrc4c,1313497.0,protein_coding,chr2
Erbb4,1075873.0,protein_coding,chr1
Pcdh11x,620360.0,protein_coding,chrX
Adam23,150385.0,protein_coding,chr1
Gja1,25183.0,protein_coding,chr10
Bcan,12699.0,,
Mt2,,protein_coding,chr8
Fgf13,505926.0,protein_coding,chrX
Nr6a1,204318.0,,
Immp2l,931498.0,protein_coding,chr12
Ntsr2,6845.0,,
Cpeb4,63423.0,,
Gm21860,,,
Npas3,823498.0,protein_coding,chr12
Il1rapl1,1374775.0,,
Nrxn3,1612059.0,protein_coding,chr12
Pbx1,312906.0,protein_coding,chr1
Atp1b2,6206.0,protein_coding,chr11
Rgs6,573764.0,,
Nrg1,1069703.0,,
Unc13c,489544.0,protein_coding,chr9
Gpam,59970.0,,
Dok6,477104.0,protein_coding,chr18
Ptprt,1139157.0,protein_coding,chr2
Bmp6,155195.0,protein_coding,chr13
Dclk1,296704.0,protein_coding,chr3
B3galt1,556818.0,protein_coding,chr2
Msmo1,15653.0,protein_coding,chr8
Gria2,121385.0,protein_coding,chr3
Itm2b,23063.0,,
Bsg,7478.0,,
Chl1,239625.0,protein_coding,chr6
Dlg2,1972575.0,,
Nfia,346140.0,protein_coding,chr4
Atp1a2,26355.0,protein_coding,chr1
Zeb1,183607.0,protein_coding,chr18
Pabpn1,5669.0,,
Efemp1,73539.0,protein_coding,chr11
Csmd2,579799.0,protein_coding,chr4
Cd63,11833.0,,
Zfhx4,197331.0,protein_coding,chr3
Plekhm3,170841.0,protein_coding,chr1
Dmd,2257271.0,,
Gm26917,3328.0,,
Cdh19,89258.0,protein_coding,chr1
Slc7a10,14729.0,protein_coding,chr7
Wls,98992.0,protein_coding,chr3
Crym,15731.0,,
Trpm3,856364.0,protein_coding,chr19
Mfge8,15292.0,protein_coding,chr7
Dpyd,870795.0,protein_coding,chr3
Cox8a,2463.0,,
Sox6,567924.0,,
Luzp2,433387.0,protein_coding,chr7
Fjx1,3133.0,,
Efna5,277133.0,protein_coding,chr17
9530026P05Rik,332650.0,,
Maml3,419169.0,protein_coding,chr3
Spata6,109200.0,protein_coding,chr4
S1pr1,4639.0,protein_coding,chr3
Ptchd4,189130.0,protein_coding,chr17
Glis3,421226.0,protein_coding,chr19
Rmst,94133.0,,
Nr3c2,345570.0,protein_coding,chr8
Acsl3,49918.0,,
Cldn10,87581.0,protein_coding,chr14
Rbms1,212999.0,protein_coding,chr2
Kcnn2,417164.0,,
Qk,117253.0,protein_coding,chr17
Trps1,235711.0,protein_coding,chr15
Bmpr1b,332289.0,protein_coding,chr3
Eda,425156.0,,
Cd9,34525.0,protein_coding,chr6
Htra1,49549.0,protein_coding,chr7
Lamp1,16177.0,,
Cntn1,290802.0,protein_coding,chr15
Sat1,3317.0,protein_coding,chrX
Sntb2,83964.0,protein_coding,chr8
Kcnd2,514302.0,protein_coding,chr6
Me3,221967.0,protein_coding,chr7
Scel,99455.0,,
Ckb,2977.0,protein_coding,chr12
Snrnp70,19289.0,,
Scg3,40867.0,,
Bcl2,176096.0,protein_coding,chr1
Robo1,737789.0,,
Gm12239,298760.0,,
Scd2,13190.0,protein_coding,chr19
Phlpp1,222498.0,protein_coding,chr1
Ntrk3,562053.0,protein_coding,chr7
Tsix,53440.0,,
Rfx3,249445.0,protein_coding,chr19
Pcdh7,415263.0,protein_coding,chr5
Gfra1,220305.0,,
Ctsd,12127.0,protein_coding,chr7
Rps29,1464.0,,
Kcnh5,280112.0,protein_coding,chr12
Cpeb1,108439.0,protein_coding,chr7
Kcnq3,300255.0,protein_coding,chr15
Gpc5,1432964.0,,
Aldh1a1,150750.0,,
Adamts20,195255.0,protein_coding,chr15
Robo2,519986.0,,
Rpl41,1191.0,,
Slc25a3,7485.0,,
Tenm3,616269.0,protein_coding,chr8
Cpe,100512.0,protein_coding,chr8
Thsd7a,437800.0,,
Scn8a,176080.0,protein_coding,chr15
Unc5c,369708.0,protein_coding,chr3
Rasa2,92317.0,,
Pcdhb14,8694.0,,
Cmss1,304864.0,,
Btg1,5803.0,protein_coding,chr10
Ndrg2,8887.0,,
Dennd1a,488399.0,protein_coding,chr2
Psap,24970.0,,
Laptm4a,17078.0,,
Lars2,95739.0,protein_coding,chr9
Dock10,257454.0,,
Msi2,379131.0,protein_coding,chr11
Akt3,238130.0,,
Atp1b1,21246.0,,
Ndufc2,7799.0,protein_coding,chr7
Sox5,953552.0,protein_coding,chr6
Nkain4,19927.0,,
Dnm3,495581.0,protein_coding,chr1
Cox7c,2088.0,,
Phactr2,266695.0,protein_coding,chr10
Esrrg,606094.0,protein_coding,chr1
Ndufaf4,6918.0,,
Id2,3341.0,protein_coding,chr12
Itm2c,14394.0,,
Camk2a,62534.0,,
Ddx5,8830.0,,
Rpe65,26146.0,protein_coding,chr3
Aldoc,4813.0,,
Frmd4a,596326.0,protein_coding,chr2
Trim9,103081.0,protein_coding,chr12
Nav3,774945.0,protein_coding,chr10
Dmxl1,132803.0,,
Gphn,458393.0,protein_coding,chr12
Fgfr2,2960899.0,protein_coding,chr7
Gjb6,10308.0,,
Nol4,348472.0,,
Sparcl1,34622.0,protein_coding,chr5
Grm3,239629.0,,
Atp6v0c,5836.0,,
Gli3,266791.0,protein_coding,chr13
Cadm2,965487.0,,
Nkx2-2os,147598.0,antisense,chr2
Phip,109357.0,,
