gene_name,gene_length,gene_type,gene_chr
Meg3,30725.0,lincRNA,chr12
Ube3a,82786.0,protein_coding,chr7
Tsix,53440.0,antisense,chrX
Cacna1a,301607.0,,
Snrnp70,19289.0,protein_coding,chr7
Galntl6,1138588.0,protein_coding,chr8
Grin1,28006.0,,
Gm26917,3328.0,,
Slc17a7,12193.0,protein_coding,chr7
Pabpn1,5669.0,,
Camkv,14017.0,,
Grin2b,460278.0,,
Mapt,100700.0,protein_coding,chr11
Celf4,276525.0,protein_coding,chr18
Rnf112,5689.0,,
Nrxn2,125438.0,protein_coding,chr19
Nrg3os,60492.0,,
Ptprs,64057.0,protein_coding,chr17
Miat,16167.0,lincRNA,chr5
AY036118,,,
Tmem132a,12118.0,,
Rbfox3,421835.0,protein_coding,chr11
Camk2a,62534.0,,
Matk,10430.0,protein_coding,chr10
Abr,206824.0,protein_coding,chr11
4930419G24Rik,63830.0,,
Prkcg,41920.0,protein_coding,chr7
Ptprn,17475.0,,
Sptbn4,91303.0,protein_coding,chr7
Lmo4,16690.0,,
Dgkz,43040.0,,
Pacsin1,55973.0,,
Csmd2,579799.0,protein_coding,chr4
Pkd1,46674.0,protein_coding,chr17
Dlg4,30580.0,protein_coding,chr11
Celf3,13903.0,,
Syt7,64090.0,protein_coding,chr19
Atp6v0b,3007.0,,
Sez6l,158034.0,protein_coding,chr5
Kcnq2,59721.0,protein_coding,chr2
Gpc5,1432964.0,protein_coding,chr14
Elavl3,37018.0,,
Cpt1c,15479.0,protein_coding,chr7
Ptk2b,127795.0,protein_coding,chr14
Srek1,35260.0,,
Syt11,30464.0,,
Bcl11b,93199.0,protein_coding,chr12
Baiap2,64019.0,protein_coding,chr11
Cdk9,7292.0,protein_coding,chr2
Epha10,36901.0,protein_coding,chr4
Pde4a,47534.0,protein_coding,chr9
Dnm1,44867.0,protein_coding,chr2
Pde2a,91136.0,protein_coding,chr7
Dctn1,34197.0,,
Nos1ap,287193.0,protein_coding,chr1
Ogt,44291.0,,
Sdk2,290672.0,,
Gm28379,30750.0,,
Svop,64660.0,protein_coding,chr5
C1ql3,8349.0,,
Ccnd2,27031.0,,
Epha5,362621.0,protein_coding,chr5
Trerf1,221083.0,processed_transcript,chr17
Arglu1,25446.0,,
Xist,22888.0,lincRNA,chrX
Stmn3,8041.0,,
Banf2,40920.0,,
Gpi1,29006.0,protein_coding,chr7
Thra,28368.0,protein_coding,chr11
Chst1,15543.0,,
Igsf21,219938.0,protein_coding,chr4
Srcin1,66846.0,protein_coding,chr11
Cap2,148433.0,protein_coding,chr13
Tnrc6c,109150.0,protein_coding,chr11
Srrm3,67882.0,protein_coding,chr5
Kifc2,8338.0,,
Ckb,2977.0,protein_coding,chr12
Nisch,46016.0,protein_coding,chr14
Rhbdl3,55043.0,protein_coding,chr11
Fbxl17,442565.0,,
Mark2,66464.0,protein_coding,chr19
Camk1d,421058.0,protein_coding,chr2
Tmem132b,260809.0,protein_coding,chr5
Gm5441,102501.0,antisense,chr12
Rtn1,197302.0,protein_coding,chr12
Celf5,23482.0,,
Xylt1,292601.0,protein_coding,chr7
Rasal1,30785.0,,
Sv2a,14370.0,,
Zmynd8,114864.0,protein_coding,chr2
Far1os,34498.0,,
Akt3,238130.0,protein_coding,chr1
Atp2b2,298782.0,protein_coding,chr6
Gm1043,144177.0,,
Tcf25,30082.0,,
Vps13b,560069.0,protein_coding,chr15
Bcl6,23800.0,,
Cdh13,1041188.0,protein_coding,chr8
Kmt2c,226985.0,,
Mical2,187250.0,,
Syp,14785.0,protein_coding,chrX
Herc1,158325.0,,
Eif4g1,24571.0,protein_coding,chr16
Pias2,88592.0,protein_coding,chr18
Rasgef1a,80108.0,protein_coding,chr6
Cmip,202366.0,protein_coding,chr8
Nsmf,8526.0,,
Kcnn2,417164.0,protein_coding,chr18
Grik5,62497.0,protein_coding,chr7
Abcc5,95091.0,protein_coding,chr16
Leng9,2459.0,protein_coding,chr7
Celf1,79115.0,protein_coding,chr2
Slit3,587283.0,protein_coding,chr11
Nav1,253525.0,protein_coding,chr1
Mat2a,6759.0,,
Cnot3,15841.0,protein_coding,chr7
Atp1a3,27791.0,protein_coding,chr7
Thy1,5195.0,protein_coding,chr9
Kdm6a,117361.0,,
Ttc14,15028.0,,
Lztr1,17645.0,,
Ctnna3,1573569.0,protein_coding,chr10
Rbm26,70576.0,,
Slc25a23,16152.0,,
Lmtk3,20406.0,protein_coding,chr7
Shank1,50319.0,protein_coding,chr7
Ksr2,361003.0,protein_coding,chr5
Gria1,318857.0,protein_coding,chr11
Filip1l,220033.0,protein_coding,chr16
Dapk1,161244.0,protein_coding,chr13
Kcnb1,94186.0,,
Camk2b,96718.0,protein_coding,chr11
Fubp1,26404.0,protein_coding,chr3
Csnk1g2,17911.0,protein_coding,chr10
Cacna1h,59498.0,protein_coding,chr17
Herc2,181604.0,protein_coding,chr7
Farp1,248544.0,protein_coding,chr14
Chd8,59629.0,,
Cacna1b,159265.0,protein_coding,chr2
Gm15738,114381.0,,
Krit1,42380.0,,
Stx1a,27618.0,protein_coding,chr5
Nktr,37674.0,,
Fus,18244.0,,
Ktn1,91446.0,,
Sfpq,15689.0,,
Adam15,11454.0,,
Atp9a,107971.0,protein_coding,chr2
Gm26749,41738.0,,
Pi4ka,125963.0,protein_coding,chr16
Dscaml1,327084.0,protein_coding,chr9
Slc44a1,182065.0,,
Nf1,241919.0,protein_coding,chr11
Zcchc18,5317.0,protein_coding,chrX
Rabgap1l,574037.0,protein_coding,chr1
Slc12a5,38929.0,protein_coding,chr2
Ndrg4,38139.0,protein_coding,chr8
Nrgn,8412.0,,
Ube4b,98333.0,protein_coding,chr4
Flnb,133631.0,,
Prkcb,345651.0,protein_coding,chr7
Elmod1,63844.0,,
Orc4,47453.0,,
Rufy3,86352.0,protein_coding,chr5
Kcnh3,17956.0,protein_coding,chr15
Chka,42596.0,protein_coding,chr19
Pfkm,39862.0,,
Faf1,287372.0,protein_coding,chr4
Klhl29,298210.0,protein_coding,chr12
Sez6,48248.0,,
Pdzd2,380213.0,protein_coding,chr15
Dvl1,11901.0,protein_coding,chr4
Phf14,173396.0,protein_coding,chr6
Tmem63b,26734.0,protein_coding,chr17
Birc6,175061.0,,
Etl4,900933.0,protein_coding,chr2
Akap8l,29183.0,,
Galnt9,77025.0,protein_coding,chr5
Ppfia3,27897.0,protein_coding,chr7
Wnk1,114703.0,protein_coding,chr6
Srrm2,34209.0,protein_coding,chr17
Snx13,100293.0,protein_coding,chr12
Rbm25,51887.0,,
Tial1,21940.0,,
Vps13a,165567.0,,
Csnk1g1,136091.0,protein_coding,chr9
Taok1,78653.0,,
Zmynd11,80497.0,protein_coding,chr13
Stxbp1,59643.0,,
Kalrn,604459.0,protein_coding,chr16
Cntnap5a,902567.0,protein_coding,chr1
Wnk2,111711.0,,
Rapgefl1,16912.0,,
Rasal2,277413.0,protein_coding,chr1
Gse1,352934.0,protein_coding,chr8
Gabbr2,329568.0,protein_coding,chr4
Unc5a,56607.0,protein_coding,chr13
Ppt1,22933.0,protein_coding,chr4
Usp24,125109.0,,
Stk25,38908.0,,
Eef2,5867.0,protein_coding,chr10
Zfp207,22454.0,,
Calm2,13523.0,protein_coding,chr17
Gapvd1,80638.0,,
Gm10754,285676.0,,
Maged1,6669.0,,
Kidins220,88227.0,protein_coding,chr12
Nlgn2,14662.0,,
Gls,69784.0,,
Zeb1,183607.0,protein_coding,chr18
Syn1,60493.0,protein_coding,chrX
Crocc,43913.0,protein_coding,chr4
Jph4,10109.0,,
Csrnp3,185779.0,protein_coding,chr2
Brwd1,90434.0,,
Rbm5,30625.0,,
Inpp5k,17883.0,,
Atp6v0c,5836.0,protein_coding,chr17
Ank3,628665.0,protein_coding,chr10
Zfp462,138515.0,protein_coding,chr4
Trim37,93606.0,protein_coding,chr11
Dhx30,33510.0,,
Dnm2,82851.0,,
B3galt1,556818.0,protein_coding,chr2
Fgfr2,2960899.0,protein_coding,chr7
Oxr1,413566.0,,
Picalm,83252.0,protein_coding,chr7
Dennd1a,488399.0,,
Bclaf1,32144.0,,
Gpatch8,80477.0,,
Mapk8ip3,44824.0,,
Camta1,944554.0,protein_coding,chr4
Gm3764,23146.0,lincRNA,chr3
Fezf2,6095.0,,
Ntrk2,327401.0,protein_coding,chr13
Ube2o,43707.0,,
Pou2f2,92382.0,protein_coding,chr7
Polb,25309.0,protein_coding,chr8
Unc13a,47340.0,protein_coding,chr8
Ankib1,112925.0,,
Trim2,146438.0,protein_coding,chr3
