chr,start,end,dmr_id,2mo,9mo,18mo,gene_chr,gene_start,gene_end,gene_id,gene_strand,gene_name,gene_type,old-young
chr1,5058817,5058849,chr1-5058817-5058849,0.65,0.6,0.9,chr1,4907576,5072285,ENSMUSG00000002459.13,-,Rgs20,protein_coding,0.25
chr1,12811482,12811725,chr1-12811482-12811725,0.36,0.52,0.56,chr1,12690277,12863192,ENSMUSG00000016918.11,+,Sulf1,protein_coding,0.20000000000000007
chr1,12860419,12860477,chr1-12860419-12860477,0.43,0.59,0.64,chr1,12690277,12863192,ENSMUSG00000016918.11,+,Sulf1,protein_coding,0.21000000000000002
chr1,14304934,14304939,chr1-14304934-14304939,0.68,0.62,0.47,chr1,14166954,14312235,ENSMUSG00000025932.10,-,Eya1,protein_coding,-0.21000000000000008
chr1,14305208,14305213,chr1-14305208-14305213,0.61,0.37,0.45,chr1,14166954,14312235,ENSMUSG00000025932.10,-,Eya1,protein_coding,-0.15999999999999998
chr1,14305226,14305276,chr1-14305226-14305276,0.6,0.37,0.43,chr1,14166954,14312235,ENSMUSG00000025932.10,-,Eya1,protein_coding,-0.16999999999999998
chr1,16249708,16249718,chr1-16249708-16249718,0.37,0.57,0.52,chr1,16226674,16522112,ENSMUSG00000025920.15,-,Stau2,protein_coding,0.15000000000000002
chr1,16567270,16567396,chr1-16567270-16567396,0.49,0.62,0.7,chr1,16538790,16621489,ENSMUSG00000025939.13,-,Ube2w,protein_coding,0.20999999999999996
chr1,17000768,17000787,chr1-17000768-17000787,0.36,0.28,0.14,chr1,16896185,17093631,ENSMUSG00000101640.1,+,Gm28376,antisense,-0.21999999999999997
chr1,17000768,17000787,chr1-17000768-17000787,0.36,0.28,0.14,chr1,16962560,17099889,ENSMUSG00000042686.5,-,Jph1,protein_coding,-0.21999999999999997
chr1,21418152,21418470,chr1-21418152-21418470,0.54,0.66,0.75,chr1,21396403,21963942,ENSMUSG00000028033.12,-,Kcnq5,protein_coding,0.20999999999999996
chr1,21418558,21418759,chr1-21418558-21418759,0.53,0.68,0.74,chr1,21396403,21963942,ENSMUSG00000028033.12,-,Kcnq5,protein_coding,0.20999999999999996
chr1,21699180,21699187,chr1-21699180-21699187,0.35,0.55,0.51,chr1,21396403,21963942,ENSMUSG00000028033.12,-,Kcnq5,protein_coding,0.16000000000000003
chr1,24374492,24374522,chr1-24374492-24374522,0.4,0.58,0.6,chr1,24259890,24589472,ENSMUSG00000026141.9,-,Col19a1,protein_coding,0.19999999999999996
chr1,25102828,25102858,chr1-25102828-25102858,0.62,0.84,0.71,chr1,25065476,25831707,ENSMUSG00000033569.13,-,Bai3,protein_coding,0.08999999999999997
chr1,25621662,25621693,chr1-25621662-25621693,0.33,0.54,0.51,chr1,25618238,25625180,ENSMUSG00000104221.1,-,RP23-347F2.1,TEC,0.18
chr1,25621662,25621693,chr1-25621662-25621693,0.33,0.54,0.51,chr1,25065476,25831707,ENSMUSG00000033569.13,-,Bai3,protein_coding,0.18
chr1,25826365,25826369,chr1-25826365-25826369,0.57,0.79,0.66,chr1,25822390,25826719,ENSMUSG00000103004.1,-,RP23-184I13.8,TEC,0.09000000000000008
chr1,25826365,25826369,chr1-25826365-25826369,0.57,0.79,0.66,chr1,25065476,25831707,ENSMUSG00000033569.13,-,Bai3,protein_coding,0.09000000000000008
chr1,32309339,32309431,chr1-32309339-32309431,0.58,0.75,0.78,chr1,32170714,32660568,ENSMUSG00000026058.7,+,Khdrbs2,protein_coding,0.20000000000000007
chr1,32625915,32626291,chr1-32625915-32626291,0.41,0.55,0.63,chr1,32170714,32660568,ENSMUSG00000026058.7,+,Khdrbs2,protein_coding,0.22000000000000003
chr1,33512967,33512976,chr1-33512967-33512976,0.53,0.71,0.76,chr1,33451810,33671795,ENSMUSG00000026134.11,-,Prim2,protein_coding,0.22999999999999998
chr1,33739209,33739218,chr1-33739209-33739218,0.71,0.57,0.51,chr1,33717887,33744564,ENSMUSG00000004768.10,+,Rab23,protein_coding,-0.19999999999999996
chr1,33980579,33980734,chr1-33980579-33980734,0.5,0.36,0.28,chr1,33979410,33983502,ENSMUSG00000084506.1,-,Gm23792,snRNA,-0.21999999999999997
chr1,33980579,33980734,chr1-33980579-33980734,0.5,0.36,0.28,chr1,33906225,34310661,ENSMUSG00000026131.13,+,Dst,protein_coding,-0.21999999999999997
chr1,33980579,33980734,chr1-33980579-33980734,0.5,0.36,0.28,chr1,33906272,34309592,ENSMUSG00000103888.1,+,AC123072.1,protein_coding,-0.21999999999999997
chr1,34007492,34007555,chr1-34007492-34007555,0.58,0.43,0.26,chr1,33906225,34310661,ENSMUSG00000026131.13,+,Dst,protein_coding,-0.31999999999999995
chr1,34007492,34007555,chr1-34007492-34007555,0.58,0.43,0.26,chr1,33906272,34309592,ENSMUSG00000103888.1,+,AC123072.1,protein_coding,-0.31999999999999995
chr1,34154332,34154354,chr1-34154332-34154354,0.38,0.28,0.16,chr1,33906225,34310661,ENSMUSG00000026131.13,+,Dst,protein_coding,-0.22
chr1,34154332,34154354,chr1-34154332-34154354,0.38,0.28,0.16,chr1,33906272,34309592,ENSMUSG00000103888.1,+,AC123072.1,protein_coding,-0.22
chr1,36555760,36555866,chr1-36555760-36555866,0.57,0.76,0.8,chr1,36555701,36567613,ENSMUSG00000087589.3,+,D430040D24Rik,processed_transcript,0.2300000000000001
chr1,36555760,36555866,chr1-36555760-36555866,0.57,0.76,0.8,chr1,36546639,36560349,ENSMUSG00000026121.9,-,Sema4c,protein_coding,0.2300000000000001
chr1,36580190,36580218,chr1-36580190-36580218,0.39,0.52,0.6,chr1,36560692,36685183,ENSMUSG00000046337.13,-,Fam178b,protein_coding,0.20999999999999996
chr1,36590467,36590517,chr1-36590467-36590517,0.45,0.3,0.23,chr1,36560692,36685183,ENSMUSG00000046337.13,-,Fam178b,protein_coding,-0.22
chr1,36631529,36631593,chr1-36631529-36631593,0.75,0.63,0.53,chr1,36560692,36685183,ENSMUSG00000046337.13,-,Fam178b,protein_coding,-0.21999999999999997
chr1,36635145,36635259,chr1-36635145-36635259,0.4,0.51,0.62,chr1,36560692,36685183,ENSMUSG00000046337.13,-,Fam178b,protein_coding,0.21999999999999997
chr1,36888644,36888649,chr1-36888644-36888649,0.65,0.87,0.88,chr1,36790191,36945666,ENSMUSG00000026116.7,-,Tmem131,protein_coding,0.22999999999999998
chr1,37027007,37027012,chr1-37027007-37027012,0.9,0.7,0.69,chr1,37024596,37189613,ENSMUSG00000050122.14,+,Vwa3b,protein_coding,-0.21000000000000008
chr1,37037580,37037604,chr1-37037580-37037604,0.55,0.35,0.27,chr1,37024596,37189613,ENSMUSG00000050122.14,+,Vwa3b,protein_coding,-0.28
chr1,37061423,37061538,chr1-37061423-37061538,0.45,0.3,0.23,chr1,37024596,37189613,ENSMUSG00000050122.14,+,Vwa3b,protein_coding,-0.22
chr1,37319432,37319435,chr1-37319432-37319435,0.52,0.57,0.37,chr1,37297865,37412736,ENSMUSG00000026113.13,+,Inpp4a,protein_coding,-0.15000000000000002
chr1,38384969,38385017,chr1-38384969-38385017,0.33,0.54,0.57,chr1,38382949,38395974,ENSMUSG00000087131.3,+,Gm16152,antisense,0.23999999999999994
chr1,38384969,38385017,chr1-38384969-38385017,0.33,0.54,0.57,chr1,38175326,38666955,ENSMUSG00000037138.12,-,Aff3,protein_coding,0.23999999999999994
chr1,38565737,38565803,chr1-38565737-38565803,0.32,0.56,0.47,chr1,38175326,38666955,ENSMUSG00000037138.12,-,Aff3,protein_coding,0.14999999999999997
chr1,39443403,39443449,chr1-39443403-39443449,0.6,0.79,0.82,chr1,39369492,39480755,ENSMUSG00000003134.6,-,Tbc1d8,protein_coding,0.21999999999999997
chr1,39637408,39637707,chr1-39637408-39637707,0.59,0.45,0.35,chr1,39616406,39653474,ENSMUSG00000050967.5,-,Creg2,protein_coding,-0.24
chr1,39647896,39647998,chr1-39647896-39647998,0.58,0.39,0.3,chr1,39616406,39653474,ENSMUSG00000050967.5,-,Creg2,protein_coding,-0.27999999999999997
