gene_name,gene_length,gene_type,gene_chr
Meg3,30725.0,,
Epha7,154368.0,protein_coding,chr4
Nrg3os,60492.0,,
Atp1b1,21246.0,protein_coding,chr1
Grin1,28006.0,protein_coding,chr2
Chrm3,485361.0,protein_coding,chr13
Tmsb4x,2222.0,,
Ppm1e,132117.0,,
Xist,22888.0,,
Epha5,362621.0,protein_coding,chr5
Grin2a,427662.0,protein_coding,chr16
Fth1,4500.0,,
Shisa6,314239.0,protein_coding,chr11
Grin2b,460278.0,protein_coding,chr6
Ube3a,82786.0,,
Hsp90ab1,5496.0,,
Cadm2,965487.0,protein_coding,chr16
Kcnh7,490873.0,protein_coding,chr2
Epha6,952048.0,protein_coding,chr16
Zbtb20,766721.0,protein_coding,chr16
Gm13269,26652.0,,
Auts2,1106011.0,protein_coding,chr5
Cck,5870.0,,
Prkca,410541.0,protein_coding,chr11
Calm1,10379.0,,
Arhgap12,111671.0,,
4930419G24Rik,63830.0,antisense,chr3
Nell2,453329.0,,
Nell1,891744.0,protein_coding,chr7
Lin28b,109775.0,protein_coding,chr10
Lrrtm4,791266.0,protein_coding,chr6
Kcnd2,514302.0,protein_coding,chr6
Prkcb,345651.0,,
Gm28750,17926.0,,
Slc24a3,474412.0,protein_coding,chr2
Ubb,2042.0,,
Pigk,266308.0,protein_coding,chr3
Cnksr2,221858.0,,
Nrg3,1104136.0,protein_coding,chr14
Hpca,10466.0,protein_coding,chr4
4933413L06Rik,13247.0,,
2010300C02Rik,108408.0,protein_coding,chr1
Tspan5,165710.0,,
Gm15738,114381.0,,
Cntn4,1021650.0,protein_coding,chr6
Elavl3,37018.0,,
Hs6st3,731474.0,protein_coding,chr14
Itm2b,23063.0,protein_coding,chr14
Cntnap2,2244856.0,protein_coding,chr6
Syt14,144542.0,,
Exoc6b,451026.0,protein_coding,chr6
Tbc1d1,195181.0,protein_coding,chr5
Gria4,378338.0,protein_coding,chr9
Hunk,113540.0,protein_coding,chr16
Mapt,100700.0,,
9530026P05Rik,332650.0,lincRNA,chr6
Hivep2,185299.0,,
Ano4,395768.0,protein_coding,chr10
Snhg11,10507.0,,
Atp2b1,111737.0,protein_coding,chr10
Slc24a2,247353.0,protein_coding,chr4
Cadm1,327464.0,protein_coding,chr9
Pantr1,104060.0,lincRNA,chr1
Kcnq1ot1,93091.0,,
Ak5,205545.0,,
Pde11a,349633.0,protein_coding,chr2
Cacna2d3,816921.0,,
Actr3b,90691.0,protein_coding,chr5
Sptbn4,91303.0,,
Kcnj6,249065.0,protein_coding,chr16
Celf4,276525.0,protein_coding,chr18
Cdk9,7292.0,,
Syne1,530565.0,protein_coding,chr10
Wipf3,74165.0,protein_coding,chr6
Nrgn,8412.0,,
Adamtsl1,914213.0,,
5330438D12Rik,74463.0,,
Samd5,52272.0,,
Prickle2,335247.0,,
Gm20642,30359.0,,
Ptprg,688509.0,protein_coding,chr14
Actb,3639.0,,
Slc8a1,365272.0,,
Olfm3,221644.0,protein_coding,chr3
Sema3e,231413.0,,
Fus,18244.0,,
Fat3,591096.0,,
Nrxn3,1612059.0,protein_coding,chr12
Brinp1,192883.0,protein_coding,chr4
Nos1ap,287193.0,protein_coding,chr1
Tenm4,739847.0,protein_coding,chr7
Lrrc4c,1313497.0,protein_coding,chr2
Fam155a,565259.0,protein_coding,chr8
Hdac9,869515.0,protein_coding,chr12
Sorbs1,219026.0,,
Hsp90aa1,12123.0,,
Lmo3,219050.0,,
Shisa9,286789.0,protein_coding,chr16
Cntnap5c,640785.0,,
Oxr1,413566.0,,
Rasgrp1,63008.0,,
Dock4,400922.0,protein_coding,chr12
Flrt2,92989.0,protein_coding,chr12
Epha4,147903.0,protein_coding,chr1
Gm14330,9287.0,,
Gapdh,4752.0,,
Myo5a,152673.0,,
Gm28376,193446.0,antisense,chr1
Trpc4,162436.0,protein_coding,chr3
Sphkap,154061.0,protein_coding,chr1
Rb1,142149.0,,
Syt17,67505.0,,
Khdrbs3,172791.0,protein_coding,chr15
Rtn1,197302.0,protein_coding,chr12
Snap25,68975.0,,
Chn1,164686.0,,
Hspa8,9103.0,,
Pabpn1,5669.0,,
Kif1b,131374.0,,
Aifm3,17874.0,protein_coding,chr16
Tle1,83777.0,protein_coding,chr4
Rbm25,51887.0,,
Dpyd,870795.0,protein_coding,chr3
Calm2,13523.0,,
Gm15594,3201.0,,
Ptpro,210914.0,protein_coding,chr6
Cdh8,392000.0,protein_coding,chr8
Gm13986,253911.0,processed_transcript,chr2
Pid1,327884.0,,
Rpl13,2894.0,,
Ryr3,585741.0,,
Cdh11,153547.0,,
Dock10,257454.0,protein_coding,chr1
Sorcs3,599480.0,,
Akap8l,29183.0,,
Plxna4,443924.0,protein_coding,chr6
Snrnp70,19289.0,protein_coding,chr7
Rnf112,5689.0,,
Srsf5,5003.0,,
Rps16,2503.0,,
Ptprs,64057.0,,
Rora,734460.0,protein_coding,chr9
Arhgef28,306970.0,protein_coding,chr13
4930402H24Rik,200206.0,,
Dlgap2,751815.0,protein_coding,chr8
Grik4,426358.0,protein_coding,chr9
Dlg1,211686.0,,
Cacnb2,384820.0,protein_coding,chr2
Magi3,207115.0,,
Rprml,1009.0,,
Dst,400436.0,protein_coding,chr1
Ptk2,218178.0,protein_coding,chr15
Atp6v0c,5836.0,,
Kcnj3,162175.0,,
Myt1l,394829.0,,
Iqgap2,265309.0,protein_coding,chr13
Kirrel3,550822.0,protein_coding,chr9
Rbfox1,1526171.0,protein_coding,chr16
Tnrc6c,109150.0,,
Scn3b,22401.0,,
Mir99ahg,537110.0,processed_transcript,chr16
A830018L16Rik,561796.0,,
Tfdp2,127371.0,,
Neurod6,3441.0,,
Pacsin1,55973.0,,
Stxbp5l,270020.0,,
Galntl6,1138588.0,,
Enox1,564997.0,protein_coding,chr14
Cpeb1,108439.0,,
Dnmt3a,108436.0,,
Magi2,1477756.0,protein_coding,chr5
AY036118,,,
Cmss1,304864.0,protein_coding,chr16
Ror1,348974.0,protein_coding,chr4
Tnrc6a,71411.0,protein_coding,chr7
Vps13a,165567.0,,
Cpne7,17808.0,,
Galnt11,44014.0,,
Luzp2,433387.0,protein_coding,chr7
Fbxl5,77023.0,,
Khdrbs2,485854.0,,
Acap2,108833.0,protein_coding,chr16
Camk1d,421058.0,protein_coding,chr2
Magi1,608462.0,protein_coding,chr6
Gm11906,304582.0,processed_transcript,chr4
Lrtm1,15437.0,,
Npepps,74796.0,,
P2ry14,39763.0,,
Sntb2,83964.0,protein_coding,chr8
Mbd6,7062.0,,
Cul9,45816.0,,
Rps8,2416.0,,
Sorbs2os,95972.0,,
Robo1,737789.0,,
Sorcs1,535347.0,,
Csnk1g1,136091.0,protein_coding,chr9
A330102I10Rik,25937.0,,
Smarca2,173272.0,protein_coding,chr19
Atp2c1,123780.0,,
Zfp804a,206657.0,protein_coding,chr2
Snd1,460023.0,protein_coding,chr6
Dgkz,43040.0,,
Gpm6a,106028.0,,
Ncam1,296789.0,protein_coding,chr9
Nipbl,153846.0,,
Nalcn,350510.0,,
Rspo2,150032.0,protein_coding,chr15
Rps7,5099.0,,
1700109K24Rik,11916.0,,
Atp6v0a1,54267.0,protein_coding,chr11
Sorl1,159577.0,protein_coding,chr9
Smyd3,566081.0,protein_coding,chr1
Eml6,282985.0,protein_coding,chr11
Tenm1,901260.0,protein_coding,chrX
Cacna1c,609178.0,protein_coding,chr6
Chd8,59629.0,,
Grid2,1448447.0,,
Rims1,519743.0,protein_coding,chr1
Ust,314069.0,protein_coding,chr10
Ppp3ca,267603.0,protein_coding,chr3
Acaca,271979.0,protein_coding,chr11
Runx2,318810.0,protein_coding,chr17
Rims2,486111.0,protein_coding,chr15
Pex5l,193839.0,protein_coding,chr3
Arpc2,32125.0,,
Kcnd3,221672.0,,
Gm12296,133202.0,processed_transcript,chr11
Srrm1,32837.0,,
Lpp,599071.0,protein_coding,chr16
Macf1,334727.0,protein_coding,chr4
Gigyf1,9387.0,,
Pcmtd1,84708.0,protein_coding,chr1
Sez6,48248.0,protein_coding,chr11
Zdhhc23,14758.0,,
Galnt13,681992.0,,
Gm1992,46966.0,,
Eef1a1,10702.0,protein_coding,chr9
Dynll1,3889.0,protein_coding,chr5
Ctnna2,1098062.0,protein_coding,chr6
Nsd1,108543.0,,
Ndst4,324823.0,protein_coding,chr3
Homer2,107046.0,,
Kcnn2,417164.0,,
Gm6994,27385.0,,
A330076H08Rik,52221.0,,
Tmeff2,286623.0,,
Kmt2e,69794.0,,
B830012L14Rik,7001.0,,
Far1os,34498.0,,
Homer1,105494.0,,
Sh3gl2,434069.0,protein_coding,chr4
Ptpn3,110996.0,,
Tbc1d5,446228.0,,
Plekha6,139225.0,,
Unc5c,369708.0,,
Dip2c,392400.0,protein_coding,chr13
Limch1,311331.0,,
Slc25a23,16152.0,,
Fam49a,118826.0,protein_coding,chr12
Pkp2,59394.0,,
Kit,81806.0,,
March1,853737.0,,
Rps2,3813.0,,
Tcf4,345723.0,protein_coding,chr18
Stac,128911.0,,
Setx,58290.0,,
Ankhd1,98926.0,,
Fchsd2,191542.0,protein_coding,chr7
Srrm2,34209.0,,
Nbas,314678.0,protein_coding,chr12
Spock1,487137.0,protein_coding,chr13
Zmym4,106196.0,,
Sptbn1,168780.0,,
Eif1,2211.0,,
E130307A14Rik,110595.0,processed_transcript,chr10
Igf2bp3,129734.0,,
Hs3st4,416120.0,protein_coding,chr7
Mical3,199292.0,,
Plekhg5,42902.0,protein_coding,chr4
Bptf,99046.0,,
Pi4ka,125963.0,,
Cpe,100512.0,,
Rpl9,3080.0,,
Kansl1l,98314.0,,
Kansl1,135632.0,,
Birc6,175061.0,,
Galnt18,308316.0,,
Ppia,4374.0,,
Neto1,111766.0,,
Safb2,23620.0,,
Taok1,78653.0,,
Rbm6,99678.0,protein_coding,chr9
D630045J12Rik,130835.0,protein_coding,chr6
Epha3,320641.0,protein_coding,chr16
Rpl14,3210.0,,
Col11a1,190178.0,protein_coding,chr3
Caln1,477957.0,protein_coding,chr5
Rabep1,98327.0,,
Zfp385b,409005.0,,
Gpr158,463005.0,protein_coding,chr2
Kcnab1,268839.0,protein_coding,chr3
Rapgef4os1,51193.0,,
Prtg,110417.0,protein_coding,chr9
Dach1,382912.0,,
Arhgef12,143397.0,,
Dnajc6,146151.0,,
Reps2,231695.0,protein_coding,chrX
Gria1,318857.0,protein_coding,chr11
Atrnl1,522309.0,protein_coding,chr19
Ndrg4,38139.0,,
Bex2,1672.0,,
Cachd1,252545.0,,
Adamts9,170793.0,protein_coding,chr6
1600010M07Rik,152826.0,,
Tspan13,27943.0,,
Necab1,197549.0,,
Gbf1,134001.0,,
Srcin1,66846.0,,
Dock3,339084.0,protein_coding,chr9
Wasl,51204.0,protein_coding,chr6
Spag9,129994.0,,
Cacnb4,248511.0,protein_coding,chr2
Rpl17,4823.0,,
Nr3c2,345570.0,protein_coding,chr8
Kdm2a,83866.0,,
Slc4a10,280268.0,,
Ldb2,327548.0,protein_coding,chr5
Kcnh1,319385.0,protein_coding,chr1
Ppp4r4,81548.0,,
Cox4i1,5985.0,,
Klhl29,298210.0,protein_coding,chr12
Clk1,13877.0,,
Wwox,913053.0,protein_coding,chr8
Ank,128232.0,protein_coding,chr15
Spred2,99651.0,,
Rpl34,3567.0,,
Smarcc2,31234.0,,
Ppp3r1,41112.0,,
Nrbp2,6109.0,protein_coding,chr15
Mapk10,303386.0,protein_coding,chr5
Ncoa1,229820.0,,
Crtac1,163498.0,protein_coding,chr19
Itch,93346.0,,
B230110G15Rik,18690.0,,
Pafah1b1,50721.0,,
Tcf20,179436.0,,
Stk3,303425.0,,
Srcap,49236.0,,
Pebp1,4971.0,,
Mctp1,647275.0,protein_coding,chr13
Kif5a,37652.0,,
Sipa1l1,282466.0,protein_coding,chr12
Ptprj,150893.0,,
Nav2,701374.0,protein_coding,chr7
Ccdc85a,198639.0,protein_coding,chr11
Kcnq3,300255.0,protein_coding,chr15
Btbd9,360964.0,protein_coding,chr17
Trpc5,306509.0,,
Clasp2,178209.0,,
Stk25,38908.0,,
Pou3f1,3848.0,protein_coding,chr4
Arhgef26,123877.0,,
Ccdc73,150099.0,,
Rit2,343801.0,,
Btaf1,86673.0,protein_coding,chr19
Slc16a7,170195.0,,
Negr1,754651.0,protein_coding,chr3
Dmxl2,136468.0,protein_coding,chr9
Rfx7,90697.0,,
Gm13944,18269.0,,
Clasp1,223620.0,,
Fau,1680.0,,
Gm4258,101789.0,processed_transcript,chr1
Prepl,26771.0,,
Nr6a1,204318.0,,
Rpl19,3782.0,,
Gls,69784.0,protein_coding,chr1
