start,end,2mo,9mo,18mo,gene_start,gene_end,gene_name,distance
4491370,4491376,0.38,0.28,0.49,4488931,4499354,Sox17,2439
8411126,8411131,0.59,0.49,0.69,8359475,9301878,Sntg1,51651
8565509,8565551,0.45,0.66,0.54,8359475,9301878,Sntg1,206034
8778571,8779531,0.6,0.74,0.8,8359475,9301878,Sntg1,419096
8939181,8939279,0.24,0.25,0.45,8359475,9301878,Sntg1,362697
9768741,9768860,0.32,0.25,0.45,9745648,9793922,1700034P13Rik,23093
10507677,10508586,0.6,0.7,0.85,10322720,10721945,Cpa6,184957
11175887,11175984,0.47,0.35,0.25,10991465,11305681,Prex2,129794
11240321,11240570,0.76,0.68,0.53,10991465,11305681,Prex2,65360
12754494,12754572,0.64,0.7,0.85,12690277,12863192,Sulf1,64217
12976023,12976034,0.81,0.64,0.86,12864549,12994650,Slco5a1,18627
14288664,14288739,0.31,0.33,0.53,14166954,14312235,Eya1,23571
14920748,14920872,0.44,0.37,0.58,14870648,14920862,Trpa1,114
16437680,16437687,0.72,0.72,0.36,16226674,16522112,Stau2,84432
18130023,18130167,0.41,0.62,0.59,18113191,18147902,Crisp4,16832
20099012,20099077,0.45,0.7,0.53,20055779,20620064,Pkhd1,43233
20307744,20307792,0.71,0.83,0.63,20055779,20620064,Pkhd1,251965
20911540,20911764,0.56,0.77,0.62,20888606,20941650,Paqr8,22934
20998160,20998171,0.29,0.39,0.19,20994299,21081229,Tram2,3861
21412057,21412060,0.53,0.64,0.83,21396403,21963942,Kcnq5,15654
21412063,21412066,0.55,0.6,0.77,21396403,21963942,Kcnq5,15660
22506195,22506300,0.75,0.64,0.84,22284251,22807724,Rims1,221944
22562555,22562780,0.72,0.84,0.63,22284251,22807724,Rims1,245169
23481993,23482002,0.77,0.87,0.66,23477539,23482527,Gm7784,534
24310233,24310367,0.55,0.56,0.34,24259890,24589472,Col19a1,50343
24566119,24566140,0.4,0.61,0.38,24259890,24589472,Col19a1,23353
24613783,24613796,0.06,0.27,0.05,24609535,24614410,Gm28439,627
24613783,24613796,0.06,0.27,0.05,24610407,24614700,Gm10222,917
24613783,24613796,0.06,0.27,0.05,24610775,24615119,Gm28438,1336
24613783,24613796,0.06,0.27,0.05,24611189,24615971,Gm28437,2188
24613783,24613796,0.06,0.27,0.05,24611974,24616651,Gm10925,1809
24613783,24613796,0.06,0.27,0.05,24612885,24617565,Gm28661,898
24613783,24613796,0.06,0.27,0.05,24613706,24618197,Gm29216,77
24724562,24724617,0.58,0.57,0.28,24676630,24768301,Lmbrd1,43739
25178992,25179000,0.52,0.73,0.5,25065476,25831707,Bai3,113516
25282703,25282739,0.95,0.74,0.86,25282218,25287248,RP23-21P2.3,485
25282703,25282739,0.95,0.74,0.86,25065476,25831707,Bai3,217227
25310709,25310874,0.34,0.46,0.55,25065476,25831707,Bai3,245233
25430722,25430827,0.21,0.15,0.42,25065476,25831707,Bai3,365246
25811586,25811598,0.45,0.26,0.56,25806956,25811972,RP23-184I13.7,386
25811586,25811598,0.45,0.26,0.56,25065476,25831707,Bai3,20121
33734785,33734808,0.72,0.84,0.63,33717887,33744564,Rab23,9779
34023250,34023271,0.77,0.82,0.6,33906225,34310661,Dst,117025
34023250,34023271,0.77,0.82,0.6,33906272,34309592,AC123072.1,116978
34065861,34065926,0.47,0.53,0.31,33906225,34310661,Dst,159636
34065861,34065926,0.47,0.53,0.31,33906272,34309592,AC123072.1,159589
34284214,34284221,0.45,0.57,0.66,33906225,34310661,Dst,26447
34284214,34284221,0.45,0.57,0.66,33906272,34309592,AC123072.1,25378
34692734,34692771,0.47,0.52,0.3,34676188,34815309,Arhgef4,16546
34759273,34759295,0.41,0.68,0.59,34676188,34815309,Arhgef4,56036
36131045,36131119,0.45,0.65,0.55,36130042,36140746,RP23-173H19.3,1003
36140438,36140452,0.29,0.51,0.4,36130042,36140746,RP23-173H19.3,308
36140438,36140452,0.29,0.51,0.4,36138027,36246720,Uggt1,2411
36222972,36222983,0.86,0.75,0.66,36138027,36246720,Uggt1,23748
36683482,36683507,0.36,0.45,0.57,36560692,36685183,Fam178b,1701
36831572,36831659,0.56,0.59,0.38,36790191,36945666,Tmem131,41381
36937298,36937310,0.44,0.63,0.42,36790191,36945666,Tmem131,8368
37319488,37319491,0.48,0.64,0.4,37297865,37412736,Inpp4a,21623
37917989,37918003,0.3,0.44,0.5,37903923,37918493,Lyg2,504
38108668,38108677,0.84,0.67,0.63,38050786,38131801,Rev1,23133
38496089,38496142,0.95,0.78,0.68,38175326,38666955,Aff3,170866
38545751,38545760,0.38,0.29,0.5,38175326,38666955,Aff3,121204
38628818,38628825,0.51,0.6,0.71,38175326,38666955,Aff3,38137
38895243,38895270,0.59,0.38,0.54,38861867,38900161,Chst10,4918
39575694,39575706,0.21,0.23,0.49,39571746,39575875,Gm23722,181
39575694,39575706,0.21,0.23,0.49,39549296,39579405,Rnf149,3711
39994170,39994223,0.82,0.58,0.72,39898913,40028310,Map4k4,34140
40116771,40116838,0.42,0.31,0.57,40072079,40127231,Il1r2,10460
41810251,41810254,0.3,0.38,0.51,41779808,41941560,Gm29260,30443
41889390,41889460,0.28,0.19,0.45,41779808,41941560,Gm29260,52170
42624986,42624997,0.43,0.54,0.32,42588782,42696842,Pantr1,36204
42727587,42727655,0.54,0.48,0.7,42692925,42746791,Gm20646,19204
43251344,43251363,0.41,0.54,0.25,43248156,43304925,Gm29040,3188
44682109,44682138,0.43,0.64,0.58,44549511,44798838,Gulp1,116729
46183505,46183585,0.79,0.7,0.91,46064315,46375546,Dnah7b,119190
46732384,46732634,0.84,0.7,0.91,46423592,46809476,Dnah7c,77092
46733551,46734084,0.46,0.63,0.4,46423592,46809476,Dnah7c,75925
50959464,50959489,0.6,0.7,0.8,50898647,51189270,Tmeff2,60817
51230116,51230153,0.45,0.44,0.22,51216386,51335779,9330175M20Rik,13730
51230192,51230211,0.52,0.51,0.29,51216386,51335779,9330175M20Rik,13806
52120378,52120401,0.51,0.35,0.55,52075261,52158087,Gm28177,37709
52120378,52120401,0.51,0.35,0.55,52117440,52163865,Stat1,2938
53169330,53170090,0.68,0.9,0.75,53156577,53189636,1700019A02Rik,12753
54690494,54690499,0.55,0.77,0.56,54679729,54769524,4930444A19Rik,10765
54690494,54690499,0.55,0.77,0.56,54643340,54928387,Ankrd44,47154
54791562,54792374,0.44,0.52,0.29,54643340,54928387,Ankrd44,136825
55273366,55273381,0.97,0.68,0.87,55246658,55365469,Boll,26708
55438595,55438602,0.35,0.14,0.32,55403921,55756285,Plcl1,34674
56991516,56991626,0.46,0.34,0.61,56969412,57052084,9130024F11Rik,22104
56996672,56996938,0.55,0.46,0.67,56969412,57052084,9130024F11Rik,27260
57034825,57034835,0.69,0.6,0.48,56969412,57052084,9130024F11Rik,17259
57040450,57040484,0.24,0.51,0.35,56969412,57052084,9130024F11Rik,11634
57293802,57293846,0.51,0.46,0.71,57289425,57294401,Gm5254,599
57520218,57520238,0.74,0.96,0.97,57516523,57521412,Gm8581,1194
57520218,57520238,0.74,0.96,0.97,57518831,57525642,RP23-433B11.1,1387
58065905,58065954,0.47,0.65,0.44,58027931,58108413,Aox1,37974
58112774,58112870,0.31,0.39,0.53,58111130,58202698,Aox3,1644
58162944,58163119,0.7,0.91,0.76,58111130,58202698,Aox3,39754
58647124,58647131,0.92,1.0,0.61,58644688,58649239,Gm10068,2115
58647124,58647131,0.92,1.0,0.61,58644903,58697989,Als2cr12,2221
58796348,58796363,0.18,0.29,0.44,58793374,58849503,Casp8,2974
58796348,58796363,0.18,0.29,0.44,58795783,58803623,RP24-273P12.4,565
58859287,58859297,0.36,0.43,0.6,58848085,58894792,Gm28802,11202
58877013,58877018,0.84,0.74,0.94,58848085,58894792,Gm28802,17779
59077134,59077316,0.73,0.9,0.67,59048506,59096900,Als2cr11,19766
59111730,59111768,0.95,1.0,0.78,59098590,59122408,Tmem237,10678
59340969,59340977,0.48,0.28,0.35,59254906,59354993,Cdk15,14024
59486304,59486601,0.64,0.61,0.44,59480424,59488955,Fzd7,2651
59486304,59486601,0.64,0.61,0.44,59486480,59494605,Gm26813,176
59492444,59492625,0.56,0.45,0.31,59486480,59494605,Gm26813,2161
59593214,59593271,0.31,0.54,0.4,59514264,59638417,Gm973,45203
59593214,59593271,0.31,0.54,0.4,59584558,59672834,Sumo1,8656
60522933,60522984,0.33,0.54,0.58,60520839,60525066,Gm11575,2094
60522933,60522984,0.33,0.54,0.58,60480292,60569104,Raph1,42641
61376593,61376599,0.71,0.65,0.86,61376432,61397904,9530026F06Rik,161
62168578,62168621,0.68,0.87,0.66,61636824,62644284,Pard3b,475706
62805952,62805982,0.43,0.4,0.61,62701285,62820695,Nrp2,14743
63212346,63212630,0.82,0.88,0.62,63180691,63216543,Gpr1,4197
63265074,63265144,0.58,0.63,0.35,63264848,63275120,Gm11608,226
63266491,63266510,0.49,0.55,0.7,63264848,63275120,Gm11608,1643
63269420,63269714,0.31,0.35,0.53,63264848,63275120,Gm11608,4572
63309520,63309530,0.17,0.09,0.31,63271265,63316576,Zdbf2,7056
63448861,63448999,0.41,0.3,0.2,63443891,63598276,Adam23,4970
63450057,63450612,0.51,0.39,0.25,63443891,63598276,Adam23,6166
63530747,63531184,0.44,0.64,0.44,63443891,63598276,Adam23,67529
63549079,63549102,0.54,0.43,0.3,63443891,63598276,Adam23,49197
63642383,63642423,0.51,0.4,0.64,63620851,63688927,Dytn,21532
63721862,63722020,0.55,0.76,0.59,63696819,63732318,Mdh1b,10456
65115185,65115191,0.39,0.45,0.23,65098619,65121558,Gm28845,6373
65115185,65115191,0.39,0.45,0.23,65103285,65125214,D630023F18Rik,10029
66505886,66505963,0.75,0.63,0.9,66466367,66701866,Unc80,39519
66519312,66519367,0.5,0.62,0.37,66466367,66701866,Unc80,52945
66674240,66674280,0.66,0.47,0.68,66466367,66701866,Unc80,27626
67017778,67017795,0.76,0.86,0.63,66998517,67040872,Lancl1,19261
68239658,68240872,0.66,0.57,0.77,68030186,69110059,Erbb4,209472
68619703,68619922,0.35,0.32,0.52,68030186,69110059,Erbb4,490356
68770825,68770918,0.76,0.86,0.65,68030186,69110059,Erbb4,339234
68817963,68818141,0.67,0.72,0.52,68030186,69110059,Erbb4,292096
68858509,68858738,0.67,0.78,0.57,68030186,69110059,Erbb4,251550
69046407,69046418,0.31,0.55,0.49,68030186,69110059,Erbb4,63652
69672226,69672335,0.39,0.56,0.61,69529214,69689245,Ikzf2,17019
71568486,71568563,0.34,0.52,0.57,71555150,71581631,Atic,13145
71842987,71843035,0.55,0.74,0.53,71841090,71848610,RP23-214P23.1,1897
73796383,73796747,0.53,0.71,0.84,73616088,73866466,6030407O03Rik,70083
73796383,73796747,0.53,0.71,0.84,73748321,73843917,Gm29183,47534
73947749,73947834,0.51,0.6,0.39,73908231,74126449,Tns1,39518
74068017,74068023,0.54,0.65,0.81,73908231,74126449,Tns1,58432
74408407,74408430,0.39,0.43,0.21,74407376,74437559,Vil1,1031
75235778,75235865,0.54,0.72,0.5,75234406,75247692,Dnajb2,1372
75382925,75382938,0.38,0.21,0.18,75373297,75434320,Speg,9628
75422509,75422542,0.46,0.54,0.33,75373297,75434320,Speg,11811
77371544,77371618,0.59,0.8,0.7,77365185,77517088,Epha4,6359
77374022,77374119,0.48,0.64,0.69,77365185,77517088,Epha4,8837
77383174,77383178,0.45,0.62,0.72,77365185,77517088,Epha4,17989
77507356,77507415,0.5,0.79,0.71,77365185,77517088,Epha4,9732
78158150,78158158,0.28,0.49,0.38,78099267,78199134,Pax3,40984
78173743,78173814,0.49,0.44,0.64,78099267,78199134,Pax3,25391
78174292,78174563,0.63,0.71,0.83,78099267,78199134,Pax3,24842
78338217,78338222,0.49,0.49,0.69,78323628,78342106,Gm28410,3889
78338217,78338222,0.49,0.49,0.69,78308345,78422289,Sgpp2,29872
78510345,78510390,0.6,0.4,0.62,78495026,78514158,BC035947,3813
78510345,78510390,0.6,0.4,0.62,78508991,78540173,Mogat1,1354
78519628,78519784,0.64,0.86,0.75,78508991,78540173,Mogat1,10637
80333814,80334266,0.61,0.83,0.71,80262923,80342480,Cul3,8666
80380977,80381006,0.82,0.57,0.73,80380822,80388251,Gm29125,155
81132366,81132397,0.38,0.54,0.32,81074950,81343764,Nyap2,57416
81166564,81166654,0.6,0.73,0.53,81074950,81343764,Nyap2,91614
82360936,82360989,0.53,0.65,0.73,82314452,82447366,Rhbdd1,46484
82453170,82453174,0.29,0.5,0.34,82446423,82588849,Col4a4,6747
82608516,82608564,0.34,0.57,0.48,82584921,82724059,Col4a3,23595
82635022,82635025,0.28,0.24,0.45,82633013,82637110,n-R5s213,2009
82635022,82635025,0.28,0.24,0.45,82584921,82724059,Col4a3,50101
83037201,83037225,0.47,0.39,0.62,83010523,83040448,Slc19a3,3247
83312110,83312228,0.44,0.6,0.38,83252139,83410200,Sphkap,59971
83345286,83345522,0.2,0.22,0.41,83252139,83410200,Sphkap,64914
85022501,85022705,0.92,0.71,0.92,84990690,85272566,C130026I21Rik,31811
