geneslop2k,pvalue,corrected_pvalue,18mo,2mo,9mo,gene_length,DMG,gene_name
ENSMUSG00000086220.1,3.9170570502863074e-11,8.897661179459726e-07,1.4979701042175293,1.28866708278656,1.4701977968215942,142898,-1,Gm16599
ENSMUSG00000000708.14,1.6935091012764864e-07,0.0012983066427143,0.943351149559021,0.8107525706291199,0.9290484189987184,105859,-1,Kat2b
ENSMUSG00000022790.14,2.1826387552173907e-08,0.0002231055341368,0.8717989325523376,0.7233853340148926,0.8576679229736328,134488,-1,Igsf11
ENSMUSG00000040606.13,9.307648243893446e-09,0.000124097165378,0.8379175662994385,0.7238702774047852,0.8187676668167114,137011,-1,Kazn
ENSMUSG00000029094.12,1.3256754614422905e-12,4.34624255353992e-08,0.4964312016963959,0.3603618741035461,0.4715708792209625,110604,-1,Afap1
ENSMUSG00000104369.1,3.624604243605966e-08,0.0003488736448866,1.3306682109832764,1.0894287824630735,1.2209144830703735,6881,-1,Gm38082
ENSMUSG00000051910.13,1.145072307644715e-09,2.2654315743188133e-05,1.0745577812194824,0.8727077841758728,1.0139120817184448,567924,-1,Sox6
ENSMUSG00000001995.9,4.182298567671571e-09,7.544246104667351e-05,0.7380480766296387,0.5899556875228882,0.7018994092941284,151745,-1,Sipa1l2
ENSMUSG00000095074.4,1.7900576555492017e-29,5.489297325392385e-24,0.9813601970672609,0.8623763918876648,0.971362829208374,20136,-1,Gm3139
ENSMUSG00000043987.18,1.5486362019772393e-08,0.0001758876630917,0.8117042779922485,0.7065632939338684,0.7990475296974182,61745,-1,Cep164
ENSMUSG00000022494.15,9.652340422500773e-08,0.0008579525527888,0.7449445128440857,0.6026486754417419,0.6702954173088074,286789,-1,Shisa9
ENSMUSG00000038319.14,9.676937414662871e-07,0.0053954165314301,0.8306559920310974,0.6991092562675476,0.8145835399627686,32015,-1,Kcnh2
ENSMUSG00000052353.13,1.784674995368112e-07,0.0013348271075064,0.6914854645729065,0.5637826919555664,0.6812235713005066,153645,-1,Cemip
ENSMUSG00000031093.14,2.0136517943937227e-08,0.0002093206588118,0.9939342737197876,0.8266582489013672,0.9690582752227784,187730,-1,Dock11
ENSMUSG00000004040.16,8.219815608140852e-08,0.0007413663907467,1.060863375663757,0.9219409227371216,0.9991539120674132,54442,-1,Stat3
ENSMUSG00000010066.15,9.776069189156086e-07,0.0054015825667797,0.7603374123573303,0.6305795311927795,0.7389650940895081,129731,-1,Cacna2d2
ENSMUSG00000020919.11,1.1618635455603695e-06,0.0062507194272061,1.0349326133728027,0.9028630256652832,0.9904754161834716,69993,-1,Stat5b
ENSMUSG00000029705.17,6.394473332240576e-13,2.614527731450218e-08,1.4388267993927002,1.2375484704971311,1.421399474143982,319355,-1,Cux1
ENSMUSG00000095280.1,1.451151405794988e-11,3.869587059474212e-07,1.061405062675476,0.9051885604858398,1.0373107194900513,3073,-1,Gm21738
ENSMUSG00000020042.15,1.5945027699063476e-11,4.074682437855275e-07,0.7095364928245544,0.5661344528198242,0.6848405003547668,273478,-1,Btbd11
ENSMUSG00000044813.15,1.2210779331583541e-08,0.0001528364825386,1.0025787353515625,0.8544318079948425,0.9504859447479248,109192,-1,Shb
ENSMUSG00000039046.15,7.776294704348704e-07,0.0046303649016599,1.1073992252349854,0.9811689853668212,1.1006500720977783,123723,-1,Usp6nl
ENSMUSG00000060424.14,7.168129435920352e-08,0.0006561615340668,1.867729663848877,2.0655903816223145,1.9063345193862915,104060,1,Pantr1
ENSMUSG00000027674.16,3.6405617802325955e-08,0.0003488736448866,2.1722123622894287,2.3898813724517822,2.2623794078826904,193839,1,Pex5l
ENSMUSG00000022762.18,1.6157195901020206e-07,0.0012543497008215,1.2253186702728271,1.3341083526611328,1.2385663986206057,426131,1,Ncam2
ENSMUSG00000097311.7,1.448212714597777e-07,0.001153509995178,1.74424147605896,1.9377152919769287,1.8001948595046997,99698,1,Gm26871
ENSMUSG00000028525.16,6.7267417997282604e-09,0.000100074522498,1.912429690361023,2.0250492095947266,1.9367539882659912,519716,1,Pde4b
ENSMUSG00000049690.15,1.6138072017981452e-08,0.0001772631879865,2.0837788581848145,2.2018373012542725,2.129950523376465,917179,1,Nckap5
ENSMUSG00000090386.10,2.740492680239873e-07,0.0018269242908927,1.133643388748169,1.2384166717529297,1.1665266752243042,537110,1,Mir99ahg
