gene_name,gene_length,gene_type,gene_chr
Nr6a1,204318.0,protein_coding,chr2
Ralyl,710632.0,,
Gpc5,1432964.0,protein_coding,chr14
Skap2,155127.0,protein_coding,chr6
Cdh18,925396.0,protein_coding,chr15
Scel,99455.0,protein_coding,chr14
Pbx3,201685.0,,
Pcdh9,877269.0,protein_coding,chr14
Ebf1,390774.0,protein_coding,chr11
Mgat4c,709982.0,,
Dmd,2257271.0,,
Xist,22888.0,,
Nfib,415577.0,protein_coding,chr4
Sema3e,231413.0,protein_coding,chr5
Cntn4,1021650.0,,
Oxr1,413566.0,protein_coding,chr15
Gria1,318857.0,protein_coding,chr11
Hs6st3,731474.0,protein_coding,chr14
Ryr2,553843.0,protein_coding,chr13
Plce1,303921.0,,
Dlg2,1972575.0,protein_coding,chr7
Lrrc4c,1313497.0,protein_coding,chr2
Cdh19,89258.0,protein_coding,chr1
Slit3,587283.0,protein_coding,chr11
Caln1,477957.0,protein_coding,chr5
Slc24a2,247353.0,protein_coding,chr4
Cpq,511423.0,,
Clstn2,588786.0,,
Schip1,561679.0,protein_coding,chr3
Robo2,519986.0,protein_coding,chr16
Grm1,396297.0,,
Tenm4,739847.0,protein_coding,chr7
Rhoj,93134.0,protein_coding,chr12
Cntnap5a,902567.0,protein_coding,chr1
Grin2a,427662.0,,
Celf4,276525.0,,
Utrn,487177.0,protein_coding,chr10
Ano3,295722.0,protein_coding,chr2
Atrnl1,522309.0,protein_coding,chr19
Mctp1,647275.0,,
Zbtb20,766721.0,protein_coding,chr16
Spock3,406094.0,protein_coding,chr8
A230006K03Rik,183725.0,,
Cobl,228352.0,protein_coding,chr11
Epha6,952048.0,protein_coding,chr16
Etl4,900933.0,protein_coding,chr2
Zfp385b,409005.0,protein_coding,chr2
Pcsk1n,4588.0,,
Cd9,34525.0,protein_coding,chr6
Tcf12,269183.0,,
Arap2,163714.0,,
Kcnd2,514302.0,protein_coding,chr6
Grik2,693933.0,,
Meg3,30725.0,,
Pcsk2,270129.0,protein_coding,chr2
Kcnb2,436496.0,protein_coding,chr1
Cdh8,392000.0,,
C1ql1,7424.0,protein_coding,chr11
Hcn1,385098.0,,
Rian,57908.0,processed_transcript,chr12
Mir99ahg,537110.0,processed_transcript,chr16
Rbfox3,421835.0,protein_coding,chr11
Galntl6,1138588.0,,
Cntn5,1243884.0,,
Rcan2,238165.0,protein_coding,chr17
Kdm6a,117361.0,,
Eya1,141281.0,protein_coding,chr1
Ctnnd2,856748.0,protein_coding,chr15
Syt1,513332.0,protein_coding,chr10
Rpl13,2894.0,,
Nckap5,917179.0,protein_coding,chr1
Nova1,124412.0,,
Grb14,112511.0,protein_coding,chr2
Csmd3,1211426.0,protein_coding,chr15
Camk2a,62534.0,,
Csmd1,1643049.0,protein_coding,chr8
Unc5d,572919.0,,
Egfem1,609186.0,protein_coding,chr3
Brinp3,407712.0,protein_coding,chr1
Cacna1e,493770.0,protein_coding,chr1
Klhl4,86496.0,,
Aff3,487629.0,,
Agbl4,1266663.0,protein_coding,chr4
Cpeb1,108439.0,,
Camk1d,421058.0,protein_coding,chr2
Maf,24852.0,protein_coding,chr8
Cntn1,290802.0,protein_coding,chr15
Ar,174446.0,protein_coding,chrX
Arhgef28,306970.0,protein_coding,chr13
Snap25,68975.0,,
Grid2,1448447.0,protein_coding,chr6
