gene_name,gene_length,gene_type,gene_chr
Xkr4,465597.0,protein_coding,chr1
Gm1992,46966.0,antisense,chr1
Mrpl15,12533.0,protein_coding,chr1
Lypla1,40622.0,,
Tcea1,40095.0,protein_coding,chr1
Rgs20,160709.0,protein_coding,chr1
Atp6v1h,92511.0,protein_coding,chr1
Rb1cc1,70451.0,protein_coding,chr1
4732440D04Rik,5427.0,antisense,chr1
St18,373709.0,protein_coding,chr1
Pcmtd1,84708.0,protein_coding,chr1
Gm26901,48463.0,lincRNA,chr1
Sntg1,938403.0,protein_coding,chr1
Rrs1,2047.0,,
Adhfe1,32725.0,,
2610203C22Rik,70343.0,processed_transcript,chr1
Mybl1,32794.0,protein_coding,chr1
Vcpip1,29760.0,protein_coding,chr1
1700034P13Rik,44276.0,antisense,chr1
Sgk3,102738.0,,
Mcmdc2,33447.0,protein_coding,chr1
Snhg6,2159.0,lincRNA,chr1
Ppp1r42,40512.0,,
Cops5,13567.0,protein_coding,chr1
Cspp1,98781.0,protein_coding,chr1
Arfgef1,95099.0,protein_coding,chr1
Cpa6,395225.0,protein_coding,chr1
Prex2,310216.0,protein_coding,chr1
A830018L16Rik,561796.0,protein_coding,chr1
Sulf1,168915.0,protein_coding,chr1
Slco5a1,126101.0,protein_coding,chr1
Ncoa2,234978.0,protein_coding,chr1
Gm29570,12343.0,,
Tram1,25212.0,,
Lactb2,37216.0,protein_coding,chr1
Eya1,141281.0,protein_coding,chr1
Gm9947,23994.0,antisense,chr1
Msc,2646.0,protein_coding,chr1
Trpa1,46214.0,protein_coding,chr1
Kcnb2,436496.0,protein_coding,chr1
Terf1,38406.0,protein_coding,chr1
Sbspon,38860.0,,
4930444P10Rik,27346.0,,
Rpl7,3367.0,protein_coding,chr1
Rdh10,27960.0,protein_coding,chr1
Gm28095,15556.0,antisense,chr1
Stau2,291438.0,protein_coding,chr1
Gm7568,14329.0,,
Ube2w,78699.0,protein_coding,chr1
Tmem70,13068.0,,
Ly96,21560.0,,
Gm28376,193446.0,antisense,chr1
Jph1,133329.0,protein_coding,chr1
Gdap1,18909.0,,
Gm28784,4700.0,,
Gm28154,25997.0,,
Gm16070,51619.0,antisense,chr1
Crispld1,39299.0,protein_coding,chr1
Gm28153,63502.0,,
Gm28756,64594.0,transcribed_unprocessed_pseudogene,chr1
Pkhd1,560285.0,protein_coding,chr1
Paqr8,49044.0,protein_coding,chr1
Efhc1,39215.0,,
Tram2,82930.0,,
Tmem14a,11592.0,,
Gsta3,25072.0,,
Gm28836,21234.0,,
Kcnq5,563539.0,protein_coding,chr1
Rims1,519743.0,protein_coding,chr1
