chr,start,end,dmr_id,2mo,9mo,18mo,gene_chr,gene_start,gene_end,gene_id,gene_strand,gene_name,gene_type,old-young
chr1,6846251,6846299,chr1-6846251-6846299,0.81,0.68,0.56,chr1,6485231,6862940,ENSMUSG00000033740.13,+,St18,protein_coding,-0.25
chr1,9169723,9169728,chr1-9169723-9169728,0.76,0.6,0.51,chr1,8359475,9301878,ENSMUSG00000025909.12,-,Sntg1,protein_coding,-0.25
chr1,10148905,10148983,chr1-10148905-10148983,0.73,0.58,0.53,chr1,10135571,10234670,ENSMUSG00000067851.7,-,Arfgef1,protein_coding,-0.19999999999999996
chr1,10164948,10165945,chr1-10164948-10165945,0.53,0.35,0.2,chr1,10164539,10168778,ENSMUSG00000088153.1,+,Gm26348,misc_RNA,-0.33
chr1,10164948,10165945,chr1-10164948-10165945,0.53,0.35,0.2,chr1,10135571,10234670,ENSMUSG00000067851.7,-,Arfgef1,protein_coding,-0.33
chr1,12806641,12806697,chr1-12806641-12806697,0.26,0.41,0.48,chr1,12690277,12863192,ENSMUSG00000016918.11,+,Sulf1,protein_coding,0.21999999999999997
chr1,13192043,13192080,chr1-13192043-13192080,0.75,0.61,0.54,chr1,13137105,13376083,ENSMUSG00000005886.10,-,Ncoa2,protein_coding,-0.20999999999999996
chr1,13259663,13259747,chr1-13259663-13259747,0.85,0.74,0.63,chr1,13137105,13376083,ENSMUSG00000005886.10,-,Ncoa2,protein_coding,-0.21999999999999997
chr1,15424402,15424639,chr1-15424402-15424639,0.59,0.5,0.36,chr1,15285254,15725750,ENSMUSG00000092083.4,+,Kcnb2,protein_coding,-0.22999999999999998
chr1,16997243,16997421,chr1-16997243-16997421,0.6,0.52,0.39,chr1,16896185,17093631,ENSMUSG00000101640.1,+,Gm28376,antisense,-0.20999999999999996
chr1,16997243,16997421,chr1-16997243-16997421,0.6,0.52,0.39,chr1,16962560,17099889,ENSMUSG00000042686.5,-,Jph1,protein_coding,-0.20999999999999996
chr1,21462161,21462164,chr1-21462161-21462164,0.73,0.61,0.49,chr1,21396403,21963942,ENSMUSG00000028033.12,-,Kcnq5,protein_coding,-0.24
chr1,21491869,21492056,chr1-21491869-21492056,0.9,0.78,0.7,chr1,21396403,21963942,ENSMUSG00000028033.12,-,Kcnq5,protein_coding,-0.20000000000000007
chr1,22579520,22579700,chr1-22579520-22579700,0.77,0.62,0.51,chr1,22284251,22807724,ENSMUSG00000041670.11,-,Rims1,protein_coding,-0.26
chr1,22737688,22737701,chr1-22737688-22737701,0.62,0.49,0.32,chr1,22284251,22807724,ENSMUSG00000041670.11,-,Rims1,protein_coding,-0.3
chr1,22797217,22797261,chr1-22797217-22797261,0.68,0.48,0.44,chr1,22284251,22807724,ENSMUSG00000041670.11,-,Rims1,protein_coding,-0.24000000000000005
chr1,23119708,23119722,chr1-23119708-23119722,0.41,0.34,0.21,chr1,23046295,23237673,ENSMUSG00000101227.1,-,Gm29506,sense_overlapping,-0.19999999999999998
chr1,23923616,23923741,chr1-23923616-23923741,0.85,0.68,0.63,chr1,23842846,23924317,ENSMUSG00000026155.9,-,Smap1,protein_coding,-0.21999999999999997
chr1,24066817,24066861,chr1-24066817-24066861,0.61,0.45,0.41,chr1,24009093,24102341,ENSMUSG00000026153.11,-,Fam135a,protein_coding,-0.2
chr1,24615186,24615241,chr1-24615186-24615241,0.29,0.0,0.11,chr1,24611189,24615971,ENSMUSG00000101111.1,-,Gm28437,unprocessed_pseudogene,-0.18
chr1,24615186,24615241,chr1-24615186-24615241,0.29,0.0,0.11,chr1,24611974,24616651,ENSMUSG00000100862.1,-,Gm10925,unprocessed_pseudogene,-0.18
chr1,24615186,24615241,chr1-24615186-24615241,0.29,0.0,0.11,chr1,24612885,24617565,ENSMUSG00000102070.1,-,Gm28661,unprocessed_pseudogene,-0.18
chr1,24615186,24615241,chr1-24615186-24615241,0.29,0.0,0.11,chr1,24613706,24618197,ENSMUSG00000101249.1,-,Gm29216,unprocessed_pseudogene,-0.18
chr1,25543451,25543461,chr1-25543451-25543461,0.55,0.4,0.32,chr1,25065476,25831707,ENSMUSG00000033569.13,-,Bai3,protein_coding,-0.23000000000000004
chr1,25579208,25579470,chr1-25579208-25579470,0.59,0.42,0.3,chr1,25065476,25831707,ENSMUSG00000033569.13,-,Bai3,protein_coding,-0.29
chr1,30842014,30842018,chr1-30842014-30842018,0.7,0.58,0.47,chr1,30800339,30875921,ENSMUSG00000048874.11,-,Phf3,protein_coding,-0.22999999999999998
chr1,32443890,32443920,chr1-32443890-32443920,0.65,0.55,0.42,chr1,32170714,32660568,ENSMUSG00000026058.7,+,Khdrbs2,protein_coding,-0.23000000000000004
chr1,32639051,32639135,chr1-32639051-32639135,0.52,0.37,0.31,chr1,32170714,32660568,ENSMUSG00000026058.7,+,Khdrbs2,protein_coding,-0.21000000000000002
chr1,33454432,33454438,chr1-33454432-33454438,0.71,0.64,0.43,chr1,33451810,33671795,ENSMUSG00000026134.11,-,Prim2,protein_coding,-0.27999999999999997
chr1,33512975,33513149,chr1-33512975-33513149,0.6,0.46,0.31,chr1,33451810,33671795,ENSMUSG00000026134.11,-,Prim2,protein_coding,-0.29
chr1,33529921,33530593,chr1-33529921-33530593,0.68,0.54,0.47,chr1,33451810,33671795,ENSMUSG00000026134.11,-,Prim2,protein_coding,-0.21000000000000008
chr1,33989800,33989973,chr1-33989800-33989973,0.67,0.48,0.37,chr1,33906225,34310661,ENSMUSG00000026131.13,+,Dst,protein_coding,-0.30000000000000004
chr1,33989800,33989973,chr1-33989800-33989973,0.67,0.48,0.37,chr1,33906272,34309592,ENSMUSG00000103888.1,+,AC123072.1,protein_coding,-0.30000000000000004
chr1,34132852,34132924,chr1-34132852-34132924,0.84,0.74,0.54,chr1,33906225,34310661,ENSMUSG00000026131.13,+,Dst,protein_coding,-0.29999999999999993
chr1,34132852,34132924,chr1-34132852-34132924,0.84,0.74,0.54,chr1,33906272,34309592,ENSMUSG00000103888.1,+,AC123072.1,protein_coding,-0.29999999999999993
chr1,34132985,34133088,chr1-34132985-34133088,0.66,0.52,0.38,chr1,33906225,34310661,ENSMUSG00000026131.13,+,Dst,protein_coding,-0.28
chr1,34132985,34133088,chr1-34132985-34133088,0.66,0.52,0.38,chr1,33906272,34309592,ENSMUSG00000103888.1,+,AC123072.1,protein_coding,-0.28
chr1,34136783,34136904,chr1-34136783-34136904,0.63,0.43,0.25,chr1,33906225,34310661,ENSMUSG00000026131.13,+,Dst,protein_coding,-0.38
chr1,34136783,34136904,chr1-34136783-34136904,0.63,0.43,0.25,chr1,33906272,34309592,ENSMUSG00000103888.1,+,AC123072.1,protein_coding,-0.38
chr1,34148131,34148308,chr1-34148131-34148308,0.75,0.6,0.47,chr1,33906225,34310661,ENSMUSG00000026131.13,+,Dst,protein_coding,-0.28
chr1,34148131,34148308,chr1-34148131-34148308,0.75,0.6,0.47,chr1,33906272,34309592,ENSMUSG00000103888.1,+,AC123072.1,protein_coding,-0.28
chr1,34186289,34186332,chr1-34186289-34186332,0.6,0.46,0.39,chr1,33906225,34310661,ENSMUSG00000026131.13,+,Dst,protein_coding,-0.20999999999999996
chr1,34186289,34186332,chr1-34186289-34186332,0.6,0.46,0.39,chr1,33906272,34309592,ENSMUSG00000103888.1,+,AC123072.1,protein_coding,-0.20999999999999996
chr1,34215852,34215866,chr1-34215852-34215866,0.56,0.5,0.36,chr1,33906225,34310661,ENSMUSG00000026131.13,+,Dst,protein_coding,-0.20000000000000007
chr1,34215852,34215866,chr1-34215852-34215866,0.56,0.5,0.36,chr1,33906272,34309592,ENSMUSG00000103888.1,+,AC123072.1,protein_coding,-0.20000000000000007
chr1,34297795,34297807,chr1-34297795-34297807,0.71,0.6,0.47,chr1,33906225,34310661,ENSMUSG00000026131.13,+,Dst,protein_coding,-0.24
chr1,34297795,34297807,chr1-34297795-34297807,0.71,0.6,0.47,chr1,33906272,34309592,ENSMUSG00000103888.1,+,AC123072.1,protein_coding,-0.24
chr1,34812990,34812993,chr1-34812990-34812993,0.42,0.28,0.19,chr1,34807361,34813908,ENSMUSG00000104002.1,-,RP23-348C6.3,TEC,-0.22999999999999998
chr1,34812990,34812993,chr1-34812990-34812993,0.42,0.28,0.19,chr1,34811219,34845065,ENSMUSG00000037503.8,-,Fam168b,protein_coding,-0.22999999999999998
chr1,34812990,34812993,chr1-34812990-34812993,0.42,0.28,0.19,chr1,34676188,34815309,ENSMUSG00000037509.14,+,Arhgef4,protein_coding,-0.22999999999999998
chr1,36828785,36828802,chr1-36828785-36828802,0.6,0.44,0.38,chr1,36790191,36945666,ENSMUSG00000026116.7,-,Tmem131,protein_coding,-0.21999999999999997
chr1,37065756,37065802,chr1-37065756-37065802,0.66,0.58,0.42,chr1,37024596,37189613,ENSMUSG00000050122.14,+,Vwa3b,protein_coding,-0.24000000000000005
