start,end,2mo,9mo,18mo,gene_start,gene_end,gene_name,distance
3439943,3440265,0.62,0.5,0.8,3203901,3673498,Xkr4,233555
5022934,5022941,0.85,0.85,0.64,4907576,5072285,Rgs20,49351
9570438,9570455,0.89,0.82,0.69,9545948,9582673,Adhfe1,12235
9570438,9570455,0.89,0.82,0.69,9558832,9633175,2610203C22Rik,11606
9743819,9743856,0.83,0.74,0.97,9716622,9750382,Vcpip1,6563
9993933,9994049,0.97,0.86,0.75,9966624,10011136,Ppp1r42,17203
9993933,9994049,0.97,0.86,0.75,9980387,9994366,Gm15818,433
10193298,10193316,0.18,0.4,0.15,10135571,10234670,Arfgef1,41372
12785510,12785523,0.31,0.51,0.18,12690277,12863192,Sulf1,77682
12865509,12865547,0.53,0.5,0.73,12864549,12994650,Slco5a1,960
13057772,13057775,0.74,0.48,0.79,13057401,13061951,RP24-178B14.2,371
13170665,13170668,0.39,0.4,0.7,13137105,13376083,Ncoa2,33560
13178928,13178944,0.46,0.63,0.79,13175462,13181714,RP23-93D12.2,2786
13178928,13178944,0.46,0.63,0.79,13137105,13376083,Ncoa2,41823
13202804,13202812,0.2,0.34,0.44,13137105,13376083,Ncoa2,65699
13329498,13329502,0.88,0.91,0.71,13137105,13376083,Ncoa2,46585
13362520,13362814,0.62,0.49,0.78,13137105,13376083,Ncoa2,13563
13566325,13566364,0.14,0.28,0.41,13562698,13591910,Tram1,3627
13577365,13577392,0.08,0.31,0.31,13562698,13591910,Tram1,14545
13579552,13579556,0.43,0.49,0.74,13562698,13591910,Tram1,12358
14179369,14179396,0.84,0.89,0.67,14166954,14312235,Eya1,12415
16356729,16356793,0.69,0.8,0.52,16226674,16522112,Stau2,130055
16520735,16520756,0.72,0.71,0.92,16226674,16522112,Stau2,1377
17043141,17043201,0.91,0.76,0.71,16896185,17093631,Gm28376,50490
17043141,17043201,0.91,0.76,0.71,16962560,17099889,Jph1,56748
17077681,17077821,0.95,0.72,0.91,16896185,17093631,Gm28376,15950
17077681,17077821,0.95,0.72,0.91,16962560,17099889,Jph1,22208
17089105,17089485,0.92,0.84,0.72,16896185,17093631,Gm28376,4526
17089105,17089485,0.92,0.84,0.72,16962560,17099889,Jph1,10784
19242235,19242241,0.44,0.31,0.55,19240725,19245769,Gm28340,1510
21272143,21272206,0.54,0.79,0.7,21270403,21274906,Gm7094,1740
21272143,21272206,0.54,0.79,0.7,21248359,21273593,Gm28836,1450
22514291,22514294,0.13,0.44,0.29,22284251,22807724,Rims1,230040
22719984,22720285,0.07,0.31,0.26,22284251,22807724,Rims1,87740
23115679,23115877,0.39,0.2,0.46,23046295,23237673,Gm29506,69384
23215106,23215113,0.84,0.55,0.69,23046295,23237673,Gm29506,22567
