gene_name,gene_length,gene_type,gene_chr
Meg3,30725.0,,
Tsix,53440.0,antisense,chrX
Cacna1a,301607.0,protein_coding,chr8
Slc17a7,12193.0,protein_coding,chr7
Grin1,28006.0,protein_coding,chr2
Ube3a,82786.0,protein_coding,chr7
Tmem132a,12118.0,,
Snrnp70,19289.0,protein_coding,chr7
Rnf112,5689.0,,
Grik5,62497.0,protein_coding,chr7
Matk,10430.0,,
Mapt,100700.0,protein_coding,chr11
Garnl3,145430.0,protein_coding,chr2
Pabpn1,5669.0,,
Lmo4,16690.0,protein_coding,chr3
Srcin1,66846.0,protein_coding,chr11
Csmd2,579799.0,protein_coding,chr4
Syt7,64090.0,protein_coding,chr19
Nrg3os,60492.0,,
Ptprn,17475.0,protein_coding,chr1
Rbfox3,421835.0,protein_coding,chr11
Igsf21,219938.0,protein_coding,chr4
Srrm3,67882.0,protein_coding,chr5
Adcy1,115017.0,protein_coding,chr11
Miat,16167.0,lincRNA,chr5
Dlg4,30580.0,protein_coding,chr11
Cdk9,7292.0,,
Olfm1,37744.0,protein_coding,chr2
Kcnq2,59721.0,protein_coding,chr2
Tmem63b,26734.0,protein_coding,chr17
Atp6v0b,3007.0,protein_coding,chr4
Pde4a,47534.0,protein_coding,chr9
Lmtk3,20406.0,protein_coding,chr7
Dgkz,43040.0,protein_coding,chr2
Cpt1c,15479.0,protein_coding,chr7
Celf4,276525.0,protein_coding,chr18
Sv2a,14370.0,,
Camkv,14017.0,,
Sez6,48248.0,protein_coding,chr11
Syt11,30464.0,protein_coding,chr3
Lztr1,17645.0,,
Rasal1,30785.0,protein_coding,chr5
Pacsin1,55973.0,protein_coding,chr17
Celf5,23482.0,protein_coding,chr10
Elavl3,37018.0,protein_coding,chr9
Sdk2,290672.0,protein_coding,chr11
Zbtb20,766721.0,protein_coding,chr16
Rundc3a,9152.0,protein_coding,chr11
Baiap2,64019.0,protein_coding,chr11
Rph3a,69593.0,protein_coding,chr5
Prkcg,41920.0,protein_coding,chr7
Nav2,701374.0,protein_coding,chr7
Kifc2,8338.0,protein_coding,chr15
Fgfr2,2960899.0,protein_coding,chr7
Plekhg5,42902.0,protein_coding,chr4
Pde2a,91136.0,protein_coding,chr7
Nptx1,9034.0,protein_coding,chr11
Atp2b2,298782.0,protein_coding,chr6
Sorbs2os,95972.0,antisense,chr8
Camk2a,62534.0,protein_coding,chr18
Shank1,50319.0,protein_coding,chr7
Efhd2,16778.0,protein_coding,chr4
Ephb6,15027.0,protein_coding,chr6
Camk2b,96718.0,protein_coding,chr11
Atp1a3,27791.0,protein_coding,chr7
Prkcb,345651.0,protein_coding,chr7
Unc13a,47340.0,,
Nrbp2,6109.0,,
Col23a1,293998.0,protein_coding,chr11
Grin2b,460278.0,protein_coding,chr6
Grik3,223473.0,protein_coding,chr4
Sez6l,158034.0,protein_coding,chr5
AY036118,,,
