gene_name,gene_length,gene_type,gene_chr
Mal,23469.0,protein_coding,chr2
Dpyd,870795.0,protein_coding,chr3
Fth1,4500.0,,
Scd2,13190.0,protein_coding,chr19
Neat1,20770.0,lincRNA,chr19
Abca8a,70344.0,protein_coding,chr11
Aplp1,10553.0,protein_coding,chr7
9330111N05Rik,165976.0,lincRNA,chr13
Ptgds,3337.0,,
Cldn11,14404.0,protein_coding,chr3
Cd81,15195.0,protein_coding,chr7
Cnp,16825.0,,
Actb,3639.0,,
Cryab,5311.0,,
Cdh8,392000.0,protein_coding,chr8
Syt11,30464.0,protein_coding,chr3
Itm2b,23063.0,protein_coding,chr14
Sorcs1,535347.0,protein_coding,chr19
Spock3,406094.0,protein_coding,chr8
Ubb,2042.0,,
Snca,98280.0,protein_coding,chr6
Man1a,171824.0,protein_coding,chr10
Eya4,247823.0,protein_coding,chr10
A530053G22Rik,124664.0,,
Plp1,17062.0,protein_coding,chrX
Robo1,737789.0,protein_coding,chr16
Mbp,110491.0,protein_coding,chr18
March1,853737.0,protein_coding,chr8
Dgki,454162.0,protein_coding,chr6
Nav3,774945.0,protein_coding,chr10
Lrrc4c,1313497.0,protein_coding,chr2
Csmd3,1211426.0,protein_coding,chr15
Mdga2,756489.0,protein_coding,chr12
Edil3,501751.0,protein_coding,chr13
Magi2,1477756.0,protein_coding,chr5
Nkain2,1201152.0,protein_coding,chr10
Tuba1a,3866.0,,
Lamp1,16177.0,,
Ckb,2977.0,,
Tmsb4x,2222.0,,
Mobp,31777.0,protein_coding,chr9
Tmem132d,651447.0,protein_coding,chr5
7630403G23Rik,16650.0,lincRNA,chr9
Trf,26443.0,protein_coding,chr9
Sbf1,27075.0,protein_coding,chr15
Mag,15697.0,,
Gsn,51512.0,protein_coding,chr2
Synpr,331560.0,protein_coding,chr14
Ccser1,1202541.0,protein_coding,chr6
Slc4a10,280268.0,protein_coding,chr2
Dync1i1,302400.0,protein_coding,chr6
Tenm2,1229308.0,protein_coding,chr11
Tubb4a,7716.0,protein_coding,chr17
Apod,18616.0,protein_coding,chr16
Kcnab1,268839.0,protein_coding,chr3
Kcnq3,300255.0,protein_coding,chr15
Zbtb20,766721.0,protein_coding,chr16
Cacna2d3,816921.0,protein_coding,chr14
Cobl,228352.0,protein_coding,chr11
Ctnna2,1098062.0,protein_coding,chr6
Hsp90aa1,12123.0,protein_coding,chr12
Lrp1b,2058378.0,protein_coding,chr2
Plxdc2,399535.0,protein_coding,chr2
Cmtm5,3013.0,,
Cadm2,965487.0,protein_coding,chr16
Hsp90ab1,5496.0,,
Adamtsl1,914213.0,protein_coding,chr4
Tecr,36273.0,,
Cdh20,226952.0,protein_coding,chr1
Fut9,190912.0,protein_coding,chr4
Olig1,2161.0,,
Grm3,239629.0,protein_coding,chr5
Lypd6b,161161.0,protein_coding,chr2
Grid2,1448447.0,,
Degs1,7032.0,,
Nckap5,917179.0,protein_coding,chr1
Reep5,29185.0,,
Camk1d,421058.0,protein_coding,chr2
Dmd,2257271.0,protein_coding,chrX
Stmn4,17384.0,,
Tspan2,66984.0,protein_coding,chr3
Ralyl,710632.0,,
Pcdh9,877269.0,protein_coding,chr14
Pllp,21384.0,,
Gm816,137320.0,,
Cadps2,576648.0,protein_coding,chr6
B3galt1,556818.0,,
Spock1,487137.0,protein_coding,chr13
Hspa8,9103.0,,
Eef1a1,10702.0,,
Psd3,522945.0,protein_coding,chr8
Epdr1,28221.0,protein_coding,chr13
Plekha1,47556.0,protein_coding,chr7
Rpl13,2894.0,,
Ubc,4237.0,protein_coding,chr5
Tmbim6,17167.0,,
Cmss1,304864.0,protein_coding,chr16
Atp6v0c,5836.0,,
Rpsa,4680.0,,
Il33,35604.0,protein_coding,chr19
Farp1,248544.0,protein_coding,chr14
Pcdh7,415263.0,protein_coding,chr5
Eif1,2211.0,,
Kndc1,46841.0,protein_coding,chr7
4732471J01Rik,189598.0,,
Tmod2,45704.0,protein_coding,chr9
Grik4,426358.0,protein_coding,chr9
Map3k5,208281.0,protein_coding,chr10
Dbi,7798.0,,
Efemp1,73539.0,protein_coding,chr11
Fmn1,389031.0,protein_coding,chr2
Mast3,26937.0,,
Gm4221,89149.0,lincRNA,chr18
Rtn4,51384.0,,
Cdh19,89258.0,protein_coding,chr1
Cdc42bpa,205131.0,protein_coding,chr1
Fabp5,4059.0,,
